task,n_qubits,arm,unique_evaluations,median_best_val,q25,q75
sin_freq,3,evolutionary_joint,1,0.2990645646943997,0.2940154982699903,0.3032305665492202
sin_freq,3,evolutionary_joint,2,0.29645716426997654,0.2884061382781084,0.3032305665492202
sin_freq,3,evolutionary_joint,3,0.2906927654684749,0.24877965669068325,0.2985060752745968
sin_freq,3,evolutionary_joint,4,0.2906927654684749,0.24877965669068325,0.2985060752745968
sin_freq,3,evolutionary_joint,5,0.2906927654684749,0.24877965669068325,0.2985060752745968
sin_freq,3,evolutionary_joint,6,0.2906927654684749,0.24877965669068325,0.2985060752745968
sin_freq,3,evolutionary_joint,7,0.2906927654684749,0.23480507249520563,0.2985060752745968
sin_freq,3,evolutionary_joint,8,0.2906927654684749,0.23480507249520563,0.2985060752745968
sin_freq,3,evolutionary_joint,9,0.2906927654684749,0.23480507249520563,0.2985060752745968
sin_freq,3,evolutionary_joint,10,0.2906927654684749,0.23480507249520563,0.2981549452657698
sin_freq,3,evolutionary_joint,11,0.2906927654684749,0.23480507249520563,0.2981549452657698
sin_freq,3,evolutionary_joint,12,0.2906927654684749,0.23107530072141894,0.2981549452657698
sin_freq,3,evolutionary_joint,13,0.2906927654684749,0.23107530072141894,0.2981549452657698
sin_freq,3,evolutionary_joint,14,0.2893273946416194,0.23107530072141894,0.2970838953750419
sin_freq,3,evolutionary_joint,15,0.28669526159332037,0.23107530072141894,0.29367949701225804
sin_freq,3,evolutionary_joint,16,0.28669526159332037,0.23107530072141894,0.29367949701225804
sin_freq,3,random_joint,1,0.31024345454155705,0.29902660142942217,0.3242174356689962
sin_freq,3,random_joint,2,0.30054267571149385,0.2972477319252435,0.31816710985097596
sin_freq,3,random_joint,3,0.29898351701119674,0.2969886883227983,0.3012399270901276
sin_freq,3,random_joint,4,0.29898351701119674,0.29684253428251195,0.3012399270901276
sin_freq,3,random_joint,5,0.2981731217257336,0.29354829326762244,0.299107649112625
sin_freq,3,random_joint,6,0.29701678519397273,0.29157813160491336,0.2989847972995087
sin_freq,3,random_joint,7,0.2918881865921021,0.29009441155918525,0.2971910361054335
sin_freq,3,random_joint,8,0.2918018746471138,0.2847246536141811,0.2971910361054335
sin_freq,3,random_joint,9,0.2864033461326755,0.2792369337446431,0.2957978284446078
sin_freq,3,random_joint,10,0.2864033461326755,0.2792369337446431,0.2957978284446078
sin_freq,3,random_joint,11,0.28265397854649776,0.2784476822163266,0.2907617723382272
sin_freq,3,random_joint,12,0.28265397854649776,0.2784476822163266,0.2907617723382272
sin_freq,3,random_joint,13,0.2806834929406759,0.2717724564878538,0.2907617723382272
sin_freq,3,random_joint,14,0.2806834929406759,0.2717724564878538,0.2907617723382272
sin_freq,3,random_joint,15,0.27866678477223206,0.2638365664495418,0.28788604737657547
sin_freq,3,random_joint,16,0.26773075455260387,0.2522677958704999,0.27888588732813746
