task,n_qubits,arm,replicate,transpiled_2q_line,test_rmse
sin_freq,5,evolutionary_joint,0,8,0.29466596009917306
sin_freq,5,evolutionary_joint,1,2,0.29188400515512103
sin_freq,5,evolutionary_joint,2,0,0.2910780157279909
sin_freq,5,evolutionary_joint,3,13,0.2871790163714794
sin_freq,5,evolutionary_joint,4,2,0.29431668725655
sin_freq,5,evolutionary_joint,5,0,0.29456639120853584
sin_freq,5,evolutionary_joint,6,4,0.2967332613871821
sin_freq,5,evolutionary_joint,7,6,0.2936187006006305
sin_freq,5,evolutionary_joint,8,6,0.2887799899831743
sin_freq,5,evolutionary_joint,9,6,0.2903918980910028
sin_freq,5,random_joint,0,2,0.29466596009917306
sin_freq,5,random_joint,1,6,0.2907381539134043
sin_freq,5,random_joint,2,4,0.28866553458932814
sin_freq,5,random_joint,3,6,0.2978795708608738
sin_freq,5,random_joint,4,4,0.29024930117672265
sin_freq,5,random_joint,5,4,0.29362151236093587
sin_freq,5,random_joint,6,11,0.2999071565335095
sin_freq,5,random_joint,7,0,0.2891551513066438
sin_freq,5,random_joint,8,2,0.2887799899831743
sin_freq,5,random_joint,9,2,0.2907714942969576
