arm,outcome,count
evolutionary_structure,num_valid,960
greedy_growth,num_valid,960
random_structure,num_valid,960
ref_realamp_d1,num_valid,40
ref_realamp_d2,num_valid,40
ref_strongent_d1,num_valid,40
ref_strongent_d2,num_valid,40
evolutionary_structure,num_invalid,0
greedy_growth,num_invalid,0
random_structure,num_invalid,0
ref_realamp_d1,num_invalid,0
ref_realamp_d2,num_invalid,0
ref_strongent_d1,num_invalid,0
ref_strongent_d2,num_invalid,0
evolutionary_structure,num_duplicate,140
greedy_growth,num_duplicate,50
random_structure,num_duplicate,1
ref_realamp_d1,num_duplicate,0
ref_realamp_d2,num_duplicate,0
ref_strongent_d1,num_duplicate,0
ref_strongent_d2,num_duplicate,0
evolutionary_structure,num_failed,0
greedy_growth,num_failed,0
random_structure,num_failed,0
ref_realamp_d1,num_failed,0
ref_realamp_d2,num_failed,0
ref_strongent_d1,num_failed,0
ref_strongent_d2,num_failed,0
