task,n_qubits,arm,replicate,test_rmse
gauss_peak,5,evolutionary_structure,0,0.020500293509092233
gauss_peak,5,evolutionary_structure,1,0.021239390632518174
gauss_peak,5,evolutionary_structure,2,0.029899674459770535
gauss_peak,5,evolutionary_structure,3,0.021035432406963914
gauss_peak,5,evolutionary_structure,4,0.03525898646443078
gauss_peak,5,evolutionary_structure,5,0.02222799823353168
gauss_peak,5,evolutionary_structure,6,0.021213697027307882
gauss_peak,5,evolutionary_structure,7,0.018782051257279497
gauss_peak,5,evolutionary_structure,8,0.05457758533529647
gauss_peak,5,evolutionary_structure,9,0.02244414293426102
gauss_peak,5,greedy_growth,0,0.032369179211392665
gauss_peak,5,greedy_growth,1,0.02108055083422396
gauss_peak,5,greedy_growth,2,0.022154487724550916
gauss_peak,5,greedy_growth,3,0.041602093294412563
gauss_peak,5,greedy_growth,4,0.06908573950856793
gauss_peak,5,greedy_growth,5,0.02378621706309657
gauss_peak,5,greedy_growth,6,0.020663724587788847
gauss_peak,5,greedy_growth,7,0.022057733304597166
gauss_peak,5,greedy_growth,8,0.023336550863114175
gauss_peak,5,greedy_growth,9,0.02439241080416523
gauss_peak,5,random_structure,0,0.020057489706422717
gauss_peak,5,random_structure,1,0.01967862216652125
gauss_peak,5,random_structure,2,0.020424118004473534
gauss_peak,5,random_structure,3,0.02100828487011442
gauss_peak,5,random_structure,4,0.021412554816051924
gauss_peak,5,random_structure,5,0.02148824197018605
gauss_peak,5,random_structure,6,0.021344363803197767
gauss_peak,5,random_structure,7,0.02271339238089661
gauss_peak,5,random_structure,8,0.022692715373543896
gauss_peak,5,random_structure,9,0.022064363024061177
gauss_peak,5,ref_realamp_d1,0,0.16407457844472964
gauss_peak,5,ref_realamp_d1,1,0.16363864708060114
gauss_peak,5,ref_realamp_d1,2,0.16598276738241424
gauss_peak,5,ref_realamp_d1,3,0.1680481656693825
gauss_peak,5,ref_realamp_d1,4,0.16090364503209717
gauss_peak,5,ref_realamp_d1,5,0.16723371329842593
gauss_peak,5,ref_realamp_d1,6,0.16437532539898775
gauss_peak,5,ref_realamp_d1,7,0.16506325269284866
gauss_peak,5,ref_realamp_d1,8,0.16624519098560753
gauss_peak,5,ref_realamp_d1,9,0.1642850177951892
gauss_peak,5,ref_realamp_d2,0,0.09310114961111876
gauss_peak,5,ref_realamp_d2,1,0.09849322575654448
gauss_peak,5,ref_realamp_d2,2,0.04927631524871325
gauss_peak,5,ref_realamp_d2,3,0.10029840348271817
gauss_peak,5,ref_realamp_d2,4,0.09384600403526445
gauss_peak,5,ref_realamp_d2,5,0.10054826566818766
gauss_peak,5,ref_realamp_d2,6,0.09441063679583636
gauss_peak,5,ref_realamp_d2,7,0.04968218999842113
gauss_peak,5,ref_realamp_d2,8,0.09300132191483652
gauss_peak,5,ref_realamp_d2,9,0.09313821129341164
gauss_peak,5,ref_strongent_d1,0,0.22417736832348173
gauss_peak,5,ref_strongent_d1,1,0.22498970781764244
gauss_peak,5,ref_strongent_d1,2,0.2266047872415971
gauss_peak,5,ref_strongent_d1,3,0.225501509046809
gauss_peak,5,ref_strongent_d1,4,0.22480977973352823
gauss_peak,5,ref_strongent_d1,5,0.22552896963739752
gauss_peak,5,ref_strongent_d1,6,0.2239677193885855
gauss_peak,5,ref_strongent_d1,7,0.2207625936984727
gauss_peak,5,ref_strongent_d1,8,0.22250610710568533
gauss_peak,5,ref_strongent_d1,9,0.22474085043407413
gauss_peak,5,ref_strongent_d2,0,0.0481977687724096
gauss_peak,5,ref_strongent_d2,1,0.04889908405947998
gauss_peak,5,ref_strongent_d2,2,0.02234606991527742
gauss_peak,5,ref_strongent_d2,3,0.02351720145055801
gauss_peak,5,ref_strongent_d2,4,0.05380054010054273
gauss_peak,5,ref_strongent_d2,5,0.022972380342613685
gauss_peak,5,ref_strongent_d2,6,0.055113945924958
gauss_peak,5,ref_strongent_d2,7,0.02461080524010573
gauss_peak,5,ref_strongent_d2,8,0.024490750863956506
gauss_peak,5,ref_strongent_d2,9,0.03853522845359522
