task,n_qubits,arm,replicate,logical_gate_count,logical_depth,two_qubit_count,controlled_rotation_count,parameter_count,transpiled_depth_line,transpiled_depth_ring,transpiled_depth_all_to_all,transpiled_2q_line,transpiled_2q_ring,transpiled_2q_all_to_all
change_point,5,evolutionary_structure,0,72,41,63,39,42,335,282,146,252,188,102
change_point,5,evolutionary_structure,1,32,20,15,15,26,115,88,88,62,30,30
change_point,5,evolutionary_structure,2,58,24,25,15,35,150,108,62,106,68,40
change_point,5,evolutionary_structure,3,55,27,31,11,29,146,112,70,114,78,42
change_point,5,evolutionary_structure,4,46,26,30,30,45,220,175,97,138,96,60
change_point,5,evolutionary_structure,5,53,26,32,13,23,142,124,95,94,60,45
change_point,5,evolutionary_structure,6,50,23,32,28,45,184,183,151,111,97,60
change_point,5,evolutionary_structure,7,51,27,40,32,42,256,201,167,148,112,72
change_point,5,evolutionary_structure,8,30,16,14,10,24,83,76,60,49,36,24
change_point,5,evolutionary_structure,9,45,22,25,20,35,112,96,80,87,67,45
change_point,5,greedy_growth,0,40,23,31,29,37,207,181,132,125,93,60
change_point,5,greedy_growth,1,38,25,21,16,28,135,101,92,94,50,37
change_point,5,greedy_growth,2,34,20,18,14,29,135,111,95,68,41,32
change_point,5,greedy_growth,3,30,13,9,5,20,48,48,33,20,20,14
change_point,5,greedy_growth,4,32,11,5,5,31,56,43,43,19,10,10
change_point,5,greedy_growth,5,41,16,15,15,35,70,60,60,45,33,30
change_point,5,greedy_growth,6,37,19,18,14,28,96,88,88,55,32,32
change_point,5,greedy_growth,7,44,21,23,9,25,107,98,83,66,50,32
change_point,5,greedy_growth,8,29,15,11,9,21,91,82,61,47,32,20
change_point,5,greedy_growth,9,38,21,18,14,32,136,120,89,65,51,32
change_point,5,random_structure,0,38,22,22,13,23,118,106,86,77,47,35
change_point,5,random_structure,1,36,17,15,5,25,91,77,59,53,35,20
change_point,5,random_structure,2,42,20,15,11,37,119,110,88,56,44,26
change_point,5,random_structure,3,45,21,19,10,35,117,109,79,65,48,29
change_point,5,random_structure,4,41,15,7,2,35,50,37,34,21,12,9
change_point,5,random_structure,5,32,19,15,15,31,116,85,85,64,30,30
change_point,5,random_structure,6,54,26,39,25,39,228,194,108,149,111,64
change_point,5,random_structure,7,38,22,29,19,22,145,131,105,100,79,48
change_point,5,random_structure,8,24,9,4,4,18,27,27,27,8,8,8
change_point,5,random_structure,9,38,20,21,15,31,153,117,75,82,54,36
change_point,5,ref_realamp_d1,0,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,1,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,2,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,3,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,4,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,5,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,6,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,7,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,8,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d1,9,10,6,4,0,5,8,8,8,4,4,4
change_point,5,ref_realamp_d2,0,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,1,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,2,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,3,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,4,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,5,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,6,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,7,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,8,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_realamp_d2,9,19,9,8,0,10,14,14,14,8,8,8
change_point,5,ref_strongent_d1,0,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,1,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,2,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,3,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,4,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,5,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,6,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,7,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,8,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d1,9,21,9,5,0,15,15,11,11,12,5,5
change_point,5,ref_strongent_d2,0,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,1,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,2,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,3,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,4,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,5,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,6,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,7,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,8,41,17,10,0,30,47,22,22,29,10,10
change_point,5,ref_strongent_d2,9,41,17,10,0,30,47,22,22,29,10,10
gauss_peak,5,evolutionary_structure,0,39,22,20,19,32,153,138,108,68,56,39
gauss_peak,5,evolutionary_structure,1,28,24,20,9,16,138,122,111,79,42,29
gauss_peak,5,evolutionary_structure,2,32,18,22,22,31,151,119,94,78,59,44
gauss_peak,5,evolutionary_structure,3,52,26,28,15,28,206,158,127,107,65,43
gauss_peak,5,evolutionary_structure,4,60,36,52,27,34,312,232,136,211,141,79
gauss_peak,5,evolutionary_structure,5,43,19,16,5,31,108,95,60,60,39,21
gauss_peak,5,evolutionary_structure,6,56,29,40,10,25,196,144,66,146,96,50
gauss_peak,5,evolutionary_structure,7,41,23,23,23,40,171,153,121,76,64,46
gauss_peak,5,evolutionary_structure,8,36,16,14,10,11,67,57,44,42,39,24
gauss_peak,5,evolutionary_structure,9,26,15,15,14,24,93,81,81,47,29,29
gauss_peak,5,greedy_growth,0,23,15,15,15,22,121,90,63,66,45,30
gauss_peak,5,greedy_growth,1,49,21,17,17,31,124,86,73,70,47,34
gauss_peak,5,greedy_growth,2,54,28,43,15,25,164,113,78,148,100,58
gauss_peak,5,greedy_growth,3,35,16,14,14,34,111,108,55,58,49,28
gauss_peak,5,greedy_growth,4,16,5,0,0,12,9,9,9,0,0,0
gauss_peak,5,greedy_growth,5,31,21,20,16,26,155,130,111,81,51,36
gauss_peak,5,greedy_growth,6,44,25,26,14,31,131,118,100,89,58,40
gauss_peak,5,greedy_growth,7,21,12,15,15,20,101,97,81,58,45,30
gauss_peak,5,greedy_growth,8,28,18,14,4,17,68,48,48,48,18,18
gauss_peak,5,greedy_growth,9,17,12,9,5,12,48,41,41,30,14,14
gauss_peak,5,random_structure,0,48,20,16,16,37,134,105,74,65,53,32
gauss_peak,5,random_structure,1,45,23,28,24,40,153,141,125,91,70,52
gauss_peak,5,random_structure,2,46,27,23,13,30,128,93,88,95,43,36
gauss_peak,5,random_structure,3,69,34,55,35,47,293,241,154,214,157,90
gauss_peak,5,random_structure,4,57,27,28,18,41,198,168,73,112,91,46
gauss_peak,5,random_structure,5,33,17,18,17,31,96,89,79,44,44,35
gauss_peak,5,random_structure,6,59,29,39,25,40,248,174,106,154,107,64
gauss_peak,5,random_structure,7,44,33,36,29,36,223,177,156,151,85,63
gauss_peak,5,random_structure,8,34,20,16,10,27,116,82,82,59,29,26
gauss_peak,5,random_structure,9,28,19,20,16,20,89,82,77,59,43,36
gauss_peak,5,ref_realamp_d1,0,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,1,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,2,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,3,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,4,10,6,4,0,5,8,8,8,4,4,4
gauss_peak,5,ref_realamp_d1,5,10,6,4,0,5,8,8,8,4,4,4
