task,n_qubits,arm_a,arm_b,hodges_lehmann_shift,cliffs_delta_paired,median_a,median_b
gauss_peak,3,evolutionary_structure,random_structure,0.007720451407037476,0.2,0.03958822613925006,0.03128863386220801
gauss_peak,3,evolutionary_structure,ref_strongent_d2,-0.00022299234866140875,-0.2,0.03958822613925006,0.04435651749655035
gauss_peak,3,random_structure,ref_strongent_d2,-0.008823194405657549,-0.6,0.03128863386220801,0.04435651749655035
gauss_peak,4,evolutionary_structure,random_structure,-0.0014918745361097371,-0.6,0.022162853081441107,0.024499632589419944
gauss_peak,4,evolutionary_structure,ref_strongent_d2,-0.005884480749614085,-0.6,0.022162853081441107,0.02782222388703037
gauss_peak,4,random_structure,ref_strongent_d2,-0.0032065162772046685,-1.0,0.024499632589419944,0.02782222388703037
gauss_peak,6,evolutionary_structure,random_structure,0.0005853141909195579,0.2,0.02111920156718948,0.020526954397256034
gauss_peak,6,evolutionary_structure,ref_strongent_d2,-0.025136457966516847,-1.0,0.02111920156718948,0.04966145082538848
gauss_peak,6,random_structure,ref_strongent_d2,-0.026540944994114163,-1.0,0.020526954397256034,0.04966145082538848
gauss_peak,8,evolutionary_structure,random_structure,-0.0005262306491992524,-0.2,0.02076050267728644,0.02058845975889888
gauss_peak,8,evolutionary_structure,ref_strongent_d2,-0.02353081407520406,-1.0,0.02076050267728644,0.0442913167524905
gauss_peak,8,random_structure,ref_strongent_d2,-0.025031161183633535,-0.6,0.02058845975889888,0.0442913167524905
sin_freq,3,evolutionary_structure,random_structure,0.007559662571437066,0.2,0.09102535111914872,0.10237225325333699
sin_freq,3,evolutionary_structure,ref_strongent_d2,0.032652637848915186,1.0,0.09102535111914872,0.06990808249482465
sin_freq,3,random_structure,ref_strongent_d2,0.028234784710981356,0.2,0.10237225325333699,0.06990808249482465
sin_freq,4,evolutionary_structure,random_structure,-0.022320855289877838,-0.2,0.08553593733791004,0.09135195218842099
sin_freq,4,evolutionary_structure,ref_strongent_d2,-0.04796423447581486,-1.0,0.08553593733791004,0.13165099036766406
sin_freq,4,random_structure,ref_strongent_d2,-0.02734141659970466,-0.6,0.09135195218842099,0.13165099036766406
sin_freq,6,evolutionary_structure,random_structure,0.03397872895344094,0.6,0.09812750888333932,0.06034971570915063
sin_freq,6,evolutionary_structure,ref_strongent_d2,-0.10387019721038408,-1.0,0.09812750888333932,0.19759617911434776
sin_freq,6,random_structure,ref_strongent_d2,-0.13359778155879715,-1.0,0.06034971570915063,0.19759617911434776
sin_freq,8,evolutionary_structure,random_structure,-0.004798246298105151,-0.2,0.05006088588109611,0.057937920170644495
sin_freq,8,evolutionary_structure,ref_strongent_d2,-0.2218003749218717,-1.0,0.05006088588109611,0.29469535652520623
sin_freq,8,random_structure,ref_strongent_d2,-0.22298670593026731,-1.0,0.057937920170644495,0.29469535652520623
