block,seed,selected,total_params,val_logloss,test_logloss,n_candidates
0,0,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915802907635944,0.6916884718628983,25
0,1,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915881194118291,0.6917090873705714,25
0,2,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6916088028120165,0.69173655284868,25
1,0,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915802854229153,0.6916884719697145,25
1,1,"{""hidden"": [4, 3], ""activation"": ""tanh"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6825079687122543,0.7069530639200252,25
1,2,"{""hidden"": [6], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 0.0001}",61,0.6856821420149658,0.6999560045289277,25
2,0,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 1e-05}",41,0.6904222656649336,0.7059788443627945,25
2,1,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 0.0}",41,0.6844574385961878,0.6993927482060344,25
2,2,"{""hidden"": [5], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 0.0001}",51,0.686907652101731,0.7094361958876569,25
3,0,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 1e-05}",41,0.6897623248331985,0.7162768733709567,25
3,1,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 0.0001}",41,0.6871420694284914,0.7020156462885536,25
3,2,"{""hidden"": [5], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0}",51,0.668162847164391,0.7105793450823752,25
4,0,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915802819455642,0.6916884720433258,25
4,1,"{""hidden"": [6, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 0.0001}",79,0.6915785531282884,0.6916919154213338,25
4,2,"{""hidden"": [5], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0}",51,0.6913147160684365,0.7212331012145919,25
5,0,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915802840432504,0.6916884719985363,25
5,1,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6872746769308002,0.6961566139597717,25
5,2,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 0.0}",55,0.69159035576364,0.6916926623099644,25
6,0,"{""hidden"": [6], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0}",61,0.6815305503274941,0.7062282590390017,25
6,1,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 0.0001}",41,0.6874495413740084,0.6982936286601517,25
6,2,"{""hidden"": [5], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0}",51,0.6795655344802668,0.6973516478397916,25
7,0,"{""hidden"": [6], ""activation"": ""sigmoid"", ""lr"": 0.05, ""weight_decay"": 0.0}",61,0.6864424864974261,0.6942854181253028,25
7,1,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 0.0001}",41,0.6854863341118532,0.7034119029798747,25
7,2,"{""hidden"": [4], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 0.0001}",41,0.6881102983348589,0.698005761621824,25
8,0,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915802886562957,0.691688471904144,25
8,1,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915881131350659,0.691709078246959,25
8,2,"{""hidden"": [4, 3], ""activation"": ""sigmoid"", ""lr"": 0.01, ""weight_decay"": 0.0001}",55,0.7065104872388865,0.6956719914645414,25
9,0,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6915802865491665,0.6916884719465611,25
9,1,"{""hidden"": [5, 2], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 1e-05}",60,0.6915969615310578,0.6917212982996801,25
9,2,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.1, ""weight_decay"": 0.0001}",55,0.6916091841556,0.6917370318150236,25
