pair,block,seed,entangled_logloss,product_logloss,depth_diff,param_count_preserved,diff_product_minus_entangled
0,0,0,0.7530275541070804,0.729015815136953,3,True,-0.024011738970127428
0,0,1,0.7373297169222848,0.737810043190801,3,True,0.00048032626851624016
1,0,0,0.7663237225192064,0.752962633832539,6,True,-0.01336108868666741
1,0,1,0.7778165651262409,0.7568822124112047,6,True,-0.020934352715036186
2,0,0,0.7707995987859966,0.7767429114322202,3,True,0.0059433126462236086
2,0,1,0.7860867543822558,0.744085418557106,3,True,-0.042001335825149866
3,0,0,0.7307420630800334,0.7307420630800334,6,True,0.0
3,0,1,0.735905702860095,0.735905702860095,6,True,0.0
4,0,0,0.8024252641908785,0.7212546919040826,3,True,-0.0811705722867958
4,0,1,0.7456584366748638,0.7304812194652627,3,True,-0.01517721720960108
5,0,0,0.7666069166583056,0.7420431706261726,3,True,-0.02456374603213296
5,0,1,0.7416855544647126,0.7322484512416916,3,True,-0.009437103223021048
6,0,0,0.7580324307107967,0.7379507818908692,3,True,-0.020081648819927578
6,0,1,0.7715980917086874,0.7484418290989253,3,True,-0.023156262609762113
7,0,0,0.7534888732880481,0.7744459306271727,6,True,0.020957057339124563
7,0,1,0.7664104518629042,0.7313779924299795,6,True,-0.03503245943292477
8,0,0,0.7131131348189228,0.7131131348189228,3,True,0.0
8,0,1,0.8030431515005537,0.8030431515005536,3,True,-1.1102230246251565e-16
9,0,0,0.7597804137540682,0.7578293371616485,3,True,-0.001951076592419776
9,0,1,0.7621860521278764,0.7435330690219175,3,True,-0.018652983105958865
10,0,0,0.7691016636251029,0.7699528618455709,3,True,0.0008511982204679747
10,0,1,0.7536118503580362,0.7562232117965526,3,True,0.0026113614385163686
11,0,0,0.7536804780050732,0.7263278007129667,3,True,-0.027352677292106553
11,0,1,0.7555469522955706,0.7594597178867589,3,True,0.003912765591188361
12,0,0,0.7552111790053175,0.7917386807266976,3,True,0.036527501721380085
12,0,1,0.7780536264786404,0.7631306117139752,3,True,-0.014923014764665177
13,0,0,0.7429898949442773,0.7547519608508049,3,True,0.011762065906527619
13,0,1,0.8046192777472801,0.7624493213027331,3,True,-0.04216995644454702
14,0,0,0.7518463833881042,0.7664131896518358,6,True,0.014566806263731635
14,0,1,0.7628356641374672,0.71837320403906,6,True,-0.04446246009840715
15,0,0,0.7276018744473844,0.7276018744473844,9,True,0.0
15,0,1,0.7208252521001197,0.7208252521001197,9,True,0.0
16,0,0,0.7689448927270708,0.7689448927270702,3,True,-5.551115123125783e-16
16,0,1,0.7303657783863912,0.7303657783863912,3,True,0.0
17,0,0,0.7430451838914114,0.7430451838914114,3,True,0.0
17,0,1,0.7208295990636334,0.7208295990636334,3,True,0.0
18,0,0,0.738560139076813,0.7298493169509663,3,True,-0.008710822125846618
18,0,1,0.782494226029192,0.7459098372811807,3,True,-0.0365843887480114
19,0,0,0.7664292491719763,0.729632304040452,3,True,-0.03679694513152432
19,0,1,0.7664924263434895,0.7610134254415775,3,True,-0.005479000901912001
0,1,0,0.727948607430208,0.7161678735294491,3,True,-0.011780733900758844
0,1,1,0.7255457916978101,0.7017989448250775,3,True,-0.02374684687273254
1,1,0,0.7264262866608902,0.7116194258964579,6,True,-0.014806860764432273
1,1,1,0.7645150438554178,0.7451202292209299,6,True,-0.01939481463448789
2,1,0,0.7154814175761507,0.7044196161578782,3,True,-0.01106180141827251
2,1,1,0.700100272142473,0.6977352411834169,3,True,-0.002365030959056047
3,1,0,0.7145953431363667,0.7145953431363667,6,True,0.0
3,1,1,0.7135252657208503,0.7135252657208503,6,True,0.0
4,1,0,0.7394740393975164,0.7222457930419554,3,True,-0.017228246355561083
4,1,1,0.7165100244870805,0.7072530204021461,3,True,-0.00925700408493435
5,1,0,0.7273370247034451,0.7071430107972523,3,True,-0.020194013906192798
5,1,1,0.706599229832223,0.7042275838304853,3,True,-0.0023716460017376706
6,1,0,0.7205670675418744,0.7077150633602475,3,True,-0.012852004181626908
6,1,1,0.729715870990787,0.7158226274870335,3,True,-0.013893243503753538
7,1,0,0.7204679928730666,0.7019019798046287,6,True,-0.01856601306843797
7,1,1,0.7134884633331884,0.7177511289546711,6,True,0.0042626656214826975
8,1,0,0.7034949672589912,0.7034949672589913,3,True,1.1102230246251565e-16
8,1,1,0.7189297007610489,0.718929700761049,3,True,1.1102230246251565e-16
9,1,0,0.7264054725665731,0.7132498255057301,3,True,-0.013155647060842934
9,1,1,0.7235870979475817,0.7048819773318603,3,True,-0.018705120615721382
10,1,0,0.7104454952677818,0.7259320876606573,3,True,0.015486592392875531
10,1,1,0.7285732044283905,0.7056147368035315,3,True,-0.02295846762485898
11,1,0,0.7302518631515281,0.7170738560836175,3,True,-0.013178007067910613
11,1,1,0.7193727191123526,0.7086106839812804,3,True,-0.010762035131072212
12,1,0,0.7548365841275897,0.7296616726933032,3,True,-0.025174911434286518
12,1,1,0.738246347008289,0.7338023590805942,3,True,-0.004443987927694737
13,1,0,0.7354144250554675,0.7203176243366579,3,True,-0.015096800718809589
13,1,1,0.7257066483269105,0.7426381823507656,3,True,0.016931534023855166
14,1,0,0.7350889773496211,0.734320911966701,6,True,-0.000768065382920069
14,1,1,0.7256522665415044,0.716064819919158,6,True,-0.00958744662234634
15,1,0,0.7069958254362462,0.7069958254362461,9,True,-1.1102230246251565e-16
15,1,1,0.7107759040348933,0.7107759040348931,9,True,-2.220446049250313e-16
16,1,0,0.7180546414198958,0.7180546414198957,3,True,-1.1102230246251565e-16
16,1,1,0.7280289328582019,0.7280289328582019,3,True,0.0
17,1,0,0.7022680682833344,0.7022680682833348,3,True,3.3306690738754696e-16
17,1,1,0.7114272173151062,0.7114272173151062,3,True,0.0
18,1,0,0.7233637635051914,0.7207280732071205,3,True,-0.0026356902980708696
18,1,1,0.7446462963134345,0.7046413029934583,3,True,-0.0400049933199762
19,1,0,0.7190458375832779,0.7192919455787,3,True,0.000246107995422129
19,1,1,0.7340066057313527,0.719790406926191,3,True,-0.014216198805161673
0,2,0,0.7412049115644329,0.7272647111376306,3,True,-0.01394020042680233
0,2,1,0.7295422692173292,0.7212428447553234,3,True,-0.008299424462005822
1,2,0,0.7608805533620654,0.7151466572825279,6,True,-0.045733896079537484
1,2,1,0.7517524699292457,0.7342057945552639,6,True,-0.0175466753739818
2,2,0,0.720078618448187,0.7340719248441113,3,True,0.013993306395924332
2,2,1,0.7426863699206161,0.7100957553724738,3,True,-0.03259061454814227
3,2,0,0.7189525414097447,0.7189525414097447,6,True,0.0
3,2,1,0.7070897811341856,0.7070897811341856,6,True,0.0
4,2,0,0.7505521942425812,0.7256776797097941,3,True,-0.024874514532787106
4,2,1,0.7283067093023529,0.7354524825582718,3,True,0.007145773255918919
5,2,0,0.7307309621769554,0.723509088063115,3,True,-0.007221874113840454
5,2,1,0.7313229418146125,0.7143937304621593,3,True,-0.01692921135245329
6,2,0,0.7434098481481091,0.7231376284332002,3,True,-0.02027221971490889
6,2,1,0.7518021028820006,0.7105480249915881,3,True,-0.041254077890412466
7,2,0,0.7429245788263429,0.7418376678417885,6,True,-0.001086910984554379
7,2,1,0.7431131865583609,0.7171685706265161,6,True,-0.025944615931844828
8,2,0,0.7314475167639831,0.7314475167639832,3,True,1.1102230246251565e-16
8,2,1,0.719668024514793,0.719668024514793,3,True,0.0
9,2,0,0.7372415335391459,0.7209893294149076,3,True,-0.016252204124238334
9,2,1,0.7163585762037001,0.710140091931329,3,True,-0.00621848427237115
10,2,0,0.7335526208213426,0.7188159300864467,3,True,-0.014736690734895919
