run_id,arm,block,seed,proposals_consumed,unique_trainings,duplicates,invalid,failed,cumulative_walltime_s
controlled_random_b0_s0,controlled_random,0,0,25,24,1,0,0,68.837
controlled_random_b0_s1,controlled_random,0,1,25,23,2,0,0,62.431
controlled_random_b0_s2,controlled_random,0,2,25,25,0,0,0,67.241
controlled_evolutionary_b0_s0,controlled_evolutionary,0,0,25,21,4,0,0,59.734
controlled_evolutionary_b0_s1,controlled_evolutionary,0,1,25,18,7,0,0,55.682
controlled_evolutionary_b0_s2,controlled_evolutionary,0,2,25,20,5,0,0,58.146
controlled_greedy_b0_s0,controlled_greedy,0,0,25,25,1,0,0,68.701
controlled_greedy_b0_s1,controlled_greedy,0,1,25,20,6,0,0,49.564
controlled_greedy_b0_s2,controlled_greedy,0,2,25,24,1,0,0,61.706
controlled_random_b1_s0,controlled_random,1,0,25,24,1,0,0,73.025
controlled_random_b1_s1,controlled_random,1,1,25,23,2,0,0,65.186
controlled_random_b1_s2,controlled_random,1,2,25,25,0,0,0,69.986
controlled_evolutionary_b1_s0,controlled_evolutionary,1,0,25,21,4,0,0,62.539
controlled_evolutionary_b1_s1,controlled_evolutionary,1,1,25,21,4,0,0,56.418
controlled_evolutionary_b1_s2,controlled_evolutionary,1,2,25,21,4,0,0,62.116
controlled_greedy_b1_s0,controlled_greedy,1,0,25,24,2,0,0,66.343
controlled_greedy_b1_s1,controlled_greedy,1,1,25,20,5,0,0,50.785
controlled_greedy_b1_s2,controlled_greedy,1,2,25,21,4,0,0,62.865
controlled_random_b2_s0,controlled_random,2,0,25,24,1,0,0,70.632
controlled_random_b2_s1,controlled_random,2,1,25,23,2,0,0,66.758
controlled_random_b2_s2,controlled_random,2,2,25,25,0,0,0,70.134
controlled_evolutionary_b2_s0,controlled_evolutionary,2,0,25,21,4,0,0,57.436
controlled_evolutionary_b2_s1,controlled_evolutionary,2,1,25,20,5,0,0,59.481
controlled_evolutionary_b2_s2,controlled_evolutionary,2,2,25,22,3,0,0,67.753
controlled_greedy_b2_s0,controlled_greedy,2,0,25,25,0,0,0,71.902
controlled_greedy_b2_s1,controlled_greedy,2,1,25,24,2,0,0,60.939
controlled_greedy_b2_s2,controlled_greedy,2,2,25,22,3,0,0,61.958
controlled_random_b3_s0,controlled_random,3,0,25,24,1,0,0,65.378
controlled_random_b3_s1,controlled_random,3,1,25,23,2,0,0,62.123
controlled_random_b3_s2,controlled_random,3,2,25,25,0,0,0,67.011
controlled_evolutionary_b3_s0,controlled_evolutionary,3,0,25,19,6,0,0,55.058
controlled_evolutionary_b3_s1,controlled_evolutionary,3,1,25,18,7,0,0,50.302
controlled_evolutionary_b3_s2,controlled_evolutionary,3,2,25,23,2,0,0,69.928
controlled_greedy_b3_s0,controlled_greedy,3,0,25,25,1,0,0,69.508
controlled_greedy_b3_s1,controlled_greedy,3,1,25,23,2,0,0,64.715
