block,seed,B,selected_test_logloss
0,0,1,0.837211285658064
0,0,5,0.752725052759379
0,0,10,0.7409544332388791
0,0,25,0.7364418227608884
0,1,1,0.8453152437692139
0,1,5,0.7861073268741797
0,1,10,0.7398324463916213
0,1,25,0.7621544535425233
0,2,1,0.7650500218523245
0,2,5,0.7164110654895812
0,2,10,0.7164110654895812
0,2,25,0.7164110654895812
1,0,1,0.7760661122380499
1,0,5,0.7214695785060479
1,0,10,0.7022545290332761
1,0,25,0.7022545290332761
1,1,1,0.7467277797108858
1,1,5,0.7476857353506176
1,1,10,0.7124671245359491
1,1,25,0.7124671245359491
1,2,1,0.8017423742301935
1,2,5,0.7201826130713578
1,2,10,0.724899988209238
1,2,25,0.7001448990915509
2,0,1,0.7539642373200207
2,0,5,0.7292886460423192
2,0,10,0.7292886460423192
2,0,25,0.7292886460423192
2,1,1,0.7786703959154094
2,1,5,0.7086500574221015
2,1,10,0.7035626942767818
2,1,25,0.7035626942767818
2,2,1,0.754122356964769
2,2,5,0.7421880275732204
2,2,10,0.7383266374230869
2,2,25,0.7383266374230869
3,0,1,0.8115081634402568
3,0,5,0.7580384731307502
3,0,10,0.7383792821153725
3,0,25,0.7383792821153725
3,1,1,0.7809694806284656
3,1,5,0.7464386561363644
3,1,10,0.7464386561363644
3,1,25,0.7261934640004458
3,2,1,0.8062869517541703
3,2,5,0.7565847909371691
3,2,10,0.764364887401217
3,2,25,0.7423082913887561
4,0,1,0.7877390312045329
4,0,5,0.707972878273698
4,0,10,0.706522993863681
4,0,25,0.706522993863681
4,1,1,0.7698396307652099
4,1,5,0.7369347068038402
4,1,10,0.7369347068038402
4,1,25,0.7154028349362156
4,2,1,0.7733366137574721
4,2,5,0.7065388070840832
4,2,10,0.6992387604943558
4,2,25,0.7117976908675673
5,0,1,0.7701971183876013
5,0,5,0.7550018081992019
5,0,10,0.7144409692762592
5,0,25,0.736859834715204
5,1,1,0.772096102879839
5,1,5,0.7373941668118494
5,1,10,0.7159602740205286
5,1,25,0.7390858127129211
5,2,1,0.7447414083433291
5,2,5,0.7348100256771243
5,2,10,0.7576918238793334
5,2,25,0.7034643974878738
6,0,1,0.783448212097754
6,0,5,0.7575817217361452
6,0,10,0.7514803288302513
6,0,25,0.7451182602059228
6,1,1,0.7285533384365327
6,1,5,0.7682016668695251
6,1,10,0.7217941754752699
6,1,25,0.7479497050770411
6,2,1,0.7357690136506608
6,2,5,0.8001646037793919
6,2,10,0.8001646037793919
6,2,25,0.7286448744545229
7,0,1,0.8064728329725617
7,0,5,0.7288934857632617
7,0,10,0.7177404470701101
7,0,25,0.7287973166055608
7,1,1,0.7464407849427703
7,1,5,0.7051003361129204
7,1,10,0.7051003361129204
7,1,25,0.7410682044534623
7,2,1,0.769252283530225
7,2,5,0.7087843309169427
7,2,10,0.7087843309169427
7,2,25,0.7094131200672135
8,0,1,0.8212775545016395
8,0,5,0.7296472201747645
8,0,10,0.7337314905755893
8,0,25,0.7601850937142401
8,1,1,0.744792858174016
8,1,5,0.7628823436060191
8,1,10,0.7502408783434737
8,1,25,0.7310157542859098
8,2,1,0.7716925258235955
8,2,5,0.7212371504465223
8,2,10,0.7212371504465223
8,2,25,0.7340301716115798
9,0,1,0.7516048986176151
9,0,5,0.7503110783879812
9,0,10,0.7206636800016422
9,0,25,0.7277654462410414
9,1,1,0.7594665930333406
9,1,5,0.7594665930333406
9,1,10,0.7267854446947526
9,1,25,0.6970502028168413
9,2,1,0.7696336362116483
9,2,5,0.7292016015504371
9,2,10,0.7292016015504371
9,2,25,0.7192625502068597
