seed,proposal_index,architecture_hash,theta_index,theta,val_rmse
0,0,6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,0,1.571,0.18172721479285497
0,0,6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,1,0.785,0.18172721479285497
0,0,6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,2,-1.047,0.18172721479285497
0,0,6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,3,0.314,0.18172721479285497
0,1,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,0,1.309,0.14170985702760178
0,1,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,1,0.628,0.14170985702760178
0,1,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,2,-0.785,0.14170985702760178
0,1,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,3,-0.262,0.14170985702760178
0,2,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,0,1.427,0.1304360726556811
0,2,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,1,0.524,0.1304360726556811
0,2,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,2,-0.628,0.1304360726556811
0,2,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,3,-0.196,0.1304360726556811
0,3,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,0,1.571,0.12485339405861401
0,3,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,1,0.393,0.12485339405861401
0,3,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,2,-0.524,0.12485339405861401
0,3,aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,3,-0.157,0.12485339405861401
1,0,080e6db9f49c1af7e7e6dce41323801ff4528cb864d103e2a444f9f6d520ed75,0,1.571,0.19439028691354068
1,0,080e6db9f49c1af7e7e6dce41323801ff4528cb864d103e2a444f9f6d520ed75,1,0.785,0.19439028691354068
1,0,080e6db9f49c1af7e7e6dce41323801ff4528cb864d103e2a444f9f6d520ed75,2,-1.047,0.19439028691354068
1,0,080e6db9f49c1af7e7e6dce41323801ff4528cb864d103e2a444f9f6d520ed75,3,-0.524,0.19439028691354068
