arm,seed,kind,mean,std
random,0,intrinsic,0.0,0.0
random,0,task_conditioned,0.4000448167095912,0.23946715982795963
llm_open_loop,0,intrinsic,0.3051754476682165,0.22506327196507794
llm_open_loop,0,task_conditioned,0.45853357608175416,0.2192554249343172
llm_closed_loop,0,intrinsic,0.37032687012948295,0.24306736442648189
llm_closed_loop,0,task_conditioned,0.5052691121809442,0.1961843607468187
random,1,intrinsic,6.94999613415348e-16,3.710936029471547e-16
random,1,task_conditioned,0.5828390653967777,0.125823596486034
llm_open_loop,1,intrinsic,0.35078089321903005,0.23946507687067445
llm_open_loop,1,task_conditioned,0.4707202935165934,0.13525816447070738
llm_closed_loop,1,intrinsic,0.3779718698803046,0.23343404331860645
llm_closed_loop,1,task_conditioned,0.47072029351659345,0.1352581644707074
