arm,seed,status,consumed_budget,n_proposals,invalid,duplicate,failed,val_rmse,test_rmse,hash,depth,gates,two_qubit,params,llm_calls,in_tok,out_tok,mean_latency_s
random,0,complete,10,10,0,0,0,0.009215718911574617,0.010304865600400783,6e425215051e,6,41,0,32,,,,
random,1,complete,10,10,0,0,0,0.02176933617454579,0.023467559103659028,649ffbf65aff,2,2,1,1,,,,
random,2,complete,10,10,0,0,0,0.020100923293814098,0.017629951593629217,7f535dbab221,17,56,14,30,,,,
evolutionary,0,complete,10,10,0,3,0,0.02331017667905694,0.02586810371748682,4faaa3d8dc7d,7,22,6,10,,,,
evolutionary,1,complete,10,10,0,4,0,0.020297834169304276,0.024421019625995837,c037278b3332,16,30,7,16,,,,
evolutionary,2,complete,10,10,0,5,0,0.017298317186021588,0.0209146825234047,77d4d8e7b77e,10,50,2,30,,,,
greedy,0,complete,10,10,0,0,0,0.028830642614270402,0.03222939318650785,ed879324a0fd,6,7,5,3,,,,
greedy,1,complete,10,10,0,0,0,0.026678355727867784,0.028522780348901513,f563dc239e78,8,9,7,3,,,,
greedy,2,complete,10,10,0,0,0,0.034911918693888634,0.03861687368846559,bdf49a4e4797,10,20,0,14,,,,
llm_open,0,interrupted,4,22,18,1,0,0.02405237784557734,,c3daf6b147db,,,,,22,5056,964,9.38
llm_open,1,interrupted,1,9,8,0,0,0.04271909521411374,,ccd931de8523,,,,,9,1264,245,657.69
llm_open,2,not_started,,,,,,,,,,,,,,,,
llm_closed,0,not_started,,,,,,,,,,,,,,,,
llm_closed,1,not_started,,,,,,,,,,,,,,,,
llm_closed,2,not_started,,,,,,,,,,,,,,,,
llm_evo,0,not_started,,,,,,,,,,,,,,,,
llm_evo,1,not_started,,,,,,,,,,,,,,,,
llm_evo,2,not_started,,,,,,,,,,,,,,,,
