task,n_qubits,arm,replicate,test_rmse
gauss_peak_legacy,3,evolutionary_joint,0,0.14602646496755256
gauss_peak_legacy,3,evolutionary_joint,1,0.12086815738422278
gauss_peak_legacy,3,evolutionary_joint,2,0.10262296460466956
gauss_peak_legacy,3,evolutionary_joint,3,0.1664005080390724
gauss_peak_legacy,3,evolutionary_joint,4,0.1134366555374991
gauss_peak_legacy,3,evolutionary_joint,5,0.20067880677255717
gauss_peak_legacy,3,evolutionary_joint,6,0.20610888299220084
gauss_peak_legacy,3,evolutionary_joint,7,0.10666453026302512
gauss_peak_legacy,3,evolutionary_joint,8,0.20416667427545446
gauss_peak_legacy,3,evolutionary_joint,9,0.19144728577472817
gauss_peak_legacy,3,random_joint,0,0.146734927957678
gauss_peak_legacy,3,random_joint,1,0.11272250615168669
gauss_peak_legacy,3,random_joint,2,0.1745420465970834
gauss_peak_legacy,3,random_joint,3,0.10455389100249328
gauss_peak_legacy,3,random_joint,4,0.11840163785349982
gauss_peak_legacy,3,random_joint,5,0.11436159989175058
gauss_peak_legacy,3,random_joint,6,0.1888256525414919
gauss_peak_legacy,3,random_joint,7,0.11510254249874045
gauss_peak_legacy,3,random_joint,8,0.16925181045703266
gauss_peak_legacy,3,random_joint,9,0.1578555288824457
