task,n_qubits,arm,replicate,logical_gate_count,logical_depth,two_qubit_count,controlled_rotation_count,parameter_count,transpiled_depth_line,transpiled_depth_ring,transpiled_depth_all_to_all,transpiled_2q_line,transpiled_2q_ring,transpiled_2q_all_to_all
gauss_peak_legacy,3,evolutionary_joint,0,6,6,5,5,5,25,25,25,10,10,10
gauss_peak_legacy,3,evolutionary_joint,1,6,4,2,2,5,17,17,17,4,4,4
gauss_peak_legacy,3,evolutionary_joint,2,6,5,4,4,5,24,19,19,11,8,8
gauss_peak_legacy,3,evolutionary_joint,3,5,4,2,2,4,21,21,21,4,4,4
gauss_peak_legacy,3,evolutionary_joint,4,2,2,0,0,1,5,5,5,0,0,0
gauss_peak_legacy,3,evolutionary_joint,5,6,6,2,2,5,14,14,14,4,4,4
gauss_peak_legacy,3,evolutionary_joint,6,6,5,3,3,5,15,15,15,6,6,6
gauss_peak_legacy,3,evolutionary_joint,7,6,6,3,3,3,24,24,24,6,6,6
gauss_peak_legacy,3,evolutionary_joint,8,6,5,3,3,4,20,20,20,9,6,6
gauss_peak_legacy,3,evolutionary_joint,9,4,4,3,3,3,23,23,23,6,6,6
gauss_peak_legacy,3,random_joint,0,4,4,2,2,3,17,17,17,4,4,4
gauss_peak_legacy,3,random_joint,1,6,5,1,1,5,18,18,18,2,2,2
gauss_peak_legacy,3,random_joint,2,2,2,1,1,1,10,10,10,2,2,2
gauss_peak_legacy,3,random_joint,3,5,4,2,2,3,18,18,18,4,4,4
gauss_peak_legacy,3,random_joint,4,5,3,1,1,3,15,15,15,2,2,2
gauss_peak_legacy,3,random_joint,5,5,3,0,0,2,6,6,6,0,0,0
gauss_peak_legacy,3,random_joint,6,4,3,1,1,2,11,11,11,2,2,2
gauss_peak_legacy,3,random_joint,7,3,3,1,1,2,10,10,10,2,2,2
gauss_peak_legacy,3,random_joint,8,2,2,0,0,1,4,4,4,0,0,0
gauss_peak_legacy,3,random_joint,9,4,4,3,3,3,20,19,19,9,6,6
sin_freq,3,evolutionary_joint,0,5,4,2,2,4,14,14,14,4,4,4
sin_freq,3,evolutionary_joint,1,5,5,2,2,4,20,20,20,4,4,4
sin_freq,3,evolutionary_joint,2,3,3,1,1,2,13,13,13,2,2,2
sin_freq,3,evolutionary_joint,3,6,4,3,3,5,23,23,23,6,6,6
sin_freq,3,evolutionary_joint,4,6,4,3,3,5,15,15,15,6,6,6
sin_freq,3,evolutionary_joint,5,3,3,1,1,2,11,11,11,2,2,2
sin_freq,3,evolutionary_joint,6,3,3,1,1,2,15,15,15,2,2,2
sin_freq,3,evolutionary_joint,7,6,5,3,3,5,28,28,28,6,6,6
sin_freq,3,evolutionary_joint,8,6,6,4,4,4,22,19,19,11,8,8
sin_freq,3,evolutionary_joint,9,5,5,2,2,4,19,19,19,4,4,4
sin_freq,3,random_joint,0,4,4,1,1,3,12,12,12,2,2,2
sin_freq,3,random_joint,1,6,4,1,1,4,11,11,11,2,2,2
sin_freq,3,random_joint,2,3,2,0,0,1,5,5,5,0,0,0
sin_freq,3,random_joint,3,6,5,4,4,4,26,26,26,8,8,8
sin_freq,3,random_joint,4,3,3,1,1,2,12,12,12,2,2,2
sin_freq,3,random_joint,5,6,5,3,3,5,25,25,25,6,6,6
sin_freq,3,random_joint,6,2,2,1,1,1,10,10,10,2,2,2
sin_freq,3,random_joint,7,5,3,2,2,4,11,11,11,4,4,4
sin_freq,3,random_joint,8,2,2,1,1,1,10,10,10,2,2,2
sin_freq,3,random_joint,9,5,4,1,1,3,8,8,8,2,2,2
sin_freq,5,evolutionary_joint,0,6,3,4,4,5,14,14,14,8,8,8
sin_freq,5,evolutionary_joint,1,4,3,1,1,3,5,5,5,2,2,2
sin_freq,5,evolutionary_joint,2,2,2,0,0,1,1,1,1,0,0,0
sin_freq,5,evolutionary_joint,3,6,4,5,5,5,30,30,27,13,13,10
sin_freq,5,evolutionary_joint,4,3,2,1,1,2,4,4,4,2,2,2
sin_freq,5,evolutionary_joint,5,2,2,0,0,1,1,1,1,0,0,0
sin_freq,5,evolutionary_joint,6,3,3,2,2,2,10,10,10,4,4,4
sin_freq,5,evolutionary_joint,7,5,5,3,3,4,21,21,21,6,6,6
sin_freq,5,evolutionary_joint,8,4,3,3,3,3,10,10,10,6,6,6
sin_freq,5,evolutionary_joint,9,5,4,3,3,4,17,17,17,6,6,6
sin_freq,5,random_joint,0,2,2,1,1,1,4,4,4,2,2,2
sin_freq,5,random_joint,1,4,4,3,3,3,19,19,19,6,6,6
sin_freq,5,random_joint,2,5,3,2,2,4,16,16,16,4,4,4
sin_freq,5,random_joint,3,4,3,3,3,3,19,19,19,6,6,6
sin_freq,5,random_joint,4,6,4,2,2,4,11,11,11,4,4,4
sin_freq,5,random_joint,5,3,3,2,2,2,16,16,16,4,4,4
sin_freq,5,random_joint,6,6,5,4,4,4,33,33,30,11,11,8
sin_freq,5,random_joint,7,2,2,0,0,1,5,5,5,0,0,0
sin_freq,5,random_joint,8,2,2,1,1,1,10,10,10,2,2,2
sin_freq,5,random_joint,9,4,3,1,1,1,13,13,13,2,2,2
