task,n_qubits,arm,replicate,test_rmse
change_point,5,evolutionary_structure,0,0.09940819882982187
change_point,5,evolutionary_structure,1,0.10268173489541896
change_point,5,evolutionary_structure,2,0.10025282919700064
change_point,5,evolutionary_structure,3,0.10275341144346385
change_point,5,evolutionary_structure,4,0.10070674986437805
change_point,5,evolutionary_structure,5,0.1082459648244588
change_point,5,evolutionary_structure,6,0.0991402003680757
change_point,5,evolutionary_structure,7,0.10190666298352452
change_point,5,evolutionary_structure,8,0.10078054426347949
change_point,5,evolutionary_structure,9,0.10381893799020149
change_point,5,greedy_growth,0,0.09957794127280152
change_point,5,greedy_growth,1,0.09996128271043805
change_point,5,greedy_growth,2,0.09867381556159577
change_point,5,greedy_growth,3,0.1032293021458954
change_point,5,greedy_growth,4,0.10178367039811002
change_point,5,greedy_growth,5,0.10468093182593842
change_point,5,greedy_growth,6,0.09840302910227705
change_point,5,greedy_growth,7,0.10059335789316211
change_point,5,greedy_growth,8,0.14000777755999472
change_point,5,greedy_growth,9,0.11295528044521014
change_point,5,random_structure,0,0.10061109757519274
change_point,5,random_structure,1,0.10215700534655753
change_point,5,random_structure,2,0.09840765927889386
change_point,5,random_structure,3,0.10093439059486582
change_point,5,random_structure,4,0.10133111365961504
change_point,5,random_structure,5,0.10448285125681134
change_point,5,random_structure,6,0.10047629738653466
change_point,5,random_structure,7,0.10184242263758352
change_point,5,random_structure,8,0.11188440284819208
change_point,5,random_structure,9,0.10382173920215103
change_point,5,ref_realamp_d1,0,0.2641253461147995
change_point,5,ref_realamp_d1,1,0.3325307045402416
change_point,5,ref_realamp_d1,2,0.26154781716639675
change_point,5,ref_realamp_d1,3,0.2696820662671621
change_point,5,ref_realamp_d1,4,0.2684412622609191
change_point,5,ref_realamp_d1,5,0.25966186230236443
change_point,5,ref_realamp_d1,6,0.26925421776499
change_point,5,ref_realamp_d1,7,0.2667787194777875
change_point,5,ref_realamp_d1,8,0.3336123204714865
change_point,5,ref_realamp_d1,9,0.3367163686924615
change_point,5,ref_realamp_d2,0,0.11904686303509775
change_point,5,ref_realamp_d2,1,0.11692521951432806
change_point,5,ref_realamp_d2,2,0.11664434019999663
change_point,5,ref_realamp_d2,3,0.12095745136593611
change_point,5,ref_realamp_d2,4,0.11885773863135494
change_point,5,ref_realamp_d2,5,0.12673796902145104
change_point,5,ref_realamp_d2,6,0.11953885806464172
change_point,5,ref_realamp_d2,7,0.11435406534242028
change_point,5,ref_realamp_d2,8,0.12022721953371908
change_point,5,ref_realamp_d2,9,0.12092233560900209
change_point,5,ref_strongent_d1,0,0.14754820388701703
change_point,5,ref_strongent_d1,1,0.1564023617573529
change_point,5,ref_strongent_d1,2,0.15122786101837699
change_point,5,ref_strongent_d1,3,0.15590238685235705
change_point,5,ref_strongent_d1,4,0.15135612876838606
change_point,5,ref_strongent_d1,5,0.15344740476491428
change_point,5,ref_strongent_d1,6,0.15313140223929445
change_point,5,ref_strongent_d1,7,0.15606934980151874
change_point,5,ref_strongent_d1,8,0.1506810863912707
change_point,5,ref_strongent_d1,9,0.1503562436824964
change_point,5,ref_strongent_d2,0,0.10363785571255867
change_point,5,ref_strongent_d2,1,0.1022244263721992
change_point,5,ref_strongent_d2,2,0.10395714288466099
change_point,5,ref_strongent_d2,3,0.10218273212483141
change_point,5,ref_strongent_d2,4,0.10631069226424071
change_point,5,ref_strongent_d2,5,0.11112084031642154
change_point,5,ref_strongent_d2,6,0.10365241003495128
change_point,5,ref_strongent_d2,7,0.10060723969180152
change_point,5,ref_strongent_d2,8,0.10425467597642975
change_point,5,ref_strongent_d2,9,0.10742636397250925
