task,n_qubits,arm,replicate,transpiled_2q_line,test_rmse
gauss_peak,6,evolutionary_structure,0,140,0.021878718842389462
gauss_peak,6,evolutionary_structure,1,148,0.021739684595815326
gauss_peak,6,evolutionary_structure,2,157,0.020561501423964706
gauss_peak,6,evolutionary_structure,3,175,0.020199202009869514
gauss_peak,6,evolutionary_structure,4,153,0.02111920156718948
gauss_peak,6,random_structure,0,157,0.020526954397256034
gauss_peak,6,random_structure,1,187,0.02192082065910964
gauss_peak,6,random_structure,2,130,0.018996358760868796
gauss_peak,6,random_structure,3,121,0.021613007116613462
gauss_peak,6,random_structure,4,47,0.020426246875719905
gauss_peak,6,ref_strongent_d2,0,35,0.04294375232096467
gauss_peak,6,ref_strongent_d2,1,35,0.05094756705027381
gauss_peak,6,ref_strongent_d2,2,35,0.04966145082538848
gauss_peak,6,ref_strongent_d2,3,35,0.056162010675258146
gauss_peak,6,ref_strongent_d2,4,35,0.023259002626251128
