task,n_qubits,arm,replicate,transpiled_2q_line,test_rmse
sin_freq,3,evolutionary_structure,0,18,0.07540638947809798
sin_freq,3,evolutionary_structure,1,13,0.14435000112831115
sin_freq,3,evolutionary_structure,2,15,0.09102535111914872
sin_freq,3,evolutionary_structure,3,27,0.0865133579349766
sin_freq,3,evolutionary_structure,4,18,0.11710809490698305
sin_freq,3,random_structure,0,4,0.1319806744775414
sin_freq,3,random_structure,1,13,0.10237225325333699
sin_freq,3,random_structure,2,18,0.06592407672319431
sin_freq,3,random_structure,3,6,0.07511533191755908
sin_freq,3,random_structure,4,20,0.12709004416006334
sin_freq,3,ref_strongent_d2,0,12,0.05730112619242601
sin_freq,3,ref_strongent_d2,1,12,0.08108020227418375
sin_freq,3,ref_strongent_d2,2,12,0.06663646896647028
sin_freq,3,ref_strongent_d2,3,12,0.07753053679467613
sin_freq,3,ref_strongent_d2,4,12,0.06990808249482465
