block,arm,n,test_logloss_median,test_logloss_mean
0,controlled_random,3,0.7364418227608884,0.7383357805976644
0,controlled_evolutionary,3,0.7222261519041729,0.7217415694508649
0,controlled_greedy,3,0.728156160235753,0.7316399178623393
1,controlled_random,3,0.7022545290332761,0.704955517553592
1,controlled_evolutionary,3,0.7011012454370925,0.7019229964609774
1,controlled_greedy,3,0.7169546774744717,0.7189364204628784
2,controlled_random,3,0.7292886460423192,0.7237259925807292
2,controlled_evolutionary,3,0.7331263806645302,0.7426994744213983
2,controlled_greedy,3,0.7270612906826374,0.7389870278607783
3,controlled_random,3,0.7383792821153725,0.7356270125015248
3,controlled_evolutionary,3,0.762910081795673,0.7586944044759129
3,controlled_greedy,3,0.7260961888578866,0.7269931497578952
4,controlled_random,3,0.7117976908675673,0.711241173222488
4,controlled_evolutionary,3,0.7108169963264136,0.7252930109555749
4,controlled_greedy,3,0.7261719877160756,0.7208174219973155
5,controlled_random,3,0.736859834715204,0.7264700149719996
5,controlled_evolutionary,3,0.7050373664826065,0.7264866731667233
5,controlled_greedy,3,0.7407762532610869,0.7365053006079361
6,controlled_random,3,0.7451182602059228,0.7405709465791622
6,controlled_evolutionary,3,0.6999582594097117,0.7171327847911916
6,controlled_greedy,3,0.7339920862447179,0.731464569476806
7,controlled_random,3,0.7287973166055608,0.7264262137087455
7,controlled_evolutionary,3,0.7024400524758537,0.7066847268195406
7,controlled_greedy,3,0.7168103113425612,0.7243991148548319
8,controlled_random,3,0.7340301716115798,0.74174367320391
8,controlled_evolutionary,3,0.7136095073361959,0.7134811754314896
8,controlled_greedy,3,0.7338987463477264,0.7365480654306493
9,controlled_random,3,0.7192625502068597,0.7146927330882474
9,controlled_evolutionary,3,0.7075570873688227,0.7192635072047807
9,controlled_greedy,3,0.7107364793847023,0.7250952295238188
