block,structural_hash,depth,two_qubit_gate_count,total_trainable_params,val_logloss,transpiled_two_qubit,transpiled_depth,wall_clock_seconds
0,00d1a145b304,15,14,53,0.7389477715886416,48,56,3.2928
0,047160bc22a8,13,8,53,0.8595009025350349,30,40,3.3338
0,04dc1a987b6d,14,11,53,0.7553265895426686,29,36,3.1782
0,07385542e9ad,10,4,53,0.7494044233837269,10,17,2.9497
0,07b16a99f569,4,0,53,0.7870665100034028,0,4,2.4519
0,07b16a99f569,4,0,53,0.7751722003417609,0,4,2.1605
0,0800fe397342,17,15,53,0.7866468178357202,49,52,3.3801
0,087c2397e3b9,10,8,53,0.7406627358661688,30,36,2.4696
0,0892c1ad427c,11,9,53,0.8295457405184073,9,16,2.8503
0,0a0ec1d37b3a,11,8,53,0.7429260680387567,26,32,2.6976
0,0ace4c49ce0d,10,7,53,0.7939190956071459,23,34,2.6887
0,0b1c564f1310,11,7,53,0.7846345580552957,16,19,2.5442
0,0dcc795ff904,15,14,53,0.7842419888644767,48,54,3.2831
0,0fd685f341b9,13,11,53,0.782908380649292,31,39,3.134
0,1185d77d745f,9,4,53,0.7511521563780446,10,15,2.6211
0,12d19e69c38f,16,15,53,0.7382906212765863,47,48,3.1118
0,13e3290c60c3,8,4,53,0.7759463540171548,8,10,2.6471
0,14f2551b2562,7,3,53,0.762830252444445,6,17,2.8489
0,185fb8c393f2,16,13,53,0.7703232259400151,37,44,3.0542
0,19f564e45cac,13,11,53,0.7902830949303731,37,38,2.9976
0,1f1a353443ff,18,15,53,0.7395788001272324,52,64,3.2319
0,2216cbb95191,7,3,53,0.766689962428233,3,11,2.434
0,223bdd32245f,7,3,53,0.7578349016155059,6,14,2.4435
0,22d92a4329d5,7,3,53,0.7798696352372387,3,11,2.8122
0,22e53edd9fb8,10,7,53,0.8085537402490174,13,18,2.6968
0,23c40275695e,10,7,53,0.7741635752750058,15,22,2.8825
0,2422c77523bb,9,7,53,0.778724839279298,15,21,2.677
0,2809196352c7,11,7,53,0.7873561761989029,11,16,2.8758
0,294ab4c83231,13,12,53,0.7506072533658246,44,43,2.6777
0,29deebce271b,20,18,53,0.7863091522098232,61,55,3.2526
0,2b61da1d3456,10,7,53,0.7789724846563197,18,23,2.742
0,2f32cd0a3c4d,16,14,53,0.7408970032286039,37,45,3.5514
0,333ab963d46a,21,19,53,0.8249146128510741,62,59,3.1219
