run_id,arm,block,seed,perf_selected_test_logloss,perf_selected_transpiled_2q,hw_selected_test_logloss,hw_selected_transpiled_2q
controlled_random_b0_s0,controlled_random,0,0,0.7364418227608884,18,0.7364418227608884,18
controlled_random_b0_s1,controlled_random,0,1,0.7621544535425233,28,0.7331795381161899,12
controlled_random_b0_s2,controlled_random,0,2,0.7164110654895812,36,0.7109921890781374,0
controlled_evolutionary_b0_s0,controlled_evolutionary,0,0,0.7261588858094054,50,0.7524019263800305,19
controlled_evolutionary_b0_s1,controlled_evolutionary,0,1,0.7222261519041729,28,0.7222261519041729,28
controlled_evolutionary_b0_s2,controlled_evolutionary,0,2,0.7168396706390161,10,0.7168396706390161,10
controlled_greedy_b0_s0,controlled_greedy,0,0,0.7434168747689139,3,0.7434168747689139,3
controlled_greedy_b0_s1,controlled_greedy,0,1,0.723346718582351,12,0.723346718582351,12
controlled_greedy_b0_s2,controlled_greedy,0,2,0.728156160235753,0,0.7356315436661507,0
controlled_random_b1_s0,controlled_random,1,0,0.7022545290332761,19,0.7022545290332761,19
controlled_random_b1_s1,controlled_random,1,1,0.7124671245359491,26,0.7129649231089233,12
controlled_random_b1_s2,controlled_random,1,2,0.7001448990915509,0,0.7001448990915509,0
controlled_evolutionary_b1_s0,controlled_evolutionary,1,0,0.6958730111604762,48,0.7169546774744717,8
controlled_evolutionary_b1_s1,controlled_evolutionary,1,1,0.7011012454370925,38,0.7315673238498668,23
controlled_evolutionary_b1_s2,controlled_evolutionary,1,2,0.7087947327853635,3,0.7307167497457676,3
controlled_greedy_b1_s0,controlled_greedy,1,0,0.7169546774744717,8,0.7169546774744717,8
controlled_greedy_b1_s1,controlled_greedy,1,1,0.7262414690705283,0,0.7119249477171372,0
controlled_greedy_b1_s2,controlled_greedy,1,2,0.7136131148436353,23,0.7092596822557762,14
controlled_random_b2_s0,controlled_random,2,0,0.7292886460423192,30,0.7292886460423192,30
controlled_random_b2_s1,controlled_random,2,1,0.7035626942767818,14,0.7035626942767818,14
controlled_random_b2_s2,controlled_random,2,2,0.7383266374230869,19,0.7383266374230869,19
controlled_evolutionary_b2_s0,controlled_evolutionary,2,0,0.7239286534360975,6,0.7226458184420513,0
controlled_evolutionary_b2_s1,controlled_evolutionary,2,1,0.7331263806645302,37,0.7249257521856771,12
controlled_evolutionary_b2_s2,controlled_evolutionary,2,2,0.7710433891635673,3,0.7710433891635673,3
controlled_greedy_b2_s0,controlled_greedy,2,0,0.7682576791120286,10,0.7503334025564508,0
controlled_greedy_b2_s1,controlled_greedy,2,1,0.721642113787669,3,0.7413846383560778,0
controlled_greedy_b2_s2,controlled_greedy,2,2,0.7270612906826374,42,0.7257159824938136,14
controlled_random_b3_s0,controlled_random,3,0,0.7383792821153725,23,0.7383792821153725,23
controlled_random_b3_s1,controlled_random,3,1,0.7261934640004458,12,0.7261934640004458,12
controlled_random_b3_s2,controlled_random,3,2,0.7423082913887561,12,0.7423082913887561,12
controlled_evolutionary_b3_s0,controlled_evolutionary,3,0,0.7735247958557236,24,0.7735247958557236,24
controlled_evolutionary_b3_s1,controlled_evolutionary,3,1,0.7396483357763419,34,0.7396483357763419,34
controlled_evolutionary_b3_s2,controlled_evolutionary,3,2,0.762910081795673,26,0.7520090449474999,13
controlled_greedy_b3_s0,controlled_greedy,3,0,0.7405484037955988,6,0.7405484037955988,6
controlled_greedy_b3_s1,controlled_greedy,3,1,0.7260961888578866,6,0.7260961888578866,6
controlled_greedy_b3_s2,controlled_greedy,3,2,0.7143348566202004,3,0.7143348566202004,3
controlled_random_b4_s0,controlled_random,4,0,0.706522993863681,18,0.706522993863681,18
controlled_random_b4_s1,controlled_random,4,1,0.7154028349362156,28,0.7154028349362156,28
controlled_random_b4_s2,controlled_random,4,2,0.7117976908675673,12,0.7117976908675673,12
controlled_evolutionary_b4_s0,controlled_evolutionary,4,0,0.7108169963264136,30,0.7184965652538706,19
controlled_evolutionary_b4_s1,controlled_evolutionary,4,1,0.7566032930566032,27,0.693377118524207,21
controlled_evolutionary_b4_s2,controlled_evolutionary,4,2,0.7084587434837076,16,0.7363903802697735,3
controlled_greedy_b4_s0,controlled_greedy,4,0,0.7374578498467547,19,0.7374578498467547,19
controlled_greedy_b4_s1,controlled_greedy,4,1,0.698822428429116,0,0.6990422760661615,0
controlled_greedy_b4_s2,controlled_greedy,4,2,0.7261719877160756,26,0.7261719877160756,26
controlled_random_b5_s0,controlled_random,5,0,0.736859834715204,18,0.7383287972525174,6
controlled_random_b5_s1,controlled_random,5,1,0.7390858127129211,12,0.7390858127129211,12
controlled_random_b5_s2,controlled_random,5,2,0.7034643974878738,0,0.7034643974878738,0
controlled_evolutionary_b5_s0,controlled_evolutionary,5,0,0.7043702702025445,50,0.711369548609385,12
controlled_evolutionary_b5_s1,controlled_evolutionary,5,1,0.7050373664826065,12,0.7050373664826065,12
controlled_evolutionary_b5_s2,controlled_evolutionary,5,2,0.770052382815019,19,0.770052382815019,19
controlled_greedy_b5_s0,controlled_greedy,5,0,0.7257463647941971,6,0.7257463647941971,6
controlled_greedy_b5_s1,controlled_greedy,5,1,0.7407762532610869,12,0.7259748318503078,0
controlled_greedy_b5_s2,controlled_greedy,5,2,0.7429932837685241,23,0.7546286681504748,21
controlled_random_b6_s0,controlled_random,6,0,0.7451182602059228,15,0.7451182602059228,15
controlled_random_b6_s1,controlled_random,6,1,0.7479497050770411,16,0.7479497050770411,16
controlled_random_b6_s2,controlled_random,6,2,0.7286448744545229,33,0.6983140852551617,0
controlled_evolutionary_b6_s0,controlled_evolutionary,6,0,0.6999582594097117,32,0.6992772189878793,28
