run_id,arm,block,seed,consumed_budget,num_invalid,num_duplicate,num_failed,num_unique,selected_val_logloss,test_logloss,test_auc,test_accuracy,test_brier
controlled_random_b0_s0,controlled_random,0,0,25,0,1,0,24,0.729449436356439,0.7364418227608884,0.5371262601746694,0.5095,0.2659111456594807
controlled_random_b0_s1,controlled_random,0,1,25,0,2,0,23,0.7306729756668555,0.7621544535425233,0.48751158377829756,0.502,0.27946624364587225
controlled_random_b0_s2,controlled_random,0,2,25,0,0,0,25,0.7086395410449748,0.7164110654895812,0.5326592343272984,0.5325,0.26019861225005275
controlled_evolutionary_b0_s0,controlled_evolutionary,0,0,25,0,4,0,21,0.7088903348687725,0.7261588858094054,0.4859269630241785,0.499,0.2650978491114821
controlled_evolutionary_b0_s1,controlled_evolutionary,0,1,25,0,7,0,18,0.73161263543459,0.7222261519041729,0.5121203429199546,0.507,0.262674660815736
controlled_evolutionary_b0_s2,controlled_evolutionary,0,2,25,0,5,0,20,0.7372653911966219,0.7168396706390161,0.518559118389223,0.521,0.26050877349510054
controlled_greedy_b0_s0,controlled_greedy,0,0,25,0,1,0,25,0.7416425474330345,0.7434168747689139,0.5137169987684087,0.5195,0.27130926094497665
controlled_greedy_b0_s1,controlled_greedy,0,1,25,0,6,0,20,0.7198237851627336,0.723346718582351,0.5213893714070229,0.5105,0.26323406855367343
controlled_greedy_b0_s2,controlled_greedy,0,2,25,0,1,0,24,0.7452105552215958,0.728156160235753,0.5080865804686466,0.5075,0.2657721659094068
controlled_random_b1_s0,controlled_random,1,0,25,0,1,0,24,0.6930874355221608,0.7022545290332761,0.521768476878578,0.518,0.25428531132004195
controlled_random_b1_s1,controlled_random,1,1,25,0,2,0,23,0.7058558826916586,0.7124671245359491,0.5178069249932804,0.5135,0.25902945389529086
controlled_random_b1_s2,controlled_random,1,2,25,0,0,0,25,0.7050745628769796,0.7001448990915509,0.513164387353523,0.51,0.25339581951133233
controlled_evolutionary_b1_s0,controlled_evolutionary,1,0,25,0,4,0,21,0.6966449450189548,0.6958730111604762,0.5179272759366312,0.529,0.25130497214264996
controlled_evolutionary_b1_s1,controlled_evolutionary,1,1,25,0,4,0,21,0.6921207288433775,0.7011012454370925,0.5211426519731537,0.529,0.25371168449492315
controlled_evolutionary_b1_s2,controlled_evolutionary,1,2,25,0,4,0,21,0.6996799303094831,0.7087947327853635,0.529587276498269,0.5325,0.2567077085952981
controlled_greedy_b1_s0,controlled_greedy,1,0,25,0,2,0,24,0.700356349874387,0.7169546774744717,0.5342478667795292,0.5275,0.2597551068976375
controlled_greedy_b1_s1,controlled_greedy,1,1,25,0,5,0,20,0.6945484101115814,0.7262414690705283,0.5366047394201492,0.5345,0.2636139377736182
controlled_greedy_b1_s2,controlled_greedy,1,2,25,0,4,0,21,0.7062770180004432,0.7136131148436353,0.516698693389925,0.506,0.2593990110137614
controlled_random_b2_s0,controlled_random,2,0,25,0,1,0,24,0.6877824136397389,0.7292886460423192,0.5260088417826382,0.527,0.2654629108830238
controlled_random_b2_s1,controlled_random,2,1,25,0,2,0,23,0.6939158744482085,0.7035626942767818,0.5261843535750248,0.5175,0.2549437352565163
controlled_random_b2_s2,controlled_random,2,2,25,0,0,0,25,0.6828056066111987,0.7383266374230869,0.5257059585752053,0.524,0.26852483633729296
controlled_evolutionary_b2_s0,controlled_evolutionary,2,0,25,0,4,0,21,0.6910682367814173,0.7239286534360975,0.5265534298013006,0.5275,0.2636188206526817
controlled_evolutionary_b2_s1,controlled_evolutionary,2,1,25,0,5,0,20,0.694319668678369,0.7331263806645302,0.528643524517493,0.5255,0.26735255355496396
controlled_evolutionary_b2_s2,controlled_evolutionary,2,2,25,0,3,0,22,0.6974315520795907,0.7710433891635673,0.506431754997573,0.497,0.28215409923859774
controlled_greedy_b2_s0,controlled_greedy,2,0,25,0,0,0,25,0.7148827796501293,0.7682576791120286,0.49405967802110956,0.502,0.2823258948949074
controlled_greedy_b2_s1,controlled_greedy,2,1,25,0,2,0,24,0.6962735451727808,0.721642113787669,0.5214726141428405,0.5195,0.2627184756231154
controlled_greedy_b2_s2,controlled_greedy,2,2,25,0,3,0,22,0.6952522389317337,0.7270612906826374,0.4971256183029715,0.5015,0.26534609097011536
controlled_random_b3_s0,controlled_random,3,0,25,0,1,0,24,0.6920897913754778,0.7383792821153725,0.5248514668774146,0.5325,0.26935968662896
controlled_random_b3_s1,controlled_random,3,1,25,0,2,0,23,0.692630435153312,0.7261934640004458,0.5229800097083094,0.513,0.2646469254825296
