structural_hash,encoding_type,n_qubits,encoding_inputs,n_measurements,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds,train_seed
033c5fee95b1,angle,4,4,4,13,26,10,88,12,5,105,0.028017440559495226,0.9485,3897656992
07b16a99f569,angle,4,4,4,4,16,0,88,12,5,105,0.03559550179847146,0.7056,2266247408
07b16a99f569,angle,4,4,4,4,16,0,88,12,5,105,0.03505047136056801,1.178,2356383356
0829f65f5f26,angle,4,4,4,13,25,9,88,12,5,105,0.03340817874467965,0.9026,2678798100
0923951a0587,angle,4,4,4,14,26,10,88,12,5,105,0.020057491696220495,1.2125,2687438857
09987dd07006,angle,4,4,4,14,26,10,88,12,5,105,0.02341385890808983,1.3877,2246366307
09b2eccb019d,angle,4,4,4,15,24,12,88,12,5,105,0.03404623327530455,0.9715,3107210781
0a0ec1d37b3a,angle,4,4,4,11,20,8,88,12,5,105,0.03808611723075403,0.8813,3957911272
0a800014d40b,angle,4,4,4,8,20,4,88,12,5,105,0.0359205635100807,0.8831,106578133
0ace4c49ce0d,angle,4,4,4,10,19,7,88,12,5,105,0.025982625360522912,0.8406,3392715303
0d0fbe56dd45,angle,4,4,4,15,24,12,88,12,5,105,0.02554869909840362,1.1892,3715899835
0d27dae718dc,angle,4,4,4,7,19,3,88,12,5,105,0.017256089364912547,0.8016,3323012489
0e56b2abc334,angle,4,4,4,13,22,10,88,12,5,105,0.030503525672597332,1.0464,3878940034
0e648ca7be69,angle,4,4,4,15,27,11,88,12,5,105,0.03668837411995904,1.0287,4042925137
0edee90dea52,angle,4,4,4,5,20,0,88,12,5,105,0.031738186462844174,0.9708,3369363583
0f69573f48b4,angle,4,4,4,11,23,7,88,12,5,105,0.023003260561415943,0.9868,2624911473
0fab89b9ba2c,angle,4,4,4,8,20,4,88,12,5,105,0.033100404852425706,0.8939,3113479935
1144c44c4e76,angle,4,4,4,11,23,7,88,12,5,105,0.030495137157520353,0.9198,651829614
119ab852ae4c,angle,4,4,4,4,16,0,88,12,5,105,0.035883324573124646,0.8085,3488755863
11f6f2515a34,angle,4,4,4,7,16,4,88,12,5,105,0.03574805762195133,0.8734,1664703593
13b3a2e1d851,angle,4,4,4,9,19,7,88,12,5,105,0.02104723505139423,0.9064,2512513994
13d5740c1f2c,angle,4,4,4,9,19,7,88,12,5,105,0.025441711005670064,0.93,330829688
13e3290c60c3,angle,4,4,4,8,20,4,88,12,5,105,0.020196868083977835,0.8355,212857687
1533e7d145eb,angle,4,4,4,8,20,4,88,12,5,105,0.018938983560050575,0.8952,3391737243
162e5915e828,angle,4,4,4,12,27,7,88,12,5,105,0.027902731285411334,1.0619,2452366296
