structural_hash,encoding_type,n_qubits,encoding_inputs,n_measurements,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse
a8919a114da1,angle,4,1,1,1,2,1,22,0,2,24,0.292613580082368
0d500cb7179f,angle,6,1,4,4,6,4,22,0,5,27,0.07825119335814586
3658b36ba392,angle,4,1,4,1,1,0,22,0,5,27,0.29293616098554576
17243462920c,angle,2,1,1,7,10,3,22,6,2,30,0.06718504571636608
fe2dfeae4167,angle,2,1,2,5,8,1,22,6,3,31,0.29264325215030984
c3cdad29c70d,angle,10,1,10,5,5,3,22,0,11,33,0.2928602943843544
0c00a6fe2474,angle,2,2,2,2,3,1,44,0,3,47,0.04246564760421956
140326ab1084,angle,2,2,2,4,7,1,44,0,3,47,0.038477264568584496
39cc133ccae5,angle,2,2,2,4,5,3,44,0,3,47,0.041802229677304556
4973dedd1117,angle,2,2,2,2,3,1,44,0,3,47,0.048038512816052904
4973dedd1117,angle,2,2,2,2,3,1,44,0,3,47,0.037623261684541554
4abc3a3c6739,angle,2,2,2,2,3,1,44,0,3,47,0.050801891417088164
4e7dbf38f36c,angle,2,2,2,4,5,3,44,0,3,47,0.04661849624060152
64735740d37a,angle,2,2,2,2,3,1,44,0,3,47,0.02703005191833835
76f562afd067,angle,2,2,2,2,3,1,44,0,3,47,0.025446777541114452
8f73c4eb40cf,angle,2,2,2,3,4,2,44,0,3,47,0.03233166344251062
c05976f940d4,angle,2,2,1,8,9,5,44,1,2,47,0.29254667308850213
d319af008254,angle,2,2,2,6,9,3,44,0,3,47,0.053529850472151246
eb1516215953,angle,2,2,2,4,7,1,44,0,3,47,0.04486507114876856
f5b6a8d1aabd,angle,2,2,2,2,4,0,44,0,3,47,0.29258251288116455
f76fc0bd5986,angle,2,2,2,5,8,2,44,0,3,47,0.043535200461632007
f92993dfbff6,angle,2,2,2,3,5,1,44,0,3,47,0.09684314937760989
fb982657caa4,amplitude,2,2,2,1,1,0,44,0,3,47,0.03485944937222234
3d752dcbfc77,angle,2,2,2,3,4,2,44,1,3,48,0.05738586539005654
4816ce519cbf,angle,2,2,2,5,8,2,44,1,3,48,0.042600098197274755
58cb44b0c3ef,angle,2,2,2,2,3,0,44,1,3,48,0.04172298826128945
6c2a6517bffe,angle,2,2,2,3,4,0,44,1,3,48,0.0683161688821689
8ad7efb90d7e,angle,2,2,2,2,3,1,44,1,3,48,0.04412912203489097
c0a60f8dbbb8,angle,2,2,2,3,4,2,44,1,3,48,0.043613907070758795
c12c85fbcd32,angle,2,2,2,5,8,1,44,1,3,48,0.04496861660378093
f8413103739b,angle,2,2,2,4,5,0,44,1,3,48,0.0515393194327446
11a318701fb3,angle,2,2,2,4,5,0,44,2,3,49,0.05561791864949497
1d7972add843,angle,2,2,2,8,13,3,44,2,3,49,0.029065658883928088
35a2af9c8bc1,angle,2,2,2,6,11,1,44,2,3,49,0.07276874589162309
385ea218a5f3,angle,2,2,2,5,6,1,44,2,3,49,0.05199001811032244
42c777ea35ab,angle,2,2,2,4,5,3,44,2,3,49,0.04117518689596157
45db0dd228be,angle,2,2,2,6,9,3,44,2,3,49,0.04184259557654159
476f14987cdc,angle,2,2,2,6,11,1,44,2,3,49,0.04595380136814991
602686057b1c,angle,2,2,2,3,4,0,44,2,3,49,0.04254712737932585
6410c9b9a6f8,angle,2,2,2,3,5,1,44,2,3,49,0.07125889310825252
69ce0f3abc12,angle,2,2,2,2,4,0,44,2,3,49,0.046436476104763064
6b8afaf97cec,angle,9,2,4,1,2,0,44,0,5,49,0.11143408847661612
73db73c69d05,angle,2,2,2,7,10,1,44,2,3,49,0.047775302934268904
7c50375ab68f,angle,2,2,2,4,5,3,44,2,3,49,0.05775721629675108
94b85eb49a27,angle,2,2,2,5,6,4,44,2,3,49,0.024375387672851002
bca698caa225,angle,2,2,2,6,7,5,44,2,3,49,0.027668582449335146
