split,seed,condition,val_rmse,test_rmse,total_params,trainable_params,frozen_quantum_params,two_qubit_gate_count
0,0,Q0_no_quantum,0.0487575054938469,0.05158138642484755,93,93,0,
0,0,QF_frozen_random,0.016983510731824646,0.023489769911047828,105,93,12,18
0,0,QP_product_state,0.029874909193096894,0.030593286821320977,105,105,0,0
0,0,QE_fixed_entangled,0.02599055816234803,0.026758366802968225,105,105,0,8
0,0,QR_fixed_random,0.014769749011801059,0.017986451069127527,105,105,0,18
0,1,Q0_no_quantum,0.053732307378059486,0.05247265265191378,93,93,0,
0,1,QF_frozen_random,0.01896174120740469,0.022486005047464237,105,93,12,18
0,1,QP_product_state,0.036134156857438794,0.03731018779133871,105,105,0,0
0,1,QE_fixed_entangled,0.03216929922703507,0.029816566033198565,105,105,0,8
0,1,QR_fixed_random,0.015862395072813125,0.02060225662100793,105,105,0,18
0,2,Q0_no_quantum,0.04884026183033939,0.04921378817363963,93,93,0,
0,2,QF_frozen_random,0.0268385683725793,0.02420512346998,105,93,12,18
0,2,QP_product_state,0.037675493375968865,0.03378651684439534,105,105,0,0
0,2,QE_fixed_entangled,0.018030477945905787,0.0170496635177784,105,105,0,8
0,2,QR_fixed_random,0.021988119786279556,0.02095418710480985,105,105,0,18
0,3,Q0_no_quantum,0.04467252709709074,0.04679930418321289,93,93,0,
0,3,QF_frozen_random,0.020081264148942856,0.02252951931588264,105,93,12,18
0,3,QP_product_state,0.0329821734770016,0.03035180877831749,105,105,0,0
0,3,QE_fixed_entangled,0.021759628294065463,0.02092016116849006,105,105,0,8
0,3,QR_fixed_random,0.027150299699049637,0.027392348290173365,105,105,0,18
0,4,Q0_no_quantum,0.047706052033065945,0.04829989293849978,93,93,0,
0,4,QF_frozen_random,0.022304994124516943,0.024391534459231534,105,93,12,18
0,4,QP_product_state,0.0282314618461412,0.027888477190797966,105,105,0,0
0,4,QE_fixed_entangled,0.024918431271392,0.026446407949772238,105,105,0,8
0,4,QR_fixed_random,0.01722087563689575,0.021162303786108526,105,105,0,18
0,5,Q0_no_quantum,0.055363571439903295,0.055025406386480964,93,93,0,
0,5,QF_frozen_random,0.0201456378494708,0.021699908832068075,105,93,12,18
0,5,QP_product_state,0.03768396921200442,0.03491559711359972,105,105,0,0
0,5,QE_fixed_entangled,0.018244202571754697,0.018167037048845425,105,105,0,8
0,5,QR_fixed_random,0.018329951243651707,0.019602671261278244,105,105,0,18
0,6,Q0_no_quantum,0.04847823308151959,0.04700318342417081,93,93,0,
0,6,QF_frozen_random,0.024307989334940196,0.027679631377096395,105,93,12,18
0,6,QP_product_state,0.033097577202269024,0.03498640826171857,105,105,0,0
0,6,QE_fixed_entangled,0.01906715279416675,0.020308053212692315,105,105,0,8
0,6,QR_fixed_random,0.03100557712664801,0.027388555204104645,105,105,0,18
0,7,Q0_no_quantum,0.04922243558528059,0.04770405644686868,93,93,0,
0,7,QF_frozen_random,0.024852934645080624,0.030333392374958724,105,93,12,18
0,7,QP_product_state,0.0360314749602759,0.03745101202777075,105,105,0,0
0,7,QE_fixed_entangled,0.020491461229879642,0.023659964430164614,105,105,0,8
0,7,QR_fixed_random,0.043649404422852624,0.03822371624505816,105,105,0,18
0,8,Q0_no_quantum,0.056296479223645,0.05517165948764011,93,93,0,
0,8,QF_frozen_random,0.025177795549902165,0.021907321549832718,105,93,12,18
0,8,QP_product_state,0.030099881482518128,0.03086992321045148,105,105,0,0
0,8,QE_fixed_entangled,0.019277869097007665,0.019216978255282856,105,105,0,8
0,8,QR_fixed_random,0.020940778639058542,0.022165334267262627,105,105,0,18
0,9,Q0_no_quantum,0.05243292190807783,0.05231387428381005,93,93,0,
0,9,QF_frozen_random,0.020378617810207427,0.02513502596124916,105,93,12,18
0,9,QP_product_state,0.029549045002004646,0.030831990489840023,105,105,0,0
0,9,QE_fixed_entangled,0.023983031615211592,0.024742217394237077,105,105,0,8
0,9,QR_fixed_random,0.03573563552532517,0.04123237550255743,105,105,0,18
1,0,Q0_no_quantum,0.05668727929987465,0.05656187572389955,93,93,0,
1,0,QF_frozen_random,0.02050510030962084,0.02114511624195583,105,93,12,18
1,0,QP_product_state,0.035263707656134444,0.03576998019414798,105,105,0,0
1,0,QE_fixed_entangled,0.022034019812397915,0.023069557766116,105,105,0,8
1,0,QR_fixed_random,0.02320643705741152,0.02412508321151985,105,105,0,18
1,1,Q0_no_quantum,0.051745817407149175,0.050466304795812544,93,93,0,
1,1,QF_frozen_random,0.02918183468549311,0.030823142337342145,105,93,12,18
1,1,QP_product_state,0.042066872103751846,0.04265580442190809,105,105,0,0
1,1,QE_fixed_entangled,0.020396662748346027,0.02169889815935068,105,105,0,8
1,1,QR_fixed_random,0.024753249056839885,0.02731104802466503,105,105,0,18
1,2,Q0_no_quantum,0.044452451134540515,0.0449910267867802,93,93,0,
1,2,QF_frozen_random,0.02065102964461988,0.02269200692535741,105,93,12,18
1,2,QP_product_state,0.040090105159719044,0.0396355896966008,105,105,0,0
1,2,QE_fixed_entangled,0.013647567009065163,0.014993302256672987,105,105,0,8
1,2,QR_fixed_random,0.01685083207671489,0.018349582065691143,105,105,0,18
1,3,Q0_no_quantum,0.054286310780303944,0.05285427393087418,93,93,0,
1,3,QF_frozen_random,0.0335353408050129,0.03510679379563332,105,93,12,18
1,3,QP_product_state,0.030062421526851082,0.03136727847145556,105,105,0,0
1,3,QE_fixed_entangled,0.022221034506057828,0.023410005174500495,105,105,0,8
1,3,QR_fixed_random,0.024436551639041675,0.026408837806578468,105,105,0,18
1,4,Q0_no_quantum,0.06968882197322845,0.0694727029974498,93,93,0,
1,4,QF_frozen_random,0.025569222089515526,0.026925664595121995,105,93,12,18
1,4,QP_product_state,0.02882169943762949,0.03030913769947467,105,105,0,0
1,4,QE_fixed_entangled,0.021197585059945054,0.02135501036757531,105,105,0,8
1,4,QR_fixed_random,0.01840634767096386,0.01892111390880088,105,105,0,18
1,5,Q0_no_quantum,0.048816248645056036,0.04677363078033972,93,93,0,
1,5,QF_frozen_random,0.016071249085669734,0.01774117476248937,105,93,12,18
1,5,QP_product_state,0.038131568273012416,0.03708797991434223,105,105,0,0
1,5,QE_fixed_entangled,0.018896561365934976,0.01990507113770124,105,105,0,8
1,5,QR_fixed_random,0.016632541444860028,0.01920636930258808,105,105,0,18
1,6,Q0_no_quantum,0.0630593036639417,0.06278135043540142,93,93,0,
1,6,QF_frozen_random,0.022144724150092634,0.022808800161198493,105,93,12,18
1,6,QP_product_state,0.032673841382583446,0.03353535743046498,105,105,0,0
1,6,QE_fixed_entangled,0.01852163910556294,0.019461066461913017,105,105,0,8
1,6,QR_fixed_random,0.020371546967622844,0.02222180324360947,105,105,0,18
1,7,Q0_no_quantum,0.06044378016752294,0.06044705058634148,93,93,0,
1,7,QF_frozen_random,0.019924343733012925,0.021233817647785425,105,93,12,18
1,7,QP_product_state,0.03399770694822511,0.036079501931270505,105,105,0,0
1,7,QE_fixed_entangled,0.023533338154267152,0.02428726639639656,105,105,0,8
1,7,QR_fixed_random,0.0353713853305925,0.03677351338771799,105,105,0,18
1,8,Q0_no_quantum,0.06084700655721256,0.060098432128600235,93,93,0,
1,8,QF_frozen_random,0.017823733481363707,0.021399471369872722,105,93,12,18
1,8,QP_product_state,0.03286968159470555,0.03346194118874154,105,105,0,0
1,8,QE_fixed_entangled,0.016579182447803997,0.018982995958005944,105,105,0,8
1,8,QR_fixed_random,0.01761743083874612,0.02031514316029612,105,105,0,18
1,9,Q0_no_quantum,0.0594427728472832,0.0586288408807765,93,93,0,
1,9,QF_frozen_random,0.019926648272894795,0.021350131874827805,105,93,12,18
1,9,QP_product_state,0.034461545384883094,0.03513125423891153,105,105,0,0
1,9,QE_fixed_entangled,0.0230580464948751,0.02313732244380391,105,105,0,8
1,9,QR_fixed_random,0.03432035603303573,0.03551958569992065,105,105,0,18
2,0,Q0_no_quantum,0.04482920468079174,0.05109828726822153,93,93,0,
2,0,QF_frozen_random,0.018302916543858357,0.02134358659734903,105,93,12,18
2,0,QP_product_state,0.02514781082234753,0.03122721931385861,105,105,0,0
2,0,QE_fixed_entangled,0.021017230458426527,0.022436398403153205,105,105,0,8
2,0,QR_fixed_random,0.014638252235156237,0.01837818849360786,105,105,0,18
2,1,Q0_no_quantum,0.04705176733827426,0.0562593903608298,93,93,0,
2,1,QF_frozen_random,0.02234894805727408,0.023631822791068333,105,93,12,18
2,1,QP_product_state,0.03097913969870205,0.03498447212514272,105,105,0,0
2,1,QE_fixed_entangled,0.018927934182833887,0.02045999655486593,105,105,0,8
2,1,QR_fixed_random,0.02206494027831461,0.023017823679627743,105,105,0,18
2,2,Q0_no_quantum,0.03522326595808108,0.04189515353910472,93,93,0,
2,2,QF_frozen_random,0.02125809883050808,0.0235089403838729,105,93,12,18
2,2,QP_product_state,0.029206494588519594,0.03537873002944474,105,105,0,0
2,2,QE_fixed_entangled,0.01512672500404525,0.017450224942549858,105,105,0,8
