run_id,arm,split,seed,proposals_consumed,unique_trainings,duplicates,invalid,failed,cumulative_walltime_s
controlled_random_split0_s0,controlled_random,0,0,25,24,1,0,0,23.339
controlled_random_split0_s1,controlled_random,0,1,25,23,2,0,0,21.08
controlled_random_split0_s2,controlled_random,0,2,25,25,0,0,0,21.891
controlled_random_split0_s3,controlled_random,0,3,25,24,1,0,0,24.337
controlled_random_split0_s4,controlled_random,0,4,25,25,0,0,0,22.513
controlled_random_split0_s5,controlled_random,0,5,25,25,0,0,0,22.959
controlled_random_split0_s6,controlled_random,0,6,25,25,0,0,0,22.954
controlled_random_split0_s7,controlled_random,0,7,25,25,0,0,0,22.148
controlled_random_split0_s8,controlled_random,0,8,25,25,0,0,0,21.991
controlled_random_split0_s9,controlled_random,0,9,25,25,0,0,0,23.294
controlled_evolutionary_split0_s0,controlled_evolutionary,0,0,25,19,6,0,0,18.974
controlled_evolutionary_split0_s1,controlled_evolutionary,0,1,25,15,10,0,0,14.375
controlled_evolutionary_split0_s2,controlled_evolutionary,0,2,25,21,4,0,0,21.478
controlled_evolutionary_split0_s3,controlled_evolutionary,0,3,25,18,7,0,0,17.665
controlled_evolutionary_split0_s4,controlled_evolutionary,0,4,25,17,8,0,0,15.327
controlled_evolutionary_split0_s5,controlled_evolutionary,0,5,25,21,4,0,0,21.534
controlled_evolutionary_split0_s6,controlled_evolutionary,0,6,25,21,4,0,0,20.53
controlled_evolutionary_split0_s7,controlled_evolutionary,0,7,25,19,6,0,0,18.395
controlled_evolutionary_split0_s8,controlled_evolutionary,0,8,25,15,10,0,0,15.784
controlled_evolutionary_split0_s9,controlled_evolutionary,0,9,25,19,6,0,0,19.762
controlled_greedy_split0_s0,controlled_greedy,0,0,25,25,0,0,0,25.265
controlled_greedy_split0_s1,controlled_greedy,0,1,25,25,0,0,0,22.915
controlled_greedy_split0_s2,controlled_greedy,0,2,25,23,2,0,0,20.572
controlled_greedy_split0_s3,controlled_greedy,0,3,25,25,1,0,0,24.674
controlled_greedy_split0_s4,controlled_greedy,0,4,25,23,2,0,0,19.819
controlled_greedy_split0_s5,controlled_greedy,0,5,25,23,3,0,0,20.908
controlled_greedy_split0_s6,controlled_greedy,0,6,25,23,2,0,0,21.902
controlled_greedy_split0_s7,controlled_greedy,0,7,25,22,3,0,0,19.227
controlled_greedy_split0_s8,controlled_greedy,0,8,25,23,2,0,0,20.202
controlled_greedy_split0_s9,controlled_greedy,0,9,25,24,1,0,0,21.965
controlled_random_split1_s0,controlled_random,1,0,25,24,1,0,0,23.343
controlled_random_split1_s1,controlled_random,1,1,25,23,2,0,0,21.865
controlled_random_split1_s2,controlled_random,1,2,25,25,0,0,0,22.175
controlled_random_split1_s3,controlled_random,1,3,25,24,1,0,0,22.427
controlled_random_split1_s4,controlled_random,1,4,25,25,0,0,0,21.667
controlled_random_split1_s5,controlled_random,1,5,25,25,0,0,0,23.975
controlled_random_split1_s6,controlled_random,1,6,25,25,0,0,0,25.133
controlled_random_split1_s7,controlled_random,1,7,25,25,0,0,0,23.206
controlled_random_split1_s8,controlled_random,1,8,25,25,0,0,0,24.454
controlled_random_split1_s9,controlled_random,1,9,25,25,0,0,0,24.096
controlled_evolutionary_split1_s0,controlled_evolutionary,1,0,25,19,6,0,0,18.517
controlled_evolutionary_split1_s1,controlled_evolutionary,1,1,25,17,8,0,0,17.93
controlled_evolutionary_split1_s2,controlled_evolutionary,1,2,25,22,3,0,0,24.144
controlled_evolutionary_split1_s3,controlled_evolutionary,1,3,25,17,8,0,0,16.414
controlled_evolutionary_split1_s4,controlled_evolutionary,1,4,25,17,8,0,0,15.918
controlled_evolutionary_split1_s5,controlled_evolutionary,1,5,25,22,3,0,0,21.736
controlled_evolutionary_split1_s6,controlled_evolutionary,1,6,25,21,4,0,0,19.988
controlled_evolutionary_split1_s7,controlled_evolutionary,1,7,25,19,6,0,0,18.755
controlled_evolutionary_split1_s8,controlled_evolutionary,1,8,25,16,9,0,0,16.287
controlled_evolutionary_split1_s9,controlled_evolutionary,1,9,25,19,6,0,0,19.663
controlled_greedy_split1_s0,controlled_greedy,1,0,25,25,0,0,0,21.462
controlled_greedy_split1_s1,controlled_greedy,1,1,25,23,2,0,0,19.15
controlled_greedy_split1_s2,controlled_greedy,1,2,25,24,1,0,0,23.259
controlled_greedy_split1_s3,controlled_greedy,1,3,25,24,2,0,0,23.766
controlled_greedy_split1_s4,controlled_greedy,1,4,25,21,4,0,0,19.114
controlled_greedy_split1_s5,controlled_greedy,1,5,25,25,1,0,0,23.643
controlled_greedy_split1_s6,controlled_greedy,1,6,25,21,4,0,0,19.588
controlled_greedy_split1_s7,controlled_greedy,1,7,25,24,1,0,0,21.652
controlled_greedy_split1_s8,controlled_greedy,1,8,25,23,2,0,0,21.608
controlled_greedy_split1_s9,controlled_greedy,1,9,25,24,1,0,0,21.664
controlled_random_split2_s0,controlled_random,2,0,25,24,1,0,0,21.65
controlled_random_split2_s1,controlled_random,2,1,25,23,2,0,0,20.446
controlled_random_split2_s2,controlled_random,2,2,25,25,0,0,0,22.946
controlled_random_split2_s3,controlled_random,2,3,25,24,1,0,0,20.957
controlled_random_split2_s4,controlled_random,2,4,25,25,0,0,0,22.089
controlled_random_split2_s5,controlled_random,2,5,25,25,0,0,0,24.105
controlled_random_split2_s6,controlled_random,2,6,25,25,0,0,0,21.746
controlled_random_split2_s7,controlled_random,2,7,25,25,0,0,0,22.089
controlled_random_split2_s8,controlled_random,2,8,25,25,0,0,0,22.588
controlled_random_split2_s9,controlled_random,2,9,25,25,0,0,0,22.299
controlled_evolutionary_split2_s0,controlled_evolutionary,2,0,25,18,7,0,0,17.188
controlled_evolutionary_split2_s1,controlled_evolutionary,2,1,25,17,9,0,0,16.982
controlled_evolutionary_split2_s2,controlled_evolutionary,2,2,25,21,4,0,0,20.756
controlled_evolutionary_split2_s3,controlled_evolutionary,2,3,25,18,7,0,0,16.43
controlled_evolutionary_split2_s4,controlled_evolutionary,2,4,25,20,5,0,0,18.928
controlled_evolutionary_split2_s5,controlled_evolutionary,2,5,25,21,4,0,0,20.48
controlled_evolutionary_split2_s6,controlled_evolutionary,2,6,25,21,4,0,0,20.189
controlled_evolutionary_split2_s7,controlled_evolutionary,2,7,25,17,8,0,0,15.193
controlled_evolutionary_split2_s8,controlled_evolutionary,2,8,25,18,7,0,0,17.556
controlled_evolutionary_split2_s9,controlled_evolutionary,2,9,25,18,7,0,0,18.897
controlled_greedy_split2_s0,controlled_greedy,2,0,25,25,0,0,0,22.667
controlled_greedy_split2_s1,controlled_greedy,2,1,25,24,1,0,0,19.812
controlled_greedy_split2_s2,controlled_greedy,2,2,25,23,2,0,0,21.477
controlled_greedy_split2_s3,controlled_greedy,2,3,25,25,1,0,0,23.031
controlled_greedy_split2_s4,controlled_greedy,2,4,25,22,3,0,0,18.104
controlled_greedy_split2_s5,controlled_greedy,2,5,25,24,2,0,0,21.654
controlled_greedy_split2_s6,controlled_greedy,2,6,25,21,4,0,0,18.802
controlled_greedy_split2_s7,controlled_greedy,2,7,25,22,3,0,0,19.203
controlled_greedy_split2_s8,controlled_greedy,2,8,25,24,1,0,0,22.943
controlled_greedy_split2_s9,controlled_greedy,2,9,25,23,2,0,0,20.913
