split,seed,baseline,total_params,balanced_accuracy_error,accuracy,auc,logloss
0,0,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
0,0,C1_logreg,11,0.05555555555555558,0.9436619718309859,0.9888888888888888,0.24558439072777755
0,0,C2_linear_svm,11,0.042063492063492136,0.9577464788732394,0.992063492063492,0.11539151397489449
0,0,C3_rbf_svm,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.05956144107639208
0,0,C4_trees,,0.04166666666666674,0.9577464788732394,0.9992063492063492,0.2890518823092871
0,0,C5_fixed_mlp,49,0.0992063492063493,0.9014084507042254,0.9777777777777777,0.23917920958069186
0,0,C6_fair_nas,97,0.11269841269841274,0.8873239436619719,0.9761904761904763,0.21167418482400369
0,1,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
0,1,C1_logreg,11,0.05555555555555558,0.9436619718309859,0.9888888888888888,0.24558439072777755
0,1,C2_linear_svm,11,0.042063492063492136,0.9577464788732394,0.992063492063492,0.11539151397489449
0,1,C3_rbf_svm,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.05956144107639208
0,1,C4_trees,,0.04166666666666674,0.9577464788732394,0.9992063492063492,0.2890518823092871
0,1,C5_fixed_mlp,49,0.11349206349206353,0.8873239436619719,0.9714285714285713,0.25568963683529616
0,1,C6_fair_nas,129,0.0988095238095239,0.9014084507042254,0.976984126984127,0.31192774896962744
0,2,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
0,2,C1_logreg,11,0.05555555555555558,0.9436619718309859,0.9888888888888888,0.24558439072777755
0,2,C2_linear_svm,11,0.042063492063492136,0.9577464788732394,0.992063492063492,0.11539151397489449
0,2,C3_rbf_svm,,0.01388888888888884,0.9859154929577465,0.9984126984126984,0.05956144107639208
0,2,C4_trees,,0.04166666666666674,0.9577464788732394,0.9992063492063492,0.2890518823092871
0,2,C5_fixed_mlp,49,0.11349206349206353,0.8873239436619719,0.9761904761904762,0.2513684880436373
