split,seed,selected,total_params,val_bae,test_bae,n_candidates
0,0,"{""hidden"": [8], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 1e-05}",97,0.014285714285714235,0.11269841269841274,25
0,1,"{""hidden"": [8, 4], ""activation"": ""tanh"", ""lr"": 0.1, ""weight_decay"": 0.0001}",129,0.0,0.0988095238095239,25
0,2,"{""hidden"": [6], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0001}",73,0.014285714285714235,0.0992063492063493,25
0,3,"{""hidden"": [4], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 0.0001}",49,0.014285714285714235,0.09841269841269851,25
0,4,"{""hidden"": [6], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0}",73,0.014285714285714235,0.0992063492063493,25
0,5,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 1e-05}",63,0.0,0.05634920634920637,25
1,0,"{""hidden"": [6], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 1e-05}",73,0.04208494208494207,0.04246031746031753,25
1,1,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 1e-05}",49,0.04208494208494207,0.028174603174603186,25
1,2,"{""hidden"": [8, 4], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0}",129,0.055598455598455665,0.014285714285714235,25
1,3,"{""hidden"": [4], ""activation"": ""sigmoid"", ""lr"": 0.05, ""weight_decay"": 1e-05}",49,0.04208494208494207,0.04246031746031753,25
1,4,"{""hidden"": [8], ""activation"": ""sigmoid"", ""lr"": 0.01, ""weight_decay"": 0.0}",97,0.04208494208494207,0.056746031746031766,25
1,5,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 1e-05}",63,0.04208494208494207,0.02857142857142858,25
2,0,"{""hidden"": [8], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 1e-05}",97,0.014285714285714235,0.02857142857142858,25
2,1,"{""hidden"": [6, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 0.0}",91,0.0,0.042063492063492136,25
2,2,"{""hidden"": [6], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0001}",73,0.014285714285714235,0.05634920634920637,25
2,3,"{""hidden"": [8], ""activation"": ""sigmoid"", ""lr"": 0.1, ""weight_decay"": 0.0001}",97,0.014285714285714235,0.05634920634920637,25
2,4,"{""hidden"": [6, 3], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 0.0001}",91,0.014285714285714235,0.05634920634920637,25
2,5,"{""hidden"": [4, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 1e-05}",63,0.0,0.042063492063492136,25
3,0,"{""hidden"": [8], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 1e-05}",97,0.027799227799227832,0.01388888888888884,25
3,1,"{""hidden"": [4], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0}",49,0.027799227799227832,0.01388888888888884,25
3,2,"{""hidden"": [6], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0001}",73,0.027799227799227832,0.01388888888888884,25
3,3,"{""hidden"": [8], ""activation"": ""sigmoid"", ""lr"": 0.1, ""weight_decay"": 0.0001}",97,0.027799227799227832,0.028174603174603186,25
3,4,"{""hidden"": [6], ""activation"": ""tanh"", ""lr"": 0.1, ""weight_decay"": 0.0001}",73,0.014285714285714235,0.028174603174603186,25
3,5,"{""hidden"": [6, 3], ""activation"": ""relu"", ""lr"": 0.05, ""weight_decay"": 0.0}",91,0.014285714285714235,0.01388888888888884,25
4,0,"{""hidden"": [6, 3], ""activation"": ""sigmoid"", ""lr"": 0.05, ""weight_decay"": 0.0001}",91,0.013513513513513487,0.0,25
4,1,"{""hidden"": [4], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 1e-05}",49,0.013513513513513487,0.0,25
4,2,"{""hidden"": [8, 4], ""activation"": ""tanh"", ""lr"": 0.05, ""weight_decay"": 0.0}",129,0.013513513513513487,0.02857142857142858,25
4,3,"{""hidden"": [4], ""activation"": ""tanh"", ""lr"": 0.01, ""weight_decay"": 0.0001}",49,0.013513513513513487,0.0,25
4,4,"{""hidden"": [6, 3], ""activation"": ""relu"", ""lr"": 0.01, ""weight_decay"": 0.0001}",91,0.013513513513513487,0.014285714285714235,25
4,5,"{""hidden"": [8, 4], ""activation"": ""sigmoid"", ""lr"": 0.05, ""weight_decay"": 0.0001}",129,0.013513513513513487,0.04285714285714293,25
