arch,split,seed,two_qubit,hash,trainable_bae,frozen_bae,diff_frozen_minus_trainable
0,0,0,11,4aa15215d5,0.11349206349206353,0.0992063492063493,-0.014285714285714235
0,0,1,11,4aa15215d5,0.11349206349206353,0.11349206349206353,0.0
0,0,2,11,4aa15215d5,0.08492063492063495,0.08492063492063495,0.0
1,0,0,8,af0a201762,0.0992063492063493,0.0992063492063493,0.0
1,0,1,8,af0a201762,0.0992063492063493,0.0992063492063493,0.0
1,0,2,8,af0a201762,0.0992063492063493,0.0992063492063493,0.0
2,0,0,4,59607d3f4d,0.08531746031746035,0.0992063492063493,0.01388888888888895
2,0,1,4,59607d3f4d,0.08492063492063495,0.0992063492063493,0.014285714285714346
2,0,2,4,59607d3f4d,0.08492063492063495,0.08492063492063495,0.0
3,0,0,3,c06c9cabd3,0.0992063492063493,0.11349206349206353,0.014285714285714235
3,0,1,3,c06c9cabd3,0.09960317460317458,0.11349206349206353,0.01388888888888895
3,0,2,3,c06c9cabd3,0.08492063492063495,0.08452380952380956,-0.0003968253968253954
4,0,0,0,80efcde460,0.0992063492063493,0.0992063492063493,0.0
4,0,1,0,80efcde460,0.0992063492063493,0.1412698412698412,0.042063492063491914
4,0,2,0,80efcde460,0.0992063492063493,0.11349206349206353,0.014285714285714235
5,0,0,14,f41cafbf04,0.11309523809523814,0.0988095238095239,-0.014285714285714235
5,0,1,14,f41cafbf04,0.0992063492063493,0.0992063492063493,0.0
5,0,2,14,f41cafbf04,0.0992063492063493,0.0992063492063493,0.0
6,0,0,6,34a287dcab,0.0992063492063493,0.08492063492063495,-0.014285714285714346
6,0,1,6,34a287dcab,0.11349206349206353,0.09841269841269851,-0.015079365079365026
6,0,2,6,34a287dcab,0.0992063492063493,0.0992063492063493,0.0
7,0,0,10,6d4b435a9f,0.08531746031746035,0.0992063492063493,0.01388888888888895
7,0,1,10,6d4b435a9f,0.0992063492063493,0.12738095238095237,0.028174603174603075
7,0,2,10,6d4b435a9f,0.0992063492063493,0.0992063492063493,0.0
8,0,0,11,15ad2f058c,0.0992063492063493,0.0992063492063493,0.0
8,0,1,11,15ad2f058c,0.0992063492063493,0.0992063492063493,0.0
8,0,2,11,15ad2f058c,0.11349206349206353,0.0992063492063493,-0.014285714285714235
9,0,0,3,cf6d8389ab,0.0992063492063493,0.0992063492063493,0.0
9,0,1,3,cf6d8389ab,0.11349206349206353,0.0988095238095239,-0.01468253968253963
9,0,2,3,cf6d8389ab,0.11349206349206353,0.11349206349206353,0.0
10,0,0,4,82fb2626cb,0.08492063492063495,0.08492063492063495,0.0
10,0,1,4,82fb2626cb,0.09960317460317458,0.12738095238095237,0.02777777777777779
10,0,2,4,82fb2626cb,0.11349206349206353,0.09841269841269851,-0.015079365079365026
11,0,0,7,429788f685,0.0992063492063493,0.0706349206349206,-0.028571428571428692
11,0,1,7,429788f685,0.08492063492063495,0.0992063492063493,0.014285714285714346
11,0,2,7,429788f685,0.0992063492063493,0.11349206349206353,0.014285714285714235
12,0,0,10,e391e0794e,0.0992063492063493,0.08492063492063495,-0.014285714285714346
12,0,1,10,e391e0794e,0.08531746031746035,0.11349206349206353,0.028174603174603186
12,0,2,10,e391e0794e,0.0992063492063493,0.0992063492063493,0.0
13,0,0,4,f58e85e5f2,0.0992063492063493,0.0992063492063493,0.0
13,0,1,4,f58e85e5f2,0.0992063492063493,0.0992063492063493,0.0
13,0,2,4,f58e85e5f2,0.0992063492063493,0.0992063492063493,0.0
14,0,0,0,39d61cca49,0.0992063492063493,0.11349206349206353,0.014285714285714235
14,0,1,0,39d61cca49,0.05634920634920637,0.0706349206349206,0.014285714285714235
14,0,2,0,39d61cca49,0.0992063492063493,0.0992063492063493,0.0
15,0,0,6,e57263a96f,0.0992063492063493,0.12738095238095237,0.028174603174603075
15,0,1,6,e57263a96f,0.0992063492063493,0.0992063492063493,0.0
15,0,2,6,e57263a96f,0.0992063492063493,0.0992063492063493,0.0
16,0,0,8,e6b930e1ec,0.11349206349206353,0.11349206349206353,0.0
16,0,1,8,e6b930e1ec,0.11349206349206353,0.09960317460317458,-0.01388888888888895
16,0,2,8,e6b930e1ec,0.11349206349206353,0.11349206349206353,0.0
17,0,0,15,30651eac8c,0.071031746031746,0.08492063492063495,0.01388888888888895
17,0,1,15,30651eac8c,0.08492063492063495,0.11349206349206353,0.02857142857142858
17,0,2,15,30651eac8c,0.08492063492063495,0.0992063492063493,0.014285714285714346
18,0,0,4,b2beed92b8,0.11349206349206353,0.08492063492063495,-0.02857142857142858
18,0,1,4,b2beed92b8,0.11349206349206353,0.11349206349206353,0.0
18,0,2,4,b2beed92b8,0.08492063492063495,0.08492063492063495,0.0
19,0,0,4,bd551d07e4,0.0992063492063493,0.0992063492063493,0.0
19,0,1,4,bd551d07e4,0.0992063492063493,0.08492063492063495,-0.014285714285714346
19,0,2,4,bd551d07e4,0.0992063492063493,0.08492063492063495,-0.014285714285714346
0,1,0,11,4aa15215d5,0.028174603174603186,0.028174603174603186,0.0
0,1,1,11,4aa15215d5,0.028174603174603186,0.028174603174603186,0.0
0,1,2,11,4aa15215d5,0.028174603174603186,0.028174603174603186,0.0
1,1,0,8,af0a201762,0.042063492063492136,0.042063492063492136,0.0
1,1,1,8,af0a201762,0.028174603174603186,0.028174603174603186,0.0
1,1,2,8,af0a201762,0.028174603174603186,0.028174603174603186,0.0
2,1,0,4,59607d3f4d,0.014285714285714235,0.014285714285714235,0.0
2,1,1,4,59607d3f4d,0.028174603174603186,0.028174603174603186,0.0
2,1,2,4,59607d3f4d,0.014285714285714235,0.014285714285714235,0.0
3,1,0,3,c06c9cabd3,0.028174603174603186,0.028174603174603186,0.0
3,1,1,3,c06c9cabd3,0.028174603174603186,0.028174603174603186,0.0
3,1,2,3,c06c9cabd3,0.014285714285714235,0.028174603174603186,0.01388888888888895
4,1,0,0,80efcde460,0.028174603174603186,0.028174603174603186,0.0
4,1,1,0,80efcde460,0.028174603174603186,0.028174603174603186,0.0
4,1,2,0,80efcde460,0.028174603174603186,0.028174603174603186,0.0
5,1,0,14,f41cafbf04,0.014285714285714235,0.028174603174603186,0.01388888888888895
5,1,1,14,f41cafbf04,0.02857142857142858,0.02857142857142858,0.0
5,1,2,14,f41cafbf04,0.014285714285714235,0.028174603174603186,0.01388888888888895
6,1,0,6,34a287dcab,0.5,0.014285714285714235,-0.48571428571428577
6,1,1,6,34a287dcab,0.014285714285714235,0.04166666666666674,0.027380952380952506
6,1,2,6,34a287dcab,0.014285714285714235,0.014285714285714235,0.0
7,1,0,10,6d4b435a9f,0.014285714285714235,0.028174603174603186,0.01388888888888895
7,1,1,10,6d4b435a9f,0.014285714285714235,0.02857142857142858,0.014285714285714346
7,1,2,10,6d4b435a9f,0.02857142857142858,0.028174603174603186,-0.0003968253968253954
8,1,0,11,15ad2f058c,0.014285714285714235,0.028174603174603186,0.01388888888888895
8,1,1,11,15ad2f058c,0.028174603174603186,0.028174603174603186,0.0
8,1,2,11,15ad2f058c,0.014285714285714235,0.014285714285714235,0.0
9,1,0,3,cf6d8389ab,0.028174603174603186,0.028174603174603186,0.0
9,1,1,3,cf6d8389ab,0.028174603174603186,0.028174603174603186,0.0
9,1,2,3,cf6d8389ab,0.014285714285714235,0.028174603174603186,0.01388888888888895
10,1,0,4,82fb2626cb,0.014285714285714235,0.028174603174603186,0.01388888888888895
10,1,1,4,82fb2626cb,0.02857142857142858,0.028174603174603186,-0.0003968253968253954
10,1,2,4,82fb2626cb,0.014285714285714235,0.028174603174603186,0.01388888888888895
11,1,0,7,429788f685,0.02857142857142858,0.014285714285714235,-0.014285714285714346
11,1,1,7,429788f685,0.014285714285714235,0.014285714285714235,0.0
11,1,2,7,429788f685,0.014285714285714235,0.028174603174603186,0.01388888888888895
12,1,0,10,e391e0794e,0.042063492063492136,0.028174603174603186,-0.01388888888888895
12,1,1,10,e391e0794e,0.014285714285714235,0.028174603174603186,0.01388888888888895
12,1,2,10,e391e0794e,0.014285714285714235,0.028174603174603186,0.01388888888888895
13,1,0,4,f58e85e5f2,0.014285714285714235,0.014285714285714235,0.0
13,1,1,4,f58e85e5f2,0.028174603174603186,0.028174603174603186,0.0
13,1,2,4,f58e85e5f2,0.028174603174603186,0.014285714285714235,-0.01388888888888895
14,1,0,0,39d61cca49,0.014285714285714235,0.014285714285714235,0.0
14,1,1,0,39d61cca49,0.028174603174603186,0.028174603174603186,0.0
14,1,2,0,39d61cca49,0.028174603174603186,0.014285714285714235,-0.01388888888888895
15,1,0,6,e57263a96f,0.028174603174603186,0.028174603174603186,0.0
15,1,1,6,e57263a96f,0.014285714285714235,0.028174603174603186,0.01388888888888895
15,1,2,6,e57263a96f,0.028174603174603186,0.028174603174603186,0.0
16,1,0,8,e6b930e1ec,0.028174603174603186,0.028174603174603186,0.0
16,1,1,8,e6b930e1ec,0.028174603174603186,0.028174603174603186,0.0
16,1,2,8,e6b930e1ec,0.028174603174603186,0.028174603174603186,0.0
17,1,0,15,30651eac8c,0.014285714285714235,0.014285714285714235,0.0
17,1,1,15,30651eac8c,0.028174603174603186,0.028174603174603186,0.0
17,1,2,15,30651eac8c,0.028174603174603186,0.028174603174603186,0.0
18,1,0,4,b2beed92b8,0.028174603174603186,0.04246031746031753,0.014285714285714346
18,1,1,4,b2beed92b8,0.028174603174603186,0.028174603174603186,0.0
18,1,2,4,b2beed92b8,0.028174603174603186,0.028174603174603186,0.0
19,1,0,4,bd551d07e4,0.028174603174603186,0.028174603174603186,0.0
19,1,1,4,bd551d07e4,0.028174603174603186,0.028174603174603186,0.0
19,1,2,4,bd551d07e4,0.014285714285714235,0.028174603174603186,0.01388888888888895
0,2,0,11,4aa15215d5,0.05634920634920637,0.05634920634920637,0.0
0,2,1,11,4aa15215d5,0.042063492063492136,0.05634920634920637,0.014285714285714235
0,2,2,11,4aa15215d5,0.05634920634920637,0.05634920634920637,0.0
1,2,0,8,af0a201762,0.05634920634920637,0.05634920634920637,0.0
1,2,1,8,af0a201762,0.05634920634920637,0.05634920634920637,0.0
1,2,2,8,af0a201762,0.05634920634920637,0.05634920634920637,0.0
2,2,0,4,59607d3f4d,0.04246031746031753,0.014285714285714235,-0.028174603174603297
2,2,1,4,59607d3f4d,0.042063492063492136,0.05634920634920637,0.014285714285714235
2,2,2,4,59607d3f4d,0.042063492063492136,0.042063492063492136,0.0
3,2,0,3,c06c9cabd3,0.05634920634920637,0.05634920634920637,0.0
3,2,1,3,c06c9cabd3,0.05634920634920637,0.05634920634920637,0.0
3,2,2,3,c06c9cabd3,0.04246031746031753,0.04246031746031753,0.0
4,2,0,0,80efcde460,0.042063492063492136,0.05634920634920637,0.014285714285714235
4,2,1,0,80efcde460,0.05634920634920637,0.05634920634920637,0.0
4,2,2,0,80efcde460,0.05634920634920637,0.04246031746031753,-0.01388888888888884
5,2,0,14,f41cafbf04,0.05634920634920637,0.05634920634920637,0.0
5,2,1,14,f41cafbf04,0.028174603174603186,0.028174603174603186,0.0
5,2,2,14,f41cafbf04,0.05634920634920637,0.05634920634920637,0.0
