split,seed,B,selected_test_bae
0,0,1,0.0992063492063493
0,0,5,0.0706349206349206
0,0,10,0.0706349206349206
0,0,25,0.0706349206349206
0,1,1,0.09960317460317458
0,1,5,0.09841269841269851
0,1,10,0.08492063492063495
0,1,25,0.0992063492063493
0,2,1,0.0992063492063493
0,2,5,0.0992063492063493
0,2,10,0.0706349206349206
0,2,25,0.0706349206349206
0,3,1,0.0992063492063493
0,3,5,0.0992063492063493
0,3,10,0.0992063492063493
0,3,25,0.08492063492063495
0,4,1,0.11349206349206353
0,4,5,0.08531746031746035
0,4,10,0.0706349206349206
0,4,25,0.08452380952380956
0,5,1,0.0992063492063493
0,5,5,0.0992063492063493
0,5,10,0.0992063492063493
0,5,25,0.0992063492063493
1,0,1,0.028174603174603186
1,0,5,0.028174603174603186
1,0,10,0.028174603174603186
1,0,25,0.028174603174603186
1,1,1,0.014285714285714235
1,1,5,0.014285714285714235
1,1,10,0.014285714285714235
1,1,25,0.014285714285714235
1,2,1,0.028174603174603186
1,2,5,0.014285714285714235
1,2,10,0.014285714285714235
1,2,25,0.014285714285714235
1,3,1,0.014285714285714235
1,3,5,0.014285714285714235
1,3,10,0.014285714285714235
1,3,25,0.014285714285714235
1,4,1,0.028174603174603186
1,4,5,0.028174603174603186
1,4,10,0.02857142857142858
1,4,25,0.014285714285714235
1,5,1,0.028174603174603186
1,5,5,0.014285714285714235
1,5,10,0.028174603174603186
1,5,25,0.014285714285714235
2,0,1,0.05634920634920637
2,0,5,0.028174603174603186
2,0,10,0.028174603174603186
2,0,25,0.028174603174603186
2,1,1,0.04246031746031753
2,1,5,0.042063492063492136
2,1,10,0.042063492063492136
2,1,25,0.028174603174603186
2,2,1,0.042063492063492136
2,2,5,0.028174603174603186
2,2,10,0.028174603174603186
2,2,25,0.028174603174603186
2,3,1,0.04246031746031753
2,3,5,0.04246031746031753
2,3,10,0.042063492063492136
2,3,25,0.042063492063492136
2,4,1,0.05634920634920637
2,4,5,0.028174603174603186
2,4,10,0.042063492063492136
2,4,25,0.042063492063492136
2,5,1,0.05634920634920637
2,5,5,0.05634920634920637
2,5,10,0.042063492063492136
2,5,25,0.028174603174603186
3,0,1,0.028174603174603186
3,0,5,0.01388888888888884
3,0,10,0.01388888888888884
3,0,25,0.01388888888888884
3,1,1,0.02777777777777779
3,1,5,0.01388888888888884
3,1,10,0.028174603174603186
3,1,25,0.028174603174603186
3,2,1,0.01388888888888884
3,2,5,0.01388888888888884
3,2,10,0.01388888888888884
3,2,25,0.01388888888888884
3,3,1,0.01388888888888884
3,3,5,0.01388888888888884
3,3,10,0.01388888888888884
3,3,25,0.028174603174603186
3,4,1,0.01388888888888884
3,4,5,0.028174603174603186
3,4,10,0.028174603174603186
3,4,25,0.028174603174603186
3,5,1,0.01388888888888884
3,5,5,0.01388888888888884
3,5,10,0.01388888888888884
3,5,25,0.01388888888888884
4,0,1,0.014285714285714235
4,0,5,0.014285714285714235
4,0,10,0.014285714285714235
4,0,25,0.014285714285714235
4,1,1,0.02857142857142858
4,1,5,0.014285714285714235
4,1,10,0.04285714285714293
4,1,25,0.04285714285714293
4,2,1,0.014285714285714235
4,2,5,0.014285714285714235
4,2,10,0.04285714285714293
4,2,25,0.04285714285714293
4,3,1,0.014285714285714235
4,3,5,0.014285714285714235
4,3,10,0.02857142857142858
4,3,25,0.014285714285714235
4,4,1,0.014285714285714235
4,4,5,0.014285714285714235
4,4,10,0.02857142857142858
4,4,25,0.04285714285714293
4,5,1,0.0
4,5,5,0.014285714285714235
4,5,10,0.04285714285714293
4,5,25,0.04285714285714293
