split,arm,n,test_bae_median,test_bae_iqr
0,controlled_random,6,0.08472222222222225,0.021527777777777868
0,controlled_evolutionary,6,0.09206349206349212,0.014285714285714346
0,controlled_greedy,6,0.0706349206349206,0.010416666666666713
1,controlled_random,6,0.014285714285714235,0.0
1,controlled_evolutionary,6,0.014285714285714235,0.0
1,controlled_greedy,6,0.014285714285714235,0.010416666666666713
2,controlled_random,6,0.028174603174603186,0.010416666666666713
2,controlled_evolutionary,6,0.042063492063492136,0.010416666666666713
2,controlled_greedy,6,0.028174603174603186,0.010416666666666713
3,controlled_random,6,0.021031746031746013,0.014285714285714346
3,controlled_evolutionary,6,0.01388888888888884,0.010416666666666713
3,controlled_greedy,6,0.01388888888888884,0.01071428571428576
4,controlled_random,6,0.04285714285714293,0.02142857142857152
4,controlled_evolutionary,6,0.035714285714285754,0.014285714285714346
4,controlled_greedy,6,0.014285714285714235,0.01071428571428576
