block,model,representation,test_auroc,test_logloss,train_size
0,M0_class_prior,R1_raw21,0.5,0.691578359988849,500
1,M0_class_prior,R1_raw21,0.5,0.691578359988849,500
2,M0_class_prior,R1_raw21,0.5,0.691578359988849,500
3,M0_class_prior,R1_raw21,0.5,0.691578359988849,500
4,M0_class_prior,R1_raw21,0.5,0.691578359988849,500
0,M1_logreg,R1_raw21,0.533006709039548,0.6997091596538813,500
1,M1_logreg,R1_raw21,0.57043833461736,0.6855993557007825,500
2,M1_logreg,R1_raw21,0.5564470980996404,0.6977058600740631,500
3,M1_logreg,R1_raw21,0.580861260914227,0.6839369481170239,500
4,M1_logreg,R1_raw21,0.5560363700564972,0.6938453019791512,500
0,M2_mlp,R1_raw21,0.5270615048793015,0.6950123820658637,500
1,M2_mlp,R1_raw21,0.5600064201335387,0.6873798572806084,500
2,M2_mlp,R1_raw21,0.546216133795583,0.6927190814665442,500
3,M2_mlp,R1_raw21,0.5744724255264511,0.6859368963348761,500
4,M2_mlp,R1_raw21,0.5470427259887005,0.6898516241415164,500
0,M3_product,R1_raw21,0.5170990626605033,0.6960304469121161,500
1,M3_product,R1_raw21,0.5619599062660503,0.6864362551995804,500
2,M3_product,R1_raw21,0.5370712955829481,0.6898728555744404,500
3,M3_product,R1_raw21,0.5764435670261941,0.6834467953581994,500
4,M3_product,R1_raw21,0.5535485683102208,0.688465578671284,500
0,M4_entangled,R1_raw21,0.5185496918335901,0.6934100670374187,500
1,M4_entangled,R1_raw21,0.5508983371854134,0.6874298417783776,500
2,M4_entangled,R1_raw21,0.5338578582434514,0.6905258716848337,500
3,M4_entangled,R1_raw21,0.570863668464304,0.6841791070027995,500
4,M4_entangled,R1_raw21,0.5548847586029789,0.6871886556571831,500
0,M5_frozen,R1_raw21,0.5172769003595274,0.6925667869090543,500
1,M5_frozen,R1_raw21,0.5515417950693374,0.6873541759818208,500
2,M5_frozen,R1_raw21,0.5363708590138675,0.6904590790964427,500
3,M5_frozen,R1_raw21,0.5743782100667694,0.6839680599556103,500
4,M5_frozen,R1_raw21,0.5574059450436569,0.6865901374007324,500
0,M0_class_prior,R1_raw21,0.5,0.691578359988849,2000
1,M0_class_prior,R1_raw21,0.5,0.691578359988849,2000
2,M0_class_prior,R1_raw21,0.5,0.691578359988849,2000
3,M0_class_prior,R1_raw21,0.5,0.691578359988849,2000
4,M0_class_prior,R1_raw21,0.5,0.691578359988849,2000
0,M1_logreg,R1_raw21,0.5734919106317411,0.6811198066982135,2000
1,M1_logreg,R1_raw21,0.5841218862352338,0.6804216574952029,2000
2,M1_logreg,R1_raw21,0.573492552645095,0.6845237082950388,2000
3,M1_logreg,R1_raw21,0.590585355675398,0.6790254298399653,2000
4,M1_logreg,R1_raw21,0.5742876861838726,0.6845640537715552,2000
0,M2_mlp,R1_raw21,0.575146379044684,0.6818050099403011,2000
1,M2_mlp,R1_raw21,0.5842082370313302,0.6803129029697303,2000
2,M2_mlp,R1_raw21,0.5670078967642527,0.6871462704766729,2000
3,M2_mlp,R1_raw21,0.589556850282486,0.6794545755390151,2000
4,M2_mlp,R1_raw21,0.5713138803287109,0.6857419744461962,2000
0,M3_product,R1_raw21,0.5859103749357987,0.6796751820130519,2000
1,M3_product,R1_raw21,0.5863323382126349,0.6798243579001518,2000
2,M3_product,R1_raw21,0.5730224383667181,0.6841555855105638,2000
3,M3_product,R1_raw21,0.5872154275808936,0.6796192568897863,2000
4,M3_product,R1_raw21,0.585375096302003,0.6800947310714285,2000
0,M4_entangled,R1_raw21,0.590147021058038,0.6783698451653422,2000
