arch_seed,logical_two_qubit,model,representation,runtime_s,swap_est,train_size,transpiled_depth,transpiled_two_qubit
5000,0,M3_product,R1_raw21,1.41,0,500,4,0
5000,8,M4_entangled,R1_raw21,1.88,5,500,38,32
5000,8,M5_frozen,R1_raw21,1.84,5,500,38,32
5001,0,M3_product,R1_raw21,1.87,0,500,4,0
5001,4,M4_entangled,R1_raw21,4.33,1,500,18,12
5001,4,M5_frozen,R1_raw21,5.93,1,500,18,12
5002,0,M3_product,R1_raw21,1.67,0,500,4,0
5002,4,M4_entangled,R1_raw21,2.49,2,500,20,14
5002,4,M5_frozen,R1_raw21,2.2,2,500,20,14
5003,0,M3_product,R1_raw21,2.81,0,500,4,0
5003,4,M4_entangled,R1_raw21,2.23,1,500,17,12
5003,4,M5_frozen,R1_raw21,1.83,1,500,17,12
5004,0,M3_product,R1_raw21,1.93,0,500,4,0
5004,4,M4_entangled,R1_raw21,2.99,1,500,17,12
5004,4,M5_frozen,R1_raw21,2.7,1,500,17,12
5000,0,M3_product,R1_raw21,11.87,0,2000,4,0
5000,8,M4_entangled,R1_raw21,14.01,5,2000,38,32
5000,8,M5_frozen,R1_raw21,12.78,5,2000,38,32
5001,0,M3_product,R1_raw21,10.92,0,2000,4,0
5001,4,M4_entangled,R1_raw21,10.23,1,2000,18,12
5001,4,M5_frozen,R1_raw21,9.26,1,2000,18,12
5002,0,M3_product,R1_raw21,9.94,0,2000,4,0
5002,4,M4_entangled,R1_raw21,8.32,2,2000,20,14
5002,4,M5_frozen,R1_raw21,8.7,2,2000,20,14
5003,0,M3_product,R1_raw21,11.85,0,2000,4,0
5003,4,M4_entangled,R1_raw21,12.54,1,2000,17,12
5003,4,M5_frozen,R1_raw21,11.34,1,2000,17,12
5004,0,M3_product,R1_raw21,33.73,0,2000,4,0
5004,4,M4_entangled,R1_raw21,10.38,1,2000,17,12
5004,4,M5_frozen,R1_raw21,7.13,1,2000,17,12
5000,0,M3_product,R1_raw21,26.93,0,5000,4,0
5000,8,M4_entangled,R1_raw21,31.64,5,5000,38,32
5000,8,M5_frozen,R1_raw21,23.67,5,5000,38,32
5001,0,M3_product,R1_raw21,24.91,0,5000,4,0
5001,4,M4_entangled,R1_raw21,41.39,1,5000,18,12
5001,4,M5_frozen,R1_raw21,34.93,1,5000,18,12
5002,0,M3_product,R1_raw21,27.41,0,5000,4,0
5002,4,M4_entangled,R1_raw21,33.27,2,5000,20,14
5002,4,M5_frozen,R1_raw21,30.03,2,5000,20,14
5003,0,M3_product,R1_raw21,31.08,0,5000,4,0
5003,4,M4_entangled,R1_raw21,38.62,1,5000,17,12
5003,4,M5_frozen,R1_raw21,74.13,1,5000,17,12
5004,0,M3_product,R1_raw21,76.15,0,5000,4,0
5004,4,M4_entangled,R1_raw21,50.88,1,5000,17,12
5004,4,M5_frozen,R1_raw21,40.63,1,5000,17,12
5000,0,M3_product,R1_raw21,105.05,0,10000,4,0
5000,8,M4_entangled,R1_raw21,178.95,5,10000,38,32
5000,8,M5_frozen,R1_raw21,110.38,5,10000,38,32
