arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
,0,,,False,,,21,,M0_class_prior,,,R1_raw21,0.0,,0.5,0.5,0.24921599999999994,0.472,1.1102230246251565e-16,0.691578359988849,0,0,500,,,0.5,0.5,0.24921599999999994,0.472,2.220446049250313e-16,0.6915783599888489
,0,,,False,,,21,,M1_logreg,,,R1_raw21,0.03,,0.533006709039548,0.5234142270159219,0.25304796024485277,0.4706,0.060584196308802414,0.6997091596538813,22,22,500,,,0.548053696391885,0.536707113507961,0.2497394040967772,0.4575,0.058491335946765324,0.6924622802105458
,0,,,False,,,21,,M2_mlp,,,R1_raw21,1.48,,0.5270615048793015,0.5153858500256805,0.25088865454062154,0.4796,0.04490373348856671,0.6950123820658637,93,93,500,,,0.5425263626733436,0.5412814586543401,0.24905661472884394,0.4535,0.03797033886150197,0.6912907599700467
5000,0,88,10,False,0,5,21,0,M3_product,False,12,R1_raw21,1.41,0,0.5012100346687212,0.5009598099640473,0.2531812411264663,0.488,0.04995181682379873,0.6997720536806495,105,105,500,4,0,0.5237996356574216,0.5228155495634309,0.25012530968527236,0.466,0.03199853986472656,0.6934780299364905
5000,0,88,11,False,0,5,21,8,M4_entangled,False,12,R1_raw21,1.88,5,0.5270191319979456,0.5232537236774525,0.2500736785282691,0.466,0.030123000732518872,0.6934100670374187,105,105,500,38,32,0.5397366140215717,0.5246934386235234,0.24839653145382595,0.4655,0.0335638967988636,0.6899386493614912
5000,0,88,11,False,12,5,21,8,M5_frozen,True,12,R1_raw21,1.84,5,0.5271127054442732,0.5236357216230098,0.25001717591244815,0.4646,0.0293137485213226,0.6933019444320561,105,93,500,38,32,0.5393463902799178,0.5264670005136107,0.2483890879537816,0.4625,0.031567435595634984,0.6899310880074239
5001,0,88,12,False,0,5,21,0,M3_product,False,12,R1_raw21,1.87,0,0.526507447354905,0.5201913199794556,0.24922602890003126,0.4708,0.022182194029646385,0.6916122925938311,105,105,500,4,0,0.5518656506805342,0.5323333975346687,0.24671239617538102,0.4585,0.011116332401615133,0.6865290756671586
5001,0,88,25,False,0,5,21,4,M4_entangled,False,12,R1_raw21,4.33,1,0.5191929892141756,0.5175398048279404,0.25073182029457436,0.4708,0.03124418373472477,0.6947434421956393,105,105,500,18,12,0.5479724415767848,0.523481638418079,0.24780083657722501,0.465,0.02865049113778178,0.6887437233273178
5001,0,88,36,False,12,5,21,4,M5_frozen,True,12,R1_raw21,5.93,1,0.5172769003595274,0.5184161530559835,0.24915690325011247,0.4638,0.0035824115543295035,0.6914653788407849,105,93,500,18,12,0.5407106686569081,0.5212345916795069,0.24806801827745334,0.4615,0.006336527064284612,0.6892765411498268
5002,0,88,11,False,0,5,21,0,M3_product,False,12,R1_raw21,1.67,0,0.5111959103749358,0.5072932717000513,0.2513694938667614,0.4806,0.045340925160374135,0.6960304469121161,105,105,500,4,0,0.5315930758859785,0.5168448253723678,0.24938591185528416,0.471,0.03326095719980507,0.6919917275790018
