seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Random,R1,1,explore,False,,,,0.5346497756490278,0.4653502243509721
0,Random,R2,2,explore,False,,,,0.11572587609686236,0.8842741239031376
0,Random,R3,3,explore,False,,,,0.166148679097041,0.833851320902959
0,Random,R4,4,explore,False,,,,0.3436956139052705,0.6563043860947295
0,Random,R5,5,explore,False,,,,0.37319973166552145,0.6268002683344785
0,Random,R6,6,explore,False,,,,0.504739575249094,0.49526042475090604
0,Random,R7,7,explore,False,,,,0.017961958215002904,0.9820380417849971
0,Random,R8,8,explore,False,,,,0.5086732132664449,0.4913267867335552
0,Random,R9,9,explore,False,,,,0.5309927589732668,0.46900724102673313
0,Random,R10,10,explore,False,,,,0.37897822388933244,0.6210217761106676
0,Random,R11,11,explore,False,,,,0.3927120065331019,0.6072879934668981
0,Random,R12,12,explore,False,,,,0.15973312133560758,0.8402668786643924
0,Random,R13,13,explore,False,,,,0.14978792009826858,0.8502120799017314
0,Random,R14,14,explore,False,,,,0.4528571650958507,0.5471428349041493
0,Random,R15,15,explore,False,,,,0.16594326340545074,0.8340567365945493
0,Random,R16,16,explore,False,,,,0.5330140767640232,0.46698592323597676
0,Greedy,G1_warm,1,explore,False,,,,0.11643343789411509,0.8835665621058849
0,Greedy,G2_warm,2,explore,False,,,,0.5182511913863037,0.48174880861369623
0,Greedy,G3_warm,3,explore,False,,,,0.13484123195932296,0.865158768040677
0,Greedy,G4_warm,4,explore,False,,,,0.18437765196648925,0.8156223480335107
0,Greedy,G5_warm,5,explore,False,,,,0.5248390868506472,0.4751609131493528
0,Greedy,G6_warm,6,explore,False,,,,0.5212876137429714,0.47871238625702855
0,Greedy,G7_warm,7,explore,False,,,,0.6820766797116768,0.3179233202883232
0,Greedy,G8_warm,8,explore,False,,,,0.3255724679458418,0.6744275320541582
0,Greedy,G9_rej,9,refine,False,,0.0625,,0.16316180095939237,0.8368381990406076
0,Greedy,G10_acc,10,refine,False,,0.0625,,0.1152396343836557,0.8847603656163443
0,Greedy,G11_acc,11,refine,False,,0.0625,,0.0861198491790115,0.9138801508209885
0,Greedy,G12_acc,12,refine,False,,0.125,,0.023988891724973427,0.9760111082750266
0,Greedy,G13_rej,13,refine,False,,0.0625,,0.024519984732791933,0.9754800152672081
0,Greedy,G14_acc,14,refine,False,,0.0625,,0.020631653424400653,0.9793683465755993
0,Greedy,G15_rej,15,refine,False,,0.125,,0.021335957276740092,0.9786640427232599
0,Greedy,G16_rej,16,refine,False,,0.125,,0.10485479134727249,0.8951452086527275
0,LLM-Open,nn-inward-real-a,1,explore,False,,,,0.09542376268839747,0.9045762373116025
0,LLM-Open,nn-inward-real-b,2,explore,False,,,,0.08832778816491904,0.911672211835081
0,LLM-Open,lat-collect-left,3,explore,False,,,,0.0195312044670084,0.9804687955329916
0,LLM-Open,lat-collect-right,4,explore,False,,,,0.03367631797365134,0.9663236820263487
0,LLM-Open,mirror-real-a,5,explore,False,,,,0.061714920848306654,0.9382850791516933
0,LLM-Open,mirror-real-b,6,explore,False,,,,0.10404812483664949,0.8959518751633505
0,LLM-Open,center-pull-a,7,explore,False,,,,0.12540621163822652,0.8745937883617735
0,LLM-Open,center-pull-b,8,explore,False,,,,0.13015210630903784,0.8698478936909622
0,LLM-Open,left-chain-braid,9,explore,False,,,,0.027730333290081788,0.9722696667099182
0,LLM-Open,right-chain-braid,10,explore,False,,,,0.034807678656148755,0.9651923213438512
0,LLM-Open,alternating-inward-a,11,explore,False,,,,0.02075853750439871,0.9792414624956013
0,LLM-Open,alternating-inward-b,12,explore,False,,,,0.034378769565268974,0.965621230434731
0,LLM-Open,latent-first-a,13,explore,False,,,,0.019985375063934385,0.9800146249360656
0,LLM-Open,latent-first-b,14,explore,False,,,,0.09393210879610081,0.9060678912038992
0,LLM-Open,trash-to-latent-a,15,explore,False,,,,0.08328021983269307,0.9167197801673069
0,LLM-Open,trash-to-latent-b,16,explore,False,,,,0.1113780475441919,0.8886219524558081
1,Random,R1,1,explore,False,,,,0.15793174446143043,0.8420682555385696
1,Random,R2,2,explore,False,,,,0.08704544558397542,0.9129545544160246
1,Random,R3,3,explore,False,,,,0.10294602242501405,0.897053977574986
1,Random,R4,4,explore,False,,,,0.17008627899924267,0.8299137210007573
1,Random,R5,5,explore,False,,,,0.5309826198196133,0.4690173801803867
1,Random,R6,6,explore,False,,,,0.522169509199127,0.477830490800873
1,Random,R7,7,explore,False,,,,0.373834391345925,0.626165608654075
1,Random,R8,8,explore,False,,,,0.5164757132957263,0.4835242867042737
1,Random,R9,9,explore,False,,,,0.3669851084634169,0.6330148915365831
1,Random,R10,10,explore,False,,,,0.35408104149658837,0.6459189585034116
1,Random,R11,11,explore,False,,,,0.34698695327413975,0.6530130467258602
1,Random,R12,12,explore,False,,,,0.11725795617360157,0.8827420438263984
1,Random,R13,13,explore,False,,,,0.5164752464326341,0.4835247535673659
1,Random,R14,14,explore,False,,,,0.45636703878532325,0.5436329612146767
1,Random,R15,15,explore,False,,,,0.46775917308197235,0.5322408269180277
1,Random,R16,16,explore,False,,,,0.378351992004347,0.621648007995653
1,Greedy,G1_warm,1,explore,False,,,,0.0887335021220711,0.9112664978779289
1,Greedy,G2_warm,2,explore,False,,,,0.14508992324358283,0.8549100767564172
1,Greedy,G3_warm,3,explore,False,,,,0.15541538171192804,0.844584618288072
1,Greedy,G4_warm,4,explore,False,,,,0.35835429834132293,0.6416457016586771
1,Greedy,G5_warm,5,explore,False,,,,0.14739467476544854,0.8526053252345515
1,Greedy,G6_warm,6,explore,False,,,,0.46420264788426946,0.5357973521157305
1,Greedy,G7_warm,7,explore,False,,,,0.5309853184521067,0.4690146815478933
1,Greedy,G8_warm,8,explore,False,,,,0.10522091276914003,0.89477908723086
1,Greedy,G9_acc,9,refine,False,,0.125,,0.08866449947792887,0.9113355005220711
1,Greedy,G10_rej,10,refine,False,,0.0625,,0.13232628609634445,0.8676737139036556
1,Greedy,G11_rej,11,refine,False,,0.125,,0.09040358477392374,0.9095964152260763
1,Greedy,G12_rej,12,refine,False,,0.125,,0.08867101805220479,0.9113289819477952
1,Greedy,G13_rej,13,refine,False,,0.0625,,0.15792641262761808,0.8420735873723819
1,Greedy,G14_rej,14,refine,False,,0.0625,,0.09043649710220814,0.9095635028977919
1,Greedy,G15_rej,15,refine,False,,0.0625,,0.14907091373643455,0.8509290862635654
1,Greedy,G16_rej,16,refine,False,,0.0625,,0.08874487796241193,0.9112551220375881
1,LLM-Open,nn-inward-real-a,1,explore,False,,,,0.10922213209655995,0.89077786790344
1,LLM-Open,nn-inward-real-b,2,explore,False,,,,0.10260999903940726,0.8973900009605927
1,LLM-Open,lat-collect-left,3,explore,False,,,,0.035396722114294676,0.9646032778857053
1,LLM-Open,lat-collect-right,4,explore,False,,,,0.06235656563982539,0.9376434343601746
1,LLM-Open,mirror-real-a,5,explore,False,,,,0.11710973558558313,0.8828902644144169
1,LLM-Open,mirror-real-b,6,explore,False,,,,0.10847683893581239,0.8915231610641876
1,LLM-Open,center-pull-a,7,explore,False,,,,0.13209350080124993,0.8679064991987501
1,LLM-Open,center-pull-b,8,explore,False,,,,0.13723029420697763,0.8627697057930224
