seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Greedy,G3_acc,3,refine,False,,0.0625,,0.1150834115869902,0.8849165884130098
0,LLM-Closed,nn-real-latent-sink-v2,3,refine,False,,0.9375,topology_redesign,0.022841776573139128,0.9771582234268609
0,LLM-Open,mirror-chain,4,explore,False,,,,0.10428895056211662,0.8957110494378834
0,Random,R2,2,explore,False,,,,0.11572587609686236,0.8842741239031376
1,Greedy,G4_acc,4,refine,False,,0.0625,,0.08866030387135382,0.9113396961286462
1,LLM-Closed,nn-real-latent-sweep,3,refine,False,,0.3125,topology_redesign,0.05389217894242859,0.9461078210575714
1,LLM-Open,mirror-chain,4,explore,False,,,,0.11506279969758781,0.8849372003024122
1,Random,R2,2,explore,False,,,,0.08704544558397542,0.9129545544160246
2,Greedy,G4_acc,4,refine,False,,0.0625,,0.24741547920119145,0.7525845207988086
2,LLM-Closed,boundary-sweep-real,2,explore,False,,0.4375,,0.09034332294024239,0.9096566770597576
2,LLM-Open,mirror-chain,4,explore,False,,,,0.18410968325720056,0.8158903167427994
2,Random,R1,1,explore,False,,,,0.10528617380343075,0.8947138261965693
3,Greedy,G4_acc,4,refine,False,,0.0625,,0.2480342049660017,0.7519657950339983
3,LLM-Closed,latent-pullback,2,explore,False,,1.0,,0.17161589078890016,0.8283841092110998
3,LLM-Open,mirror-chain,4,explore,False,,,,0.1655511088413485,0.8344488911586515
3,Random,R4,4,explore,False,,,,0.23359299552684976,0.7664070044731502
4,Greedy,G1_warm,1,explore,False,,0.0625,,0.22204351046578574,0.7779564895342143
4,LLM-Closed,nn-latent-sink-1,2,explore,False,,0.5625,,0.11641481352255545,0.8835851864774446
4,LLM-Open,mirror-chain,4,explore,False,,,,0.13712218783276253,0.8628778121672375
4,Random,R1,1,explore,False,,,,0.18988758524862315,0.8101124147513769
5,Greedy,G4_acc,4,refine,False,,0.125,,0.18103382400603252,0.8189661759939675
5,LLM-Closed,nn-real-sink,4,refine,False,,0.3125,local_adjustment,0.0340157333482215,0.9659842666517785
5,LLM-Open,mirror-chain,4,explore,False,,,,0.14772976836589657,0.8522702316341034
5,Random,R2,2,explore,False,,,,0.23623292612173452,0.7637670738782655
6,Greedy,G4_acc,4,refine,False,,0.0625,,0.5223745615882986,0.4776254384117013
6,LLM-Closed,real-latent-pull,1,explore,False,,0.4375,,0.016490936052174,0.983509063947826
6,LLM-Open,mirror-chain,4,explore,False,,,,0.06202896568065375,0.9379710343193463
6,Random,R4,4,explore,False,,,,0.5059243022506485,0.4940756977493515
7,Greedy,G4_acc,4,refine,False,,0.0625,,0.15782953097507135,0.8421704690249286
7,LLM-Closed,nn-real-swap,4,refine,False,,0.75,topology_redesign,0.03506126951439603,0.964938730485604
7,LLM-Open,mirror-chain,4,explore,False,,,,0.1420224679912344,0.8579775320087656
7,Random,R1,1,explore,False,,,,0.14169437044629707,0.8583056295537029
8,Greedy,G4_acc,4,refine,False,,0.0625,,0.14775578894470998,0.85224421105529
8,LLM-Closed,nn-real-latent-bridge,4,refine,False,,0.8125,topology_redesign,0.02182344178868989,0.9781765582113101
8,LLM-Open,mirror-chain,4,explore,False,,,,0.10185421134923267,0.8981457886507673
8,Random,R2,2,explore,False,,,,0.14733274043218658,0.8526672595678134
9,Greedy,G3_acc,3,refine,False,,0.0625,,0.32781965619146447,0.6721803438085355
9,LLM-Closed,nn-real-latent-bridge,4,refine,False,,0.5625,topology_redesign,0.027337541268808052,0.972662458731192
9,LLM-Open,mirror-chain,4,explore,False,,,,0.14865827431143108,0.8513417256885689
9,Random,R4,4,explore,False,,,,0.15665270918955587,0.8433472908104441
10,Greedy,G4_acc,4,refine,False,,0.0625,,0.47819640283292963,0.5218035971670704
10,LLM-Closed,nn-real-bottleneck-v1,4,refine,False,,0.875,global_redesign,0.03476463669019536,0.9652353633098046
10,LLM-Open,mirror-chain,4,explore,False,,,,0.14841156375597286,0.8515884362440271
10,Random,R1,1,explore,False,,,,0.3683462953825106,0.6316537046174894
11,Greedy,G4_acc,4,refine,False,,0.0625,,0.09343768601503488,0.9065623139849651
11,LLM-Closed,nn-sweep-real,1,explore,False,,0.1875,,0.009079324453237891,0.9909206755467621
11,LLM-Open,mirror-chain,4,explore,False,,,,0.060581079913263225,0.9394189200867368
11,Random,R3,3,explore,False,,,,0.09441714748053842,0.9055828525194616
