seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Random,R1,1,explore,False,,,,0.6630746872168669,0.3369253127831331
0,Random,R2,2,explore,False,,,,0.07236737971538754,0.9276326202846125
0,Random,R3,3,explore,False,,,,0.5169974319823141,0.4830025680176859
0,Random,R4,4,explore,False,,,,0.3812085870575207,0.6187914129424793
0,Random,R5,5,explore,False,,,,0.33039295591648743,0.6696070440835126
0,Random,R6,6,explore,False,,,,0.5000011374077273,0.4999988625922727
0,Random,R7,7,explore,False,,,,0.40225571861890275,0.5977442813810973
0,Random,R8,8,explore,False,,,,0.5243123951949553,0.47568760480504463
0,Greedy,G1_warm,1,explore,False,,,,0.07601139252994227,0.9239886074700577
0,Greedy,G2_warm,2,explore,False,,,,0.5000004161377627,0.49999958386223725
0,Greedy,G3_warm,3,explore,False,,,,0.5000010834122663,0.4999989165877336
0,Greedy,G4_warm,4,explore,False,,,,0.6852566412818775,0.3147433587181226
0,Greedy,G5_rej,5,refine,False,,0.0625,,0.5093068775733343,0.49069312242666574
0,Greedy,G6_acc,6,refine,False,,0.125,,0.05473827173426982,0.9452617282657302
0,Greedy,G7_acc,7,refine,False,,0.125,,0.05359132638902786,0.9464086736109721
0,Greedy,G8_rej,8,refine,False,,0.0625,,0.07099769018175273,0.9290023098182473
0,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5236799032185615,0.4763200967814385
0,LLM-Open,latent-pull-left,2,explore,False,,,,0.5104975910495904,0.4895024089504096
0,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5023523377343428,0.49764766226565715
0,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.500000582012305,0.49999941798769504
0,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07683522898034312,0.9231647710196569
0,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000017625449782,0.4999982374550218
0,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5078730043055075,0.4921269956944925
0,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5080095995039959,0.4919904004960041
1,Random,R1,1,explore,False,,,,0.5261675987014931,0.47383240129850696
1,Random,R2,2,explore,False,,,,0.3485327152135502,0.6514672847864498
1,Random,R3,3,explore,False,,,,0.05674439396150621,0.9432556060384938
1,Random,R4,4,explore,False,,,,0.34506394582927014,0.6549360541707299
1,Random,R5,5,explore,False,,,,0.5201889125858246,0.4798110874141754
1,Random,R6,6,explore,False,,,,0.5078797986543613,0.49212020134563866
1,Random,R7,7,explore,False,,,,0.5086774054716496,0.4913225945283504
1,Random,R8,8,explore,False,,,,0.5204148710455505,0.4795851289544495
1,Greedy,G1_warm,1,explore,False,,,,0.5003068079685973,0.49969319203140267
1,Greedy,G2_warm,2,explore,False,,,,0.5171943655845295,0.48280563441547053
1,Greedy,G3_warm,3,explore,False,,,,0.6380722089933832,0.3619277910066168
1,Greedy,G4_warm,4,explore,False,,,,0.4037586669173452,0.5962413330826548
1,Greedy,G5_acc,5,refine,False,,0.0625,,0.34541866587220704,0.654581334127793
1,Greedy,G6_rej,6,refine,False,,0.125,,0.5082485878062952,0.4917514121937047
1,Greedy,G7_acc,7,refine,False,,0.0625,,0.3453091019443054,0.6546908980556946
1,Greedy,G8_rej,8,refine,False,,0.125,,0.34567334321570253,0.6543266567842975
1,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5262651217919858,0.4737348782080142
1,LLM-Open,latent-pull-left,2,explore,False,,,,0.5119894629075352,0.4880105370924648
1,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5030197376569905,0.49698026234300957
1,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000012373926552,0.4999987626073448
1,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.08300359221035214,0.9169964077896479
1,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000006260452918,0.4999993739547082
1,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5202192039577933,0.4797807960422067
1,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5088481406780574,0.49115185932194266
2,Random,R1,1,explore,False,,,,0.520212102781866,0.479787897218134
2,Random,R2,2,explore,False,,,,0.5261695101377024,0.47383048986229764
2,Random,R3,3,explore,False,,,,0.3678463538059167,0.6321536461940833
2,Random,R4,4,explore,False,,,,0.6492949436575135,0.35070505634248655
2,Random,R5,5,explore,False,,,,0.6469895036226527,0.3530104963773473
2,Random,R6,6,explore,False,,,,0.3918021964829196,0.6081978035170804
2,Random,R7,7,explore,False,,,,0.6698205762826452,0.3301794237173547
2,Random,R8,8,explore,False,,,,0.5241128147244154,0.47588718527558466
2,Greedy,G1_warm,1,explore,False,,,,0.4029998622393999,0.5970001377606001
2,Greedy,G2_warm,2,explore,False,,,,0.5016010483783457,0.4983989516216542
2,Greedy,G3_warm,3,explore,False,,,,0.5023617100876812,0.49763828991231884
2,Greedy,G4_warm,4,explore,False,,,,0.5098961897647665,0.49010381023523353
2,Greedy,G5_rej,5,refine,False,,0.0625,,0.4816101846659482,0.5183898153340518
2,Greedy,G6_acc,6,refine,False,,0.0625,,0.3930048132972396,0.6069951867027604
2,Greedy,G7_rej,7,refine,False,,0.0625,,0.4969571221123067,0.5030428778876933
2,Greedy,G8_rej,8,refine,False,,0.0625,,0.5000014035333029,0.4999985964666971
2,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5246425601249578,0.47535743987504214
2,LLM-Open,latent-pull-left,2,explore,False,,,,0.5112972989495879,0.4887027010504121
2,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5048174603412106,0.49518253965878944
2,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000005044679576,0.49999949553204237
2,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.08011200575091237,0.9198879942490876
2,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000053920084737,0.49999460799152634
2,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5102266074815933,0.48977339251840674
2,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5102974840131502,0.4897025159868497
3,Random,R1,1,explore,False,,,,0.5203114401682298,0.4796885598317702
3,Random,R2,2,explore,False,,,,0.5016815332705387,0.4983184667294613
3,Random,R3,3,explore,False,,,,0.5018569375538249,0.4981430624461752
3,Random,R4,4,explore,False,,,,0.5092425750474503,0.49075742495254965
3,Random,R5,5,explore,False,,,,0.6440821816043163,0.35591781839568365
3,Random,R6,6,explore,False,,,,0.7377700138612691,0.26222998613873094
3,Random,R7,7,explore,False,,,,0.0756921850813983,0.9243078149186017
3,Random,R8,8,explore,False,,,,0.5000013066546618,0.4999986933453382
3,Greedy,G1_warm,1,explore,False,,,,0.525536877346058,0.4744631226539419
3,Greedy,G2_warm,2,explore,False,,,,0.3787903713240498,0.6212096286759502
3,Greedy,G3_warm,3,explore,False,,,,0.665140152810243,0.3348598471897571
3,Greedy,G4_warm,4,explore,False,,,,0.5092709353649756,0.49072906463502436
3,Greedy,G5_acc,5,refine,False,,0.125,,0.378731704650642,0.621268295349358
3,Greedy,G6_acc,6,refine,False,,0.0625,,0.37862517602128587,0.6213748239787141
3,Greedy,G7_rej,7,refine,False,,0.0625,,0.5180532757974865,0.48194672420251355
3,Greedy,G8_rej,8,refine,False,,0.0625,,0.3789241863099081,0.6210758136900919
3,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5251862685936746,0.47481373140632543
3,LLM-Open,latent-pull-left,2,explore,False,,,,0.5112826571540883,0.48871734284591173
3,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5042296828367865,0.4957703171632135
3,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000068789673542,0.49999312103264576
3,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.0794919013926263,0.9205080986073737
3,LLM-Open,entangle-then-compress,6,explore,False,,,,0.50000475078846,0.49999524921154004
3,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5099288252403609,0.49007117475963907
3,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5097334327098186,0.4902665672901814
4,Random,R1,1,explore,False,,,,0.5168992442824025,0.4831007557175975
4,Random,R2,2,explore,False,,,,0.048147670059987324,0.9518523299400127
4,Random,R3,3,explore,False,,,,0.6913482177929049,0.30865178220709516
4,Random,R4,4,explore,False,,,,0.5032852548650475,0.49671474513495256
4,Random,R5,5,explore,False,,,,0.33495392276739944,0.6650460772326006
4,Random,R6,6,explore,False,,,,0.3330387530687302,0.6669612469312698
4,Random,R7,7,explore,False,,,,0.38329847963918173,0.6167015203608183
4,Random,R8,8,explore,False,,,,0.38270064157502626,0.6172993584249737
4,Greedy,G1_warm,1,explore,False,,,,0.04775668728921545,0.9522433127107846
4,Greedy,G2_warm,2,explore,False,,,,0.6468209270709535,0.35317907292904643
4,Greedy,G3_warm,3,explore,False,,,,0.5002395559314925,0.49976044406850745
4,Greedy,G4_warm,4,explore,False,,,,0.5087854143147694,0.4912145856852305
4,Greedy,G5_acc,5,refine,False,,0.0625,,0.04762325286923286,0.9523767471307671
4,Greedy,G6_rej,6,refine,False,,0.125,,0.04785952118904957,0.9521404788109504
4,Greedy,G7_acc,7,refine,False,,0.0625,,0.04750674419967382,0.9524932558003262
4,Greedy,G8_acc,8,refine,False,,0.0625,,0.04743861336802124,0.9525613866319788
4,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5238338022820983,0.47616619771790164
4,LLM-Open,latent-pull-left,2,explore,False,,,,0.5102502406553435,0.4897497593446564
4,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5009347839895848,0.4990652160104152
4,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000015454071132,0.4999984545928869
4,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07791678505632949,0.9220832149436705
4,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000005718069043,0.49999942819309573
4,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5097621405958896,0.4902378594041104
4,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5089464599675293,0.4910535400324707
5,Random,R1,1,explore,False,,,,0.7476302756013942,0.25236972439860583
5,Random,R2,2,explore,False,,,,0.5044966668203625,0.49550333317963746
5,Random,R3,3,explore,False,,,,0.524005918026518,0.4759940819734821
5,Random,R4,4,explore,False,,,,0.6657432288045773,0.3342567711954228
5,Random,R5,5,explore,False,,,,0.5169138643184981,0.4830861356815019
5,Random,R6,6,explore,False,,,,0.5188876665831912,0.4811123334168088
5,Random,R7,7,explore,False,,,,0.5239739072486598,0.47602609275134017
5,Random,R8,8,explore,False,,,,0.5167455224130457,0.48325447758695433
5,Greedy,G1_warm,1,explore,False,,,,0.5168578130553356,0.48314218694466443
5,Greedy,G2_warm,2,explore,False,,,,0.5006429276346589,0.49935707236534116
5,Greedy,G3_warm,3,explore,False,,,,0.5021509773614061,0.4978490226385938
5,Greedy,G4_warm,4,explore,False,,,,0.6889266859597882,0.3110733140402117
5,Greedy,G5_rej,5,refine,False,,0.125,,0.5017255165521111,0.498274483447889
5,Greedy,G6_acc,6,refine,False,,0.0625,,0.5001243188320521,0.49987568116794784
5,Greedy,G7_rej,7,refine,False,,0.0625,,0.5177542959591825,0.48224570404081746
5,Greedy,G8_rej,8,refine,False,,0.0625,,0.5016202329783701,0.49837976702162984
5,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5246632797896054,0.4753367202103947
5,LLM-Open,latent-pull-left,2,explore,False,,,,0.5114830981559784,0.4885169018440217
5,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5024201765842391,0.49757982341576096
5,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000018693510995,0.4999981306489005
5,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07817986168237623,0.9218201383176238
5,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000015791762424,0.4999984208237576
5,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5188121458413086,0.4811878541586914
5,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5092992943757746,0.49070070562422546
6,Random,R1,1,explore,False,,,,0.6475473630662796,0.3524526369337204
6,Random,R2,2,explore,False,,,,0.665140718158362,0.334859281841638
6,Random,R3,3,explore,False,,,,0.6592169322427643,0.3407830677572356
6,Random,R4,4,explore,False,,,,0.5287060270793911,0.471293972920609
6,Random,R5,5,explore,False,,,,0.5105556095051564,0.4894443904948435
6,Random,R6,6,explore,False,,,,0.6723884261547388,0.32761157384526113
6,Random,R7,7,explore,False,,,,0.5042991750667849,0.49570082493321505
6,Random,R8,8,explore,False,,,,0.5142596759570539,0.48574032404294604
6,Greedy,G1_warm,1,explore,False,,,,0.5129272446594273,0.4870727553405727
6,Greedy,G2_warm,2,explore,False,,,,0.5222013762427669,0.4777986237572332
6,Greedy,G3_warm,3,explore,False,,,,0.5000000398183337,0.4999999601816662
6,Greedy,G4_warm,4,explore,False,,,,0.5063452188250819,0.4936547811749181
6,Greedy,G5_rej,5,refine,False,,0.0625,,0.5000001737273208,0.4999998262726792
6,Greedy,G6_rej,6,refine,False,,0.125,,0.5000005904772407,0.4999994095227594
6,Greedy,G7_rej,7,refine,False,,0.0625,,0.500000670200873,0.49999932979912703
6,Greedy,G8_acc,8,refine,False,,0.0625,,0.5000000304946917,0.49999996950530834
6,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5257220815120751,0.47427791848792494
6,LLM-Open,latent-pull-left,2,explore,False,,,,0.5103218150967632,0.48967818490323684
6,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5018574745349429,0.49814252546505705
6,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000013891616641,0.4999986108383359
6,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07840265807433566,0.9215973419256643
6,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000069889697836,0.4999930110302165
6,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5056814291850933,0.4943185708149067
6,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5064171266290487,0.49358287337095136
7,Random,R1,1,explore,False,,,,0.5095273901662614,0.49047260983373864
7,Random,R2,2,explore,False,,,,0.06773603401164852,0.9322639659883515
7,Random,R3,3,explore,False,,,,0.07440097513969535,0.9255990248603047
7,Random,R4,4,explore,False,,,,0.07921619027837001,0.92078380972163
7,Random,R5,5,explore,False,,,,0.5110682622214435,0.4889317377785564
7,Random,R6,6,explore,False,,,,0.5000004394089268,0.49999956059107326
7,Random,R7,7,explore,False,,,,0.5230201324162997,0.4769798675837002
7,Random,R8,8,explore,False,,,,0.5000000724489491,0.499999927551051
7,Greedy,G1_warm,1,explore,False,,,,0.5088915210460001,0.49110847895399984
7,Greedy,G2_warm,2,explore,False,,,,0.5240334989775317,0.47596650102246824
7,Greedy,G3_warm,3,explore,False,,,,0.5000003284049963,0.49999967159500375
7,Greedy,G4_warm,4,explore,False,,,,0.032908373749795494,0.9670916262502045
7,Greedy,G5_rej,5,refine,False,,0.0625,,0.38274753349615054,0.6172524665038495
7,Greedy,G6_rej,6,refine,False,,0.125,,0.033175663997075056,0.9668243360029249
7,Greedy,G7_rej,7,refine,False,,0.0625,,0.3691573382409382,0.6308426617590618
7,Greedy,G8_rej,8,refine,False,,0.0625,,0.03329848972103289,0.9667015102789671
7,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.5250395286851499,0.4749604713148501
7,LLM-Open,latent-pull-left,2,explore,False,,,,0.5106270466007432,0.48937295339925674
7,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5032517539017163,0.49674824609828366
7,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.500001714249992,0.4999982857500081
7,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07980691160923392,0.9201930883907661
7,LLM-Open,entangle-then-compress,6,explore,False,,,,0.5000024365941569,0.49999756340584317
7,LLM-Open,boundary-focused-real,7,explore,False,,,,0.5085991440013526,0.4914008559986474
7,LLM-Open,symmetric-latent-pair,8,explore,False,,,,0.5088277117182762,0.4911722882817237
8,Random,R1,1,explore,False,,,,0.5085479577075755,0.4914520422924244
8,Random,R2,2,explore,False,,,,0.5035148661876623,0.4964851338123378
8,Random,R3,3,explore,False,,,,0.5211090873986557,0.47889091260134437
8,Random,R4,4,explore,False,,,,0.6579691208692797,0.34203087913072033
8,Random,R5,5,explore,False,,,,0.3577903144296082,0.6422096855703918
8,Random,R6,6,explore,False,,,,0.5023566281090497,0.49764337189095037
8,Random,R7,7,explore,False,,,,0.642673419444372,0.35732658055562805
8,Random,R8,8,explore,False,,,,0.5009240048129362,0.4990759951870638
8,Greedy,G1_warm,1,explore,False,,,,0.5073250164434062,0.49267498355659384
8,Greedy,G2_warm,2,explore,False,,,,0.6426606119567435,0.35733938804325643
8,Greedy,G3_warm,3,explore,False,,,,0.500182697592773,0.49981730240722694
8,Greedy,G4_warm,4,explore,False,,,,0.38887151891868765,0.6111284810813123
8,Greedy,G5_acc,5,refine,False,,0.0625,,0.052202911207609115,0.9477970887923909
8,Greedy,G6_rej,6,refine,False,,0.0625,,0.05256623010753669,0.9474337698924633
8,Greedy,G7_rej,7,refine,False,,0.0625,,0.05294325079578932,0.9470567492042107
8,Greedy,G8_rej,8,refine,False,,0.0625,,0.06582650461544626,0.9341734953845537
8,LLM-Open,nn-real-shuttle,1,explore,False,,,,0.524778879936183,0.47522112006381695
8,LLM-Open,latent-pull-left,2,explore,False,,,,0.5094011955971511,0.4905988044028489
8,LLM-Open,trash-to-latent-bridge,3,explore,False,,,,0.5027874735747866,0.4972125264252134
8,LLM-Open,mirror-chain-encoder,4,explore,False,,,,0.5000013562407786,0.4999986437592214
