seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Greedy,G7_acc,7,refine,False,,0.125,,0.05359132638902786,0.9464086736109721
0,LLM-Closed,nn-real-zigzag-v1,6,refine,False,,0.625,topology_redesign,0.03370330198924698,0.966296698010753
0,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07683522898034312,0.9231647710196569
0,Random,R2,2,explore,False,,,,0.07236737971538754,0.9276326202846125
1,Greedy,G7_acc,7,refine,False,,0.0625,,0.3453091019443054,0.6546908980556946
1,LLM-Closed,real-ladder-inward,1,explore,False,,0.5,,0.04626638693042118,0.9537336130695788
1,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.08300359221035214,0.9169964077896479
1,Random,R3,3,explore,False,,,,0.05674439396150621,0.9432556060384938
2,Greedy,G6_acc,6,refine,False,,0.0625,,0.3930048132972396,0.6069951867027604
2,LLM-Closed,mirror-chain,3,explore,False,,0.9375,,0.04836484298555188,0.9516351570144481
2,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.08011200575091237,0.9198879942490876
2,Random,R3,3,explore,False,,,,0.3678463538059167,0.6321536461940833
3,Greedy,G6_acc,6,refine,False,,0.0625,,0.37862517602128587,0.6213748239787141
3,LLM-Closed,nn-real-sweep-v1,7,refine,False,,0.5,topology_redesign,0.033993966179306834,0.9660060338206932
3,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.0794919013926263,0.9205080986073737
3,Random,R7,7,explore,False,,,,0.0756921850813983,0.9243078149186017
4,Greedy,G8_acc,8,refine,False,,0.0625,,0.04743861336802124,0.9525613866319788
4,LLM-Closed,xxz-nn-latent-pull,5,refine,False,,0.875,topology_redesign,0.03057204865018459,0.9694279513498154
4,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07791678505632949,0.9220832149436705
4,Random,R2,2,explore,False,,,,0.048147670059987324,0.9518523299400127
5,Greedy,G6_acc,6,refine,False,,0.0625,,0.5001243188320521,0.49987568116794784
5,LLM-Closed,nn-real-balance-v1,5,refine,False,,0.6875,global_redesign,0.049771775629520065,0.9502282243704799
5,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07817986168237623,0.9218201383176238
5,Random,R2,2,explore,False,,,,0.5044966668203625,0.49550333317963746
6,Greedy,G8_acc,8,refine,False,,0.0625,,0.5000000304946917,0.49999996950530834
6,LLM-Closed,trash-to-latent-sweep,3,explore,False,,0.5625,,0.04383287103128841,0.9561671289687116
6,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07840265807433566,0.9215973419256643
6,Random,R7,7,explore,False,,,,0.5042991750667849,0.49570082493321505
7,Greedy,G4_warm,4,explore,False,,0.125,,0.032908373749795494,0.9670916262502045
7,LLM-Closed,xxz-bridge-v2,6,refine,False,,0.3125,local_adjustment,0.05140827965625183,0.9485917203437482
7,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07980691160923392,0.9201930883907661
7,Random,R2,2,explore,False,,,,0.06773603401164852,0.9322639659883515
8,Greedy,G5_acc,5,refine,False,,0.0625,,0.052202911207609115,0.9477970887923909
8,LLM-Closed,nn-real-split-01,7,refine,False,,0.6875,global_redesign,0.05217284377350706,0.9478271562264929
8,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07813535747151013,0.9218646425284899
8,Random,R5,5,explore,False,,,,0.3577903144296082,0.6422096855703918
9,Greedy,G4_warm,4,explore,False,,0.0625,,0.32849285392664684,0.6715071460733532
9,LLM-Closed,nn-real-split-v2,6,refine,False,,0.4375,topology_redesign,0.02924104299325425,0.9707589570067457
9,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.07335402862182416,0.9266459713781758
9,Random,R4,4,explore,False,,,,0.048523909745931904,0.9514760902540681
10,Greedy,G1_warm,1,explore,False,,0.0625,,0.515318522206351,0.48468147779364906
10,LLM-Closed,trash-to-latent-chain,3,explore,False,,0.75,,0.05242715903916206,0.9475728409608379
10,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.08038719372052616,0.9196128062794738
10,Random,R1,1,explore,False,,,,0.07814416099446875,0.9218558390055313
11,Greedy,G7_acc,7,refine,False,,0.0625,,4.3855498151668115e-05,0.9999561445018483
11,LLM-Closed,latent-collect,2,explore,False,,0.875,,0.02286006100113569,0.9771399389988643
11,LLM-Open,alternating-real-ladder,5,explore,False,,,,0.08037785366484618,0.9196221463351538
11,Random,R2,2,explore,False,,,,0.08061926453412038,0.9193807354658796
