seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Greedy,G7_acc,7,refine,False,,0.125,,0.1144892667834817,0.8855107332165183
0,LLM-Closed,latent2trash_balanced_v2,6,refine,False,,0.875,topology_redesign,0.023142999319559654,0.9768570006804403
0,LLM-Open,latency_chain_mix,2,explore,False,,,,0.0329489429588713,0.9670510570411287
0,Random,R7,7,explore,False,,,,0.017961958215002904,0.9820380417849971
1,Greedy,G1_warm,1,explore,False,,0.125,,0.0887335021220711,0.9112664978779289
1,LLM-Closed,latent_chain_ry_cnot,5,refine,False,,0.375,rotation_redesign,0.08869194114157375,0.9113080588584263
1,LLM-Open,latency_chain_mix,2,explore,False,,,,0.05575215492349006,0.9442478450765099
1,Random,R2,2,explore,False,,,,0.08704544558397542,0.9129545544160246
2,Greedy,G7_acc,7,refine,False,,0.0625,,0.16743617214655104,0.832563827853449
2,LLM-Closed,nearest_neighbor_balanced_v2,8,refine,False,,1.0,topology_redesign,0.07475166445978587,0.9252483355402141
2,LLM-Open,latency_chain_mix,2,explore,False,,,,0.08511465226246273,0.9148853477375373
2,Random,R1,1,explore,False,,,,0.10528617380343075,0.8947138261965693
3,Greedy,G6_acc,6,refine,False,,0.125,,0.05022856280996779,0.9497714371900322
3,LLM-Closed,chain-balanced-ry,5,refine,False,,1.0,topology_redesign,0.1332935257165101,0.8667064742834899
3,LLM-Open,latency_chain_mix,2,explore,False,,,,0.07212922656046616,0.9278707734395338
3,Random,R4,4,explore,False,,,,0.23359299552684976,0.7664070044731502
4,Greedy,G7_acc,7,refine,False,,0.0625,,0.17018162406871673,0.8298183759312833
4,LLM-Closed,lat-sweep,4,explore,False,,0.5625,,0.11605625231503869,0.8839437476849613
4,LLM-Open,latency_chain_mix,2,explore,False,,,,0.045960967023167654,0.9540390329768323
4,Random,R6,6,explore,False,,,,0.1369472397223438,0.8630527602776562
5,Greedy,G5_acc,5,refine,False,,0.125,,0.17429485836518432,0.8257051416348157
5,LLM-Closed,chain_latent_trash_balanced_v1,5,refine,False,,0.8125,topology_redesign,0.12231761899782023,0.8776823810021798
5,LLM-Open,latency_chain_mix,2,explore,False,,,,0.04710316620366728,0.9528968337963327
5,Random,R2,2,explore,False,,,,0.23623292612173452,0.7637670738782655
6,Greedy,G4_warm,4,explore,False,,0.0625,,0.06059174289799618,0.9394082571020038
6,LLM-Closed,NNchain_latent_first,5,refine,False,,0.5,topology_redesign,0.04970711156027363,0.9502928884397264
6,LLM-Open,latency_chain_mix,2,explore,False,,,,0.030338178103772928,0.9696618218962271
6,Random,R7,7,explore,False,,,,0.06008226235878167,0.9399177376412183
7,Greedy,G6_acc,6,refine,False,,0.125,,0.08581444723748544,0.9141855527625146
7,LLM-Closed,chain_entangle_latent_trash,6,refine,False,,0.9375,topology_redesign,0.14360076853878023,0.8563992314612198
7,LLM-Open,latency_chain_mix,2,explore,False,,,,0.05524725545582854,0.9447527445441715
7,Random,R1,1,explore,False,,,,0.14169437044629707,0.8583056295537029
8,Greedy,G6_acc,6,refine,False,,0.0625,,0.0834626654224907,0.9165373345775093
8,LLM-Closed,chain-forward,1,explore,False,,1.0,,0.04873451963042952,0.9512654803695705
8,LLM-Open,latency_chain_mix,2,explore,False,,,,0.042648339770939736,0.9573516602290603
8,Random,R2,2,explore,False,,,,0.14733274043218658,0.8526672595678134
9,Greedy,G5_acc,5,refine,False,,0.0625,,0.18209410067013287,0.8179058993298671
9,LLM-Closed,latent_chain_entangle_v2,8,refine,False,,0.75,topology_redesign,0.03180492666902657,0.9681950733309734
9,LLM-Open,latency_chain_mix,2,explore,False,,,,0.04488793973470673,0.9551120602652933
9,Random,R6,6,explore,False,,,,0.1485482017374018,0.8514517982625982
10,Greedy,G7_acc,7,refine,False,,0.0625,,0.3310252819683758,0.6689747180316242
10,LLM-Closed,linear-entangle-1,1,explore,False,,0.5625,,0.0344428570035854,0.9655571429964146
10,LLM-Open,latency_chain_mix,2,explore,False,,,,0.05327997334071366,0.9467200266592863
10,Random,R8,8,explore,False,,,,0.2738262189479407,0.7261737810520593
11,Greedy,G8_acc,8,refine,False,,0.0625,,0.012982808723648653,0.9870171912763513
11,LLM-Closed,chain_symmetry_v2,6,refine,False,,0.5625,topology_redesign,0.06363312593497683,0.9363668740650232
11,LLM-Open,latency_chain_mix,2,explore,False,,,,0.029975106572423083,0.9700248934275769
11,Random,R3,3,explore,False,,,,0.09441714748053842,0.9055828525194616
