seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Greedy,G8_acc,8,refine,False,,0.03125,,0.45150156363007266,0.5484984363699273
0,LLM-Closed,latent-sink-mixed,2,explore,False,,0.4375,,0.14141266809564768,0.8585873319043523
0,LLM-Open,edge-to-core,5,explore,False,,,,0.09253984349364452,0.9074601565063555
0,Random,R4,4,explore,False,,,,0.30154146521201375,0.6984585347879863
1,Greedy,G8_acc,8,refine,False,,0.03125,,0.547157323272008,0.4528426767279921
1,LLM-Closed,nn-chain-split-ry,7,refine,False,,0.375,topology_redesign,0.11716181158042982,0.8828381884195702
1,LLM-Open,edge-to-core,5,explore,False,,,,0.11335396825442612,0.8866460317455739
1,Random,R6,6,explore,False,,,,0.26517010425376064,0.7348298957462394
2,Greedy,G5_acc,5,refine,False,,0.03125,,0.4973043994584013,0.5026956005415987
2,LLM-Closed,staggered-ladder-real,3,explore,False,,0.65625,,0.3226894964475364,0.6773105035524636
2,LLM-Open,edge-to-core,5,explore,False,,,,0.18095042451866739,0.8190495754813326
2,Random,R1,1,explore,False,,,,0.5137115552415816,0.4862884447584184
3,Greedy,G8_acc,8,refine,False,,0.0625,,0.6239766881916649,0.3760233118083352
3,LLM-Closed,nn-real-chain-v2,8,refine,False,,0.9375,topology_redesign,0.3412132243970817,0.6587867756029183
3,LLM-Open,edge-to-core,5,explore,False,,,,0.16454205017054002,0.83545794982946
3,Random,R3,3,explore,False,,,,0.46097970971106295,0.539020290288937
4,Greedy,G6_acc,6,refine,False,,0.0625,,0.5230763766618594,0.4769236233381407
4,LLM-Closed,nn-bridge-ryrz,5,refine,False,,0.375,topology_redesign,0.12995340958674895,0.870046590413251
4,LLM-Open,edge-to-core,5,explore,False,,,,0.11490276842287594,0.885097231577124
4,Random,R8,8,explore,False,,,,0.3860782991309666,0.6139217008690334
5,Greedy,G8_acc,8,refine,False,,0.03125,,0.3878709033355209,0.6121290966644791
5,LLM-Closed,bidir_bridge,1,explore,False,,0.21875,,0.3134201032882933,0.6865798967117067
5,LLM-Open,edge-to-core,5,explore,False,,,,0.13355926946887153,0.8664407305311285
5,Random,R7,7,explore,False,,,,0.5185725976963154,0.4814274023036846
6,Greedy,G7_acc,7,refine,False,,0.03125,,0.2104322015262864,0.7895677984737136
6,LLM-Closed,nn-real-split-8q-v1,5,refine,False,,0.90625,topology_redesign,0.1436152525883444,0.8563847474116556
6,LLM-Open,edge-to-core,5,explore,False,,,,0.0597931182936019,0.9402068817063981
6,Random,R3,3,explore,False,,,,0.2629387226461998,0.7370612773538002
7,Greedy,G7_acc,7,refine,False,,0.03125,,0.6086859479242246,0.39131405207577546
7,LLM-Closed,nn-bidirectional-real-01,8,refine,False,,0.5,topology_redesign,0.14964409067732165,0.8503559093226783
7,LLM-Open,edge-to-core,5,explore,False,,,,0.1312284298204096,0.8687715701795904
7,Random,R5,5,explore,False,,,,0.40712508363721644,0.5928749163627836
8,Greedy,G6_acc,6,refine,False,,0.03125,,0.31034348087392305,0.689656519126077
8,LLM-Closed,nn-real-balance-v1,8,refine,False,,0.5,topology_redesign,0.09601148183427721,0.9039885181657228
8,LLM-Open,edge-to-core,5,explore,False,,,,0.09130806757700904,0.908691932422991
8,Random,R2,2,explore,False,,,,0.4708726452731964,0.5291273547268036
9,Greedy,G5_acc,5,refine,False,,0.03125,,0.6381727430545554,0.36182725694544465
9,LLM-Closed,nn-split-8q-v1,8,refine,False,,0.8125,topology_redesign,0.1110092117487732,0.8889907882512268
9,LLM-Open,edge-to-core,5,explore,False,,,,0.1250948302977415,0.8749051697022585
9,Random,R7,7,explore,False,,,,0.43944961990166254,0.5605503800983375
10,Greedy,G5_acc,5,refine,False,,0.03125,,0.44180263225460636,0.5581973677453936
10,LLM-Closed,nn-real-latent-split,8,refine,False,,0.875,topology_redesign,0.14980898657112307,0.8501910134288769
10,LLM-Open,edge-to-core,5,explore,False,,,,0.13761546535001512,0.8623845346499849
10,Random,R7,7,explore,False,,,,0.45136288979988215,0.5486371102001179
11,Greedy,G6_acc,6,refine,False,,0.03125,,0.1963514210653714,0.8036485789346286
11,LLM-Closed,nn-real-bottleneck-v2,5,refine,False,,0.34375,topology_redesign,0.08851552966166887,0.9114844703383311
11,LLM-Open,edge-to-core,5,explore,False,,,,0.07125666857375423,0.9287433314262458
11,Random,R5,5,explore,False,,,,0.25980234724669515,0.7401976527533048
