seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,Greedy,G5_acc,5,refine,False,,0.125,,0.03136494179545002,0.96863505820455
1,Greedy,G1_warm,1,explore,False,,nan,,0.0887335021220711,0.9112664978779289
2,Greedy,G6_acc,6,refine,False,,0.0625,,0.15987026759656897,0.840129732403431
3,Greedy,G4_acc,4,refine,False,,0.0625,,0.19262495931697587,0.8073750406830241
4,Greedy,G5_acc,5,refine,False,,0.0625,,0.16968954435811978,0.8303104556418802
5,Greedy,G4_acc,4,refine,False,,0.0625,,0.18090081195223562,0.8190991880477644
6,Greedy,G6_acc,6,refine,False,,0.0625,,0.09158812174834952,0.9084118782516505
7,Greedy,G5_acc,5,refine,False,,0.0625,,0.11504353677100776,0.8849564632289922
8,Greedy,G3_warm,3,explore,False,,nan,,0.08555655828023889,0.9144434417197611
9,Greedy,G4_acc,4,refine,False,,0.0625,,0.18124640261818337,0.8187535973818166
10,Greedy,G5_acc,5,refine,False,,0.0625,,0.33689616453599747,0.6631038354640025
11,Greedy,G6_acc,6,refine,False,,0.125,,0.04683399583366621,0.9531660041663338
0,LLM-Closed,edge-swap-pull,3,explore,False,,nan,,0.031037676437583706,0.9689623235624163
1,LLM-Closed,latent-sandwich,1,explore,False,,nan,,0.03315250767528022,0.9668474923247198
2,LLM-Closed,nn-real-latent-sink,6,refine,False,,0.1875,topology_redesign,0.04484281957088987,0.9551571804291101
3,LLM-Closed,nn-real-bottleneck-v2,6,refine,False,,0.6875,topology_redesign,0.07073170394028006,0.92926829605972
4,LLM-Closed,nn-real-latent-pull,5,refine,False,,0.75,topology_redesign,0.05314824907799842,0.9468517509220016
5,LLM-Closed,edge-to-center-swaplike,2,explore,False,,nan,,0.030521147616062283,0.9694788523839377
6,LLM-Closed,latent-sweep-mirror,1,explore,False,,nan,,0.017601836028001805,0.9823981639719982
7,LLM-Closed,nn-real-latent-trash-v2,5,refine,False,,0.75,global_redesign,0.07100844591976829,0.9289915540802317
8,LLM-Closed,real-chain-sweep,1,explore,False,,nan,,0.030365511473399387,0.9696344885266006
9,LLM-Closed,nn-real-latent-swap,5,refine,False,,0.25,topology_redesign,0.06550707880390305,0.934492921196097
10,LLM-Closed,nn-real-balance,6,refine,False,,0.75,topology_redesign,0.03970265877444712,0.9602973412255529
11,LLM-Closed,nn-real-latent-bridge,6,refine,False,,0.3125,topology_redesign,0.024772972665596527,0.9752270273344035
0,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.02100407096520429,0.9789959290347957
1,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.03715406682223954,0.9628459331777605
2,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.04448763546254042,0.9555123645374596
3,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.04256676291140815,0.9574332370885918
4,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.028551152698176208,0.9714488473018238
5,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.031048927297672946,0.968951072702327
6,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.020538032205727585,0.9794619677942724
7,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.03657335089707614,0.9634266491029239
8,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.02512461427185375,0.9748753857281462
9,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.026664245434713685,0.9733357545652863
10,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.034800555324666305,0.9651994446753337
11,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.016751810311791626,0.9832481896882084
0,Random,R2,2,explore,False,,nan,,0.11572587609686236,0.8842741239031376
1,Random,R2,2,explore,False,,nan,,0.08704544558397542,0.9129545544160246
2,Random,R1,1,explore,False,,nan,,0.10528617380343075,0.8947138261965693
3,Random,R4,4,explore,False,,nan,,0.23359299552684976,0.7664070044731502
4,Random,R6,6,explore,False,,nan,,0.1369472397223438,0.8630527602776562
5,Random,R2,2,explore,False,,nan,,0.23623292612173452,0.7637670738782655
6,Random,R6,6,explore,False,,nan,,0.08651902930221,0.91348097069779
7,Random,R1,1,explore,False,,nan,,0.14169437044629707,0.8583056295537029
8,Random,R2,2,explore,False,,nan,,0.14733274043218658,0.8526672595678134
9,Random,R6,6,explore,False,,nan,,0.1485482017374018,0.8514517982625982
10,Random,R1,1,explore,False,,nan,,0.3683462953825106,0.6316537046174894
11,Random,R3,3,explore,False,,nan,,0.09441714748053842,0.9055828525194616
