seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid
0,LLM-Closed,real-bridge-late,1,explore,False,,nan,,0.5015471067228046,0.4984528932771955
0,LLM-Closed,alternating-chain,2,explore,False,,nan,,0.04833525451838394,0.9516647454816161
0,LLM-Closed,trash-to-latent-sweep,3,explore,False,,nan,,0.5227759702900829,0.47722402970991706
0,LLM-Closed,symmetric-endcaps,4,explore,False,,nan,,0.5241577588206139,0.47584224117938606
0,LLM-Closed,frontload-entangle,5,explore,False,,nan,,0.6459969168972124,0.35400308310278755
0,LLM-Closed,real-nn-latent-sweep,6,refine,False,,0.625,global_redesign,0.032974474130263,0.967025525869737
0,LLM-Closed,xxz-nn-latent,7,refine,False,,0.4375,topology_redesign,0.04830107761049496,0.951698922389505
0,LLM-Closed,xxz-latent-split-v2,8,refine,False,,0.5,local_adjustment,0.07297053112399876,0.9270294688760012
0,LLM-Closed,xxz-real-nearest-neighbor-v2,9,refine,False,,0.3125,topology_redesign,0.048331410777546324,0.9516685892224537
0,LLM-Closed,xxz-nn-real-v2,10,refine,False,,0.3125,topology_redesign,0.04832591282273946,0.9516740871772605
1,LLM-Closed,nn-real-push,1,explore,False,,nan,,0.5027504787522379,0.49724952124776206
1,LLM-Closed,symmetric-sweep,2,explore,False,,nan,,0.05657682727526048,0.9434231727247395
1,LLM-Closed,nn-latent-sweep,3,explore,False,,nan,,0.5282724960903966,0.47172750390960344
1,LLM-Closed,boundary-funnel,4,explore,False,,nan,,0.05656282021671333,0.9434371797832867
1,LLM-Closed,even-odd-bridge,5,explore,False,,nan,,0.3952864862644422,0.6047135137355578
1,LLM-Closed,xxz-real-nn-v2,6,refine,False,,0.5,topology_redesign,0.5000012061698331,0.4999987938301668
1,LLM-Closed,fallback_p6,7,refine,True,"invalid: capacity mismatch: rotations=11, CNOTs=5",1.0,,0.520235949036659,0.47976405096334096
1,LLM-Closed,xxz-latent-swap-01,8,refine,False,,0.625,topology_redesign,0.500000837010163,0.49999916298983704
1,LLM-Closed,xxz-real-nearest-neighbor-v2,9,refine,False,,0.5,topology_redesign,0.5000011258408379,0.49999887415916205
1,LLM-Closed,xxz-latent-swap-01,10,refine,False,,0.8125,topology_redesign,0.528232206974586,0.4717677930254141
2,LLM-Closed,nn-real-l2r,1,explore,False,,nan,,0.05890462402884522,0.9410953759711548
2,LLM-Closed,trash-to-latent-sweep,2,explore,False,,nan,,0.5246779177295826,0.47532208227041733
2,LLM-Closed,edge-braid-real,3,explore,False,,nan,,0.04880610558294529,0.9511938944170547
2,LLM-Closed,latent-first-compress,4,explore,False,,nan,,0.05637320283658287,0.9436267971634171
2,LLM-Closed,alternating-chain-mix,5,explore,False,,nan,,0.4997921682056632,0.5002078317943368
2,LLM-Closed,xxz-nn-latent-pull,6,refine,False,,0.625,topology_redesign,0.5000005990841687,0.49999940091583134
2,LLM-Closed,nn-real-xxz-01,7,refine,False,,0.5625,topology_redesign,0.5000003913577837,0.4999996086422163
2,LLM-Closed,xxz-nearest-latent-v2,8,refine,False,,0.3125,topology_redesign,0.5000009029719843,0.4999990970280157
2,LLM-Closed,xxz-near-near-1,9,refine,False,,0.625,topology_redesign,0.04833210463283477,0.9516678953671652
2,LLM-Closed,xxz-nearest-neighbor-latent,10,refine,False,,0.25,topology_redesign,0.04832493241198088,0.9516750675880191
3,LLM-Closed,real-latent-push,1,explore,False,,nan,,0.5052677089333477,0.49473229106665234
3,LLM-Closed,alternating-chain-real,2,explore,False,,nan,,0.5255571924557614,0.47444280754423857
3,LLM-Closed,latent-anchored-mirror,3,explore,False,,nan,,0.05111087743875975,0.9488891225612403
3,LLM-Closed,edge-broadcast-compress,4,explore,False,,nan,,0.07975477667061437,0.9202452233293856
3,LLM-Closed,nn-chain-symmetric-16,5,explore,False,,nan,,0.051116242759289054,0.948883757240711
3,LLM-Closed,xxz-nn-latent-swap,6,refine,False,,0.4375,topology_redesign,0.05113247502802898,0.948867524971971
3,LLM-Closed,xxz-latent-swap-1,7,refine,False,,0.6875,topology_redesign,0.051122480147097527,0.9488775198529025
3,LLM-Closed,nn-real-balance-v1,8,refine,False,,0.6875,topology_redesign,0.5000004656382961,0.4999995343617038
