condition,configured_budget,method,target,successes,required,n_seeds,passes,mean_validation,tenth_largest_validation,successes_without_fallback_candidates_diagnostic_only
budget_b4,4,Random,0.95,0,10,12,False,0.8014884527030656,0.7637670738782655,0
budget_b4,4,Random,0.99,0,10,12,False,0.8014884527030656,0.7637670738782655,0
budget_b4,4,Greedy,0.95,0,10,12,False,0.7641929699462613,0.6721803438085355,0
budget_b4,4,Greedy,0.99,0,10,12,False,0.7641929699462613,0.6721803438085355,0
budget_b4,4,LLM-Open,0.95,0,10,12,False,0.8735482448701083,0.8513417256885689,0
budget_b4,4,LLM-Open,0.99,0,10,12,False,0.8735482448701083,0.8513417256885689,0
budget_b4,4,LLM-Closed,0.95,8,10,12,False,0.9471932611764177,0.9096566770597576,8
budget_b4,4,LLM-Closed,0.99,1,10,12,False,0.9471932611764177,0.9096566770597576,1
reference,8,Random,0.95,1,10,12,False,0.8597526933019597,0.7664070044731502,1
reference,8,Random,0.99,0,10,12,False,0.8597526933019597,0.7664070044731502,0
reference,8,Greedy,0.95,1,10,12,False,0.8732220805653248,0.8257051416348157,1
reference,8,Greedy,0.99,0,10,12,False,0.8732220805653248,0.8257051416348157,0
reference,8,LLM-Open,0.95,10,10,12,True,0.9618344396874143,0.9575162253566862,10
reference,8,LLM-Open,0.99,0,10,12,False,0.9618344396874143,0.9575162253566862,0
reference,8,LLM-Closed,0.95,12,10,12,True,0.9697590784549026,0.959729165530775,12
reference,8,LLM-Closed,0.99,0,10,12,False,0.9697590784549026,0.959729165530775,0
budget_b16,16,Random,0.95,2,10,12,False,0.896756344545752,0.8630527602776562,2
budget_b16,16,Random,0.99,0,10,12,False,0.896756344545752,0.8630527602776562,0
budget_b16,16,Greedy,0.95,3,10,12,False,0.9104320847795995,0.8943155227175384,3
budget_b16,16,Greedy,0.99,0,10,12,False,0.9104320847795995,0.8943155227175384,0
budget_b16,16,LLM-Open,0.95,12,10,12,True,0.9702695591483174,0.9627423513624076,12
budget_b16,16,LLM-Open,0.99,0,10,12,False,0.9702695591483174,0.9627423513624076,0
budget_b16,16,LLM-Closed,0.95,11,10,12,True,0.968815580892069,0.9648728178837525,11
budget_b16,16,LLM-Closed,0.99,0,10,12,False,0.968815580892069,0.9648728178837525,0
qubits_n6,8,Random,0.95,0,10,12,False,0.7485827049221553,0.7027654412281099,0
qubits_n6,8,Random,0.99,0,10,12,False,0.7485827049221553,0.7027654412281099,0
qubits_n6,8,Greedy,0.95,0,10,12,False,0.70677038499334,0.6388690692167461,0
