condition,method,evaluated_candidates,fallback_candidates,candidates_with_recorded_invalid_errors,note
budget_b4,Random,48,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b4,Greedy,48,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b4,LLM-Open,48,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b4,LLM-Closed,48,3,3,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
reference,Random,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
reference,Greedy,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
reference,LLM-Open,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
reference,LLM-Closed,96,8,8,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b16,Random,192,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b16,Greedy,192,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b16,LLM-Open,192,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
budget_b16,LLM-Closed,192,15,15,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n6,Random,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n6,Greedy,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n6,LLM-Open,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n6,LLM-Closed,96,29,13,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n8,Random,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n8,Greedy,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n8,LLM-Open,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
qubits_n8,LLM-Closed,96,22,14,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
hamiltonian_xxz,Random,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
hamiltonian_xxz,Greedy,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
hamiltonian_xxz,LLM-Open,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
hamiltonian_xxz,LLM-Closed,96,8,8,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
model_alt,Random,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
model_alt,Greedy,96,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
model_alt,LLM-Open,96,60,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
model_alt,LLM-Closed,96,7,3,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
target_tfim_b6,Random,72,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
target_tfim_b6,Greedy,72,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
target_tfim_b6,LLM-Open,72,0,0,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
target_tfim_b6,LLM-Closed,72,5,4,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
target_xxz_b10,LLM-Closed,120,7,7,Invalid-error history and final random fallback are distinct; no candidate removed from primary analysis.
