condition,configured_budget,method,target,first_k_with_10_of_12_in_this_trace,interpretation
budget_b4,4,Random,0.95,,within-run prefix only; not an independently executed budget
budget_b4,4,Random,0.99,,within-run prefix only; not an independently executed budget
budget_b4,4,Greedy,0.95,,within-run prefix only; not an independently executed budget
budget_b4,4,Greedy,0.99,,within-run prefix only; not an independently executed budget
budget_b4,4,LLM-Open,0.95,,within-run prefix only; not an independently executed budget
budget_b4,4,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
budget_b4,4,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
budget_b4,4,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
reference,8,Random,0.95,,within-run prefix only; not an independently executed budget
reference,8,Random,0.99,,within-run prefix only; not an independently executed budget
reference,8,Greedy,0.95,,within-run prefix only; not an independently executed budget
reference,8,Greedy,0.99,,within-run prefix only; not an independently executed budget
reference,8,LLM-Open,0.95,8,within-run prefix only; not an independently executed budget
reference,8,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
reference,8,LLM-Closed,0.95,3,within-run prefix only; not an independently executed budget
reference,8,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
budget_b16,16,Random,0.95,,within-run prefix only; not an independently executed budget
budget_b16,16,Random,0.99,,within-run prefix only; not an independently executed budget
budget_b16,16,Greedy,0.95,,within-run prefix only; not an independently executed budget
budget_b16,16,Greedy,0.99,,within-run prefix only; not an independently executed budget
budget_b16,16,LLM-Open,0.95,3,within-run prefix only; not an independently executed budget
budget_b16,16,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
budget_b16,16,LLM-Closed,0.95,9,within-run prefix only; not an independently executed budget
budget_b16,16,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
qubits_n6,8,Random,0.95,,within-run prefix only; not an independently executed budget
qubits_n6,8,Random,0.99,,within-run prefix only; not an independently executed budget
qubits_n6,8,Greedy,0.95,,within-run prefix only; not an independently executed budget
qubits_n6,8,Greedy,0.99,,within-run prefix only; not an independently executed budget
qubits_n6,8,LLM-Open,0.95,,within-run prefix only; not an independently executed budget
qubits_n6,8,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
qubits_n6,8,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
qubits_n6,8,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
qubits_n8,8,Random,0.95,,within-run prefix only; not an independently executed budget
qubits_n8,8,Random,0.99,,within-run prefix only; not an independently executed budget
qubits_n8,8,Greedy,0.95,,within-run prefix only; not an independently executed budget
qubits_n8,8,Greedy,0.99,,within-run prefix only; not an independently executed budget
qubits_n8,8,LLM-Open,0.95,,within-run prefix only; not an independently executed budget
qubits_n8,8,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
qubits_n8,8,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
qubits_n8,8,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,Random,0.95,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,Random,0.99,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,Greedy,0.95,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,Greedy,0.99,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,LLM-Open,0.95,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
hamiltonian_xxz,8,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
model_alt,8,Random,0.95,,within-run prefix only; not an independently executed budget
model_alt,8,Random,0.99,,within-run prefix only; not an independently executed budget
model_alt,8,Greedy,0.95,,within-run prefix only; not an independently executed budget
model_alt,8,Greedy,0.99,,within-run prefix only; not an independently executed budget
model_alt,8,LLM-Open,0.95,,within-run prefix only; not an independently executed budget
model_alt,8,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
model_alt,8,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
model_alt,8,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,Random,0.95,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,Random,0.99,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,Greedy,0.95,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,Greedy,0.99,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,LLM-Open,0.95,2,within-run prefix only; not an independently executed budget
target_tfim_b6,6,LLM-Open,0.99,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
target_tfim_b6,6,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
target_xxz_b10,10,LLM-Closed,0.95,,within-run prefix only; not an independently executed budget
target_xxz_b10,10,LLM-Closed,0.99,,within-run prefix only; not an independently executed budget
