seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid,train_loss,train_fid
0,Greedy,G5_acc,5,refine,False,,0.125,,0.03136494179545002,0.96863505820455,0.040700475031339334,0.9592995249686607
1,Greedy,G1_warm,1,explore,False,,nan,,0.0887335021220711,0.9112664978779289,0.11039587264937589,0.8896041273506241
2,Greedy,G6_acc,6,refine,False,,0.0625,,0.15987026759656897,0.840129732403431,0.14614983495384837,0.8538501650461516
3,Greedy,G4_acc,4,refine,False,,0.0625,,0.19262495931697587,0.8073750406830241,0.1408437966664211,0.8591562033335789
4,Greedy,G5_acc,5,refine,False,,0.0625,,0.16968954435811978,0.8303104556418802,0.14678697113444295,0.853213028865557
5,Greedy,G4_acc,4,refine,False,,0.0625,,0.18090081195223562,0.8190991880477644,0.19953246829038096,0.800467531709619
6,Greedy,G6_acc,6,refine,False,,0.0625,,0.09158812174834952,0.9084118782516505,0.17232411665267455,0.8276758833473254
7,Greedy,G5_acc,5,refine,False,,0.0625,,0.11504353677100776,0.8849564632289922,0.1260930260231421,0.8739069739768579
8,Greedy,G3_warm,3,explore,False,,nan,,0.08555655828023889,0.9144434417197611,0.08455196358713635,0.9154480364128637
9,Greedy,G4_acc,4,refine,False,,0.0625,,0.18124640261818337,0.8187535973818166,0.1685312380456907,0.8314687619543093
10,Greedy,G5_acc,5,refine,False,,0.0625,,0.33689616453599747,0.6631038354640025,0.3349466086240074,0.6650533913759926
11,Greedy,G6_acc,6,refine,False,,0.125,,0.04683399583366621,0.9531660041663338,0.06851642059759433,0.9314835794024057
0,LLM-Closed,edge-swap-pull,3,explore,False,,nan,,0.031037676437583706,0.9689623235624163,0.044012208295761024,0.955987791704239
1,LLM-Closed,latent-sandwich,1,explore,False,,nan,,0.03315250767528022,0.9668474923247198,0.03234092739494754,0.9676590726050525
2,LLM-Closed,nn-real-latent-sink,6,refine,False,,0.1875,topology_redesign,0.04484281957088987,0.9551571804291101,0.017499721263217416,0.9825002787367826
3,LLM-Closed,nn-real-bottleneck-v2,6,refine,False,,0.6875,topology_redesign,0.07073170394028006,0.92926829605972,0.034474872903722975,0.965525127096277
4,LLM-Closed,nn-real-latent-pull,5,refine,False,,0.75,topology_redesign,0.05314824907799842,0.9468517509220016,0.047396367304592624,0.9526036326954074
5,LLM-Closed,edge-to-center-swaplike,2,explore,False,,nan,,0.030521147616062283,0.9694788523839377,0.03452731103655626,0.9654726889634437
6,LLM-Closed,latent-sweep-mirror,1,explore,False,,nan,,0.017601836028001805,0.9823981639719982,0.027688192368373388,0.9723118076316266
7,LLM-Closed,nn-real-latent-trash-v2,5,refine,False,,0.75,global_redesign,0.07100844591976829,0.9289915540802317,0.0672281610183979,0.9327718389816021
8,LLM-Closed,real-chain-sweep,1,explore,False,,nan,,0.030365511473399387,0.9696344885266006,0.02803953245703794,0.9719604675429621
9,LLM-Closed,nn-real-latent-swap,5,refine,False,,0.25,topology_redesign,0.06550707880390305,0.934492921196097,0.06883164977691869,0.9311683502230813
10,LLM-Closed,nn-real-balance,6,refine,False,,0.75,topology_redesign,0.03970265877444712,0.9602973412255529,0.04061486697496264,0.9593851330250374
11,LLM-Closed,nn-real-latent-bridge,6,refine,False,,0.3125,topology_redesign,0.024772972665596527,0.9752270273344035,0.06160470661853035,0.9383952933814697
0,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.02100407096520429,0.9789959290347957,0.02585212084297228,0.9741478791570277
1,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.03715406682223954,0.9628459331777605,0.029946522199049586,0.9700534778009504
2,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.04448763546254042,0.9555123645374596,0.021967771897166033,0.978032228102834
3,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.04256676291140815,0.9574332370885918,0.021933392863589196,0.9780666071364108
4,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.028551152698176208,0.9714488473018238,0.026121687577122854,0.9738783124228771
5,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.031048927297672946,0.968951072702327,0.03411128632446858,0.9658887136755314
6,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.020538032205727585,0.9794619677942724,0.031765185713741206,0.9682348142862588
7,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.03657335089707614,0.9634266491029239,0.03245638378221072,0.9675436162177893
8,LLM-Open,latent-pull-2,2,explore,False,,nan,,0.02512461427185375,0.9748753857281462,0.022240324141210355,0.9777596758587896
9,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.026664245434713685,0.9733357545652863,0.030811805694125116,0.9691881943058749
10,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.034800555324666305,0.9651994446753337,0.03611135842193136,0.9638886415780686
11,LLM-Open,boundary-first-4,4,explore,False,,nan,,0.016751810311791626,0.9832481896882084,0.029770147985644257,0.9702298520143557
0,Random,R2,2,explore,False,,nan,,0.11572587609686236,0.8842741239031376,0.1640394020094431,0.8359605979905569
1,Random,R2,2,explore,False,,nan,,0.08704544558397542,0.9129545544160246,0.09029719351155419,0.9097028064884458
2,Random,R1,1,explore,False,,nan,,0.10528617380343075,0.8947138261965693,0.05759254092792654,0.9424074590720735
3,Random,R4,4,explore,False,,nan,,0.23359299552684976,0.7664070044731502,0.16051016946330532,0.8394898305366947
4,Random,R6,6,explore,False,,nan,,0.1369472397223438,0.8630527602776562,0.11587565581226278,0.8841243441877372
5,Random,R2,2,explore,False,,nan,,0.23623292612173452,0.7637670738782655,0.2549523203868934,0.7450476796131066
6,Random,R6,6,explore,False,,nan,,0.08651902930221,0.91348097069779,0.12529669272591992,0.8747033072740801
7,Random,R1,1,explore,False,,nan,,0.14169437044629707,0.8583056295537029,0.15046628288956365,0.8495337171104363
8,Random,R2,2,explore,False,,nan,,0.14733274043218658,0.8526672595678134,0.14483914071087134,0.8551608592891287
9,Random,R6,6,explore,False,,nan,,0.1485482017374018,0.8514517982625982,0.14066768505342864,0.8593323149465714
10,Random,R1,1,explore,False,,nan,,0.3683462953825106,0.6316537046174894,0.3702498172454167,0.6297501827545833
11,Random,R3,3,explore,False,,nan,,0.09441714748053842,0.9055828525194616,0.18889547290402753,0.8111045270959725
