seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,val_loss,val_fid,train_loss,train_fid
0,LLM-Closed,real-nn-latent-sweep,6,refine,False,,0.625,global_redesign,0.032974474130263,0.967025525869737,0.03017149122381657,0.9698285087761834
1,LLM-Closed,boundary-funnel,4,explore,False,,nan,,0.05656282021671333,0.9434371797832867,0.05016362107115435,0.9498363789288456
2,LLM-Closed,xxz-nearest-neighbor-latent,10,refine,False,,0.25,topology_redesign,0.04832493241198088,0.9516750675880191,0.05107914375707656,0.9489208562429234
3,LLM-Closed,latent-anchored-mirror,3,explore,False,,nan,,0.05111087743875975,0.9488891225612403,0.05012087988461,0.94987912011539
4,LLM-Closed,nn-real-braid-v1,9,refine,False,,0.4375,topology_redesign,0.04743623893027904,0.952563761069721,0.04943068317789345,0.9505693168221065
5,LLM-Closed,xxz-real-nearest-neighbor-v2,9,refine,False,,0.875,topology_redesign,0.033584414167293075,0.9664155858327069,0.03032671198815251,0.9696732880118475
6,LLM-Closed,nn-real-bottleneck,9,refine,False,,0.3125,topology_redesign,0.0539108344338054,0.9460891655661946,0.045481118792227715,0.9545188812077723
7,LLM-Closed,alternating-real,3,explore,False,,nan,,0.05638545882529333,0.9436145411747067,0.05423306289804275,0.9457669371019573
8,LLM-Closed,nn-real-sweep-01,8,refine,False,,0.875,topology_redesign,0.05218064396667843,0.9478193560333216,0.05016363997301265,0.9498363600269873
9,LLM-Closed,nn-latent-pair-a,4,explore,False,,nan,,0.04716318461688529,0.9528368153831147,0.04978555547803776,0.9502144445219622
10,LLM-Closed,nn-real-latent-pull,8,refine,False,,0.1875,topology_redesign,0.05051393403705351,0.9494860659629465,0.04936316688532094,0.9506368331146791
11,LLM-Closed,alternating-chain,1,explore,False,,nan,,0.0561045268209428,0.9438954731790572,0.05059857072013574,0.9494014292798643
