method,candidates_used,best_so_far_test_fid
Greedy,1,0.6885360143848094
Greedy,2,0.7399499448515537
Greedy,3,0.7474934671748427
Greedy,4,0.7520198005015639
LLM-Closed,1,0.8861697334645152
LLM-Closed,2,0.9203340698110752
LLM-Closed,3,0.9310006073676562
LLM-Closed,4,0.9493795691210217
LLM-Open,1,0.8038278221949063
LLM-Open,2,0.8338846648589495
LLM-Open,3,0.8338846648589495
LLM-Open,4,0.8682018355785127
Random,1,0.6835994187991417
Random,2,0.7606461835673172
Random,3,0.7789417898715486
Random,4,0.8001275882829256
