seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G3_acc,3,refine,False,,0.0625,,0.16427649447401738,0.1150834115869902,0.1437050641987958,0.8357235055259826,0.8849165884130098,0.8562949358012042
0,LLM-Closed,nn-real-latent-sink-v2,3,refine,False,,0.9375,topology_redesign,0.03327856151339037,0.022841776573139128,0.03433944128770805,0.9667214384866096,0.9771582234268609,0.965660558712292
0,LLM-Open,mirror-chain,4,explore,False,,,,0.14689702005525873,0.10428895056211662,0.13140562865107297,0.8531029799447413,0.8957110494378834,0.868594371348927
0,Random,R2,2,explore,False,,,,0.1640394020094431,0.11572587609686236,0.14414975769841465,0.8359605979905569,0.8842741239031376,0.8558502423015854
1,Greedy,G4_acc,4,refine,False,,0.0625,,0.11035391738101774,0.08866030387135382,0.10701298805508941,0.8896460826189823,0.9113396961286462,0.8929870119449106
1,LLM-Closed,nn-real-latent-sweep,3,refine,False,,0.3125,topology_redesign,0.054968290756598925,0.05389217894242859,0.05407561715306941,0.9450317092434011,0.9461078210575714,0.9459243828469306
1,LLM-Open,mirror-chain,4,explore,False,,,,0.13646801331509306,0.11506279969758781,0.13312233693841535,0.8635319866849069,0.8849372003024122,0.8668776630615846
1,Random,R2,2,explore,False,,,,0.09029719351155419,0.08704544558397542,0.08884276740380104,0.9097028064884458,0.9129545544160246,0.911157232596199
2,Greedy,G4_acc,4,refine,False,,0.0625,,0.1471327261101949,0.24741547920119145,0.18335188577765538,0.8528672738898051,0.7525845207988086,0.8166481142223446
2,LLM-Closed,boundary-sweep-real,2,explore,False,,0.4375,,0.047142562577219604,0.09034332294024239,0.06670816753840825,0.9528574374227804,0.9096566770597576,0.9332918324615918
2,LLM-Open,mirror-chain,4,explore,False,,,,0.09795546776868425,0.18410968325720056,0.13068634396906453,0.9020445322313158,0.8158903167427994,0.8693136560309355
2,Random,R1,1,explore,False,,,,0.05759254092792654,0.10528617380343075,0.07760558051649635,0.9424074590720735,0.8947138261965693,0.9223944194835036
3,Greedy,G4_acc,4,refine,False,,0.0625,,0.1703308689518208,0.2480342049660017,0.20025092776633668,0.8296691310481792,0.7519657950339983,0.7997490722336633
3,LLM-Closed,latent-pullback,2,explore,False,,1.0,,0.10708228951346821,0.17161589078890016,0.13395689781409215,0.8929177104865318,0.8283841092110998,0.8660431021859079
3,LLM-Open,mirror-chain,4,explore,False,,,,0.10445441505554598,0.1655511088413485,0.13035350558541836,0.895545584944454,0.8344488911586515,0.8696464944145816
3,Random,R4,4,explore,False,,,,0.16051016946330532,0.23359299552684976,0.18926561431591904,0.8394898305366947,0.7664070044731502,0.810734385684081
4,Greedy,G1_warm,1,explore,False,,0.0625,,0.24380349881658903,0.22204351046578574,0.23996652741877822,0.756196501183411,0.7779564895342143,0.7600334725812218
4,LLM-Closed,nn-latent-sink-1,2,explore,False,,0.5625,,0.09786727160094211,0.11641481352255545,0.10721919633273136,0.9021327283990579,0.8835851864774446,0.8927808036672686
4,LLM-Open,mirror-chain,4,explore,False,,,,0.11612021764671276,0.13712218783276253,0.1303006422020383,0.8838797823532872,0.8628778121672375,0.8696993577979617
4,Random,R1,1,explore,False,,,,0.1638800562777969,0.18988758524862315,0.17700921710525597,0.8361199437222031,0.8101124147513769,0.822990782894744
5,Greedy,G4_acc,4,refine,False,,0.125,,0.19926329814252242,0.18103382400603252,0.1638599391815041,0.8007367018574776,0.8189661759939675,0.8361400608184959
5,LLM-Closed,nn-real-sink,4,refine,False,,0.3125,local_adjustment,0.038100139237987385,0.0340157333482215,0.032832972427162654,0.9618998607620126,0.9659842666517785,0.9671670275728373
5,LLM-Open,mirror-chain,4,explore,False,,,,0.1644016103313093,0.14772976836589657,0.1321094322156391,0.8355983896686907,0.8522702316341034,0.8678905677843609
5,Random,R2,2,explore,False,,,,0.2549523203868934,0.23623292612173452,0.21504834069908796,0.7450476796131066,0.7637670738782655,0.784951659300912
6,Greedy,G4_acc,4,refine,False,,0.0625,,0.5421506315408563,0.5223745615882986,0.5466200039189414,0.4578493684591437,0.4776254384117013,0.4533799960810586
6,LLM-Closed,real-latent-pull,1,explore,False,,0.4375,,0.03393303634171929,0.016490936052174,0.03900413839205341,0.9660669636582807,0.983509063947826,0.9609958616079466
6,LLM-Open,mirror-chain,4,explore,False,,,,0.12305998967856735,0.06202896568065375,0.13671250417056235,0.8769400103214327,0.9379710343193463,0.8632874958294376
6,Random,R4,4,explore,False,,,,0.5147986012953337,0.5059243022506485,0.5171669481705019,0.4852013987046663,0.4940756977493515,0.48283305182949815
7,Greedy,G4_acc,4,refine,False,,0.0625,,0.17602334443078593,0.15782953097507135,0.15505244769718396,0.8239766555692141,0.8421704690249286,0.844947552302816
