condition,label,contrast,mean_paired_gain,ci_lo,ci_hi,cohens_dz,wins,n,wilcoxon_p,sign_test_p
reference,"Previous QAE baseline (4 qubits, TFIM, B=8, reference model)",LLM-Closed_minus_LLM-Open,0.006631292115997824,0.0022613889850332065,0.011159657385053564,0.8137147635941084,11,12,0.01220703125,0.00634765625
reference,"Previous QAE baseline (4 qubits, TFIM, B=8, reference model)",LLM-Open_minus_Random,0.10841786683851475,0.07258464959784479,0.1471098035613074,1.5834036259655613,11,12,0.0009765625,0.00634765625
reference,"Previous QAE baseline (4 qubits, TFIM, B=8, reference model)",LLM-Closed_minus_Random,0.11504915895451255,0.07798962515789078,0.15353088747271273,1.637179229254111,11,12,0.0009765625,0.00634765625
reference,"Previous QAE baseline (4 qubits, TFIM, B=8, reference model)",Greedy_minus_Random,0.017543504022765704,-0.024927953512034688,0.06245433568371157,0.21685370473076515,6,12,0.5185546875,1.0
budget_b4,B = 4,LLM-Closed_minus_LLM-Open,0.08117773354250901,0.06021933198997681,0.09868390611409632,2.2517392564765553,11,12,0.0009765625,0.00634765625
budget_b4,B = 4,LLM-Open_minus_Random,0.06807424729558713,0.009604819578099453,0.1407547568730637,0.5558432223442027,8,12,0.06396484375,0.3876953125
budget_b4,B = 4,LLM-Closed_minus_Random,0.14925198083809615,0.08484872251567867,0.23034973735126751,1.1173783566372013,12,12,0.00048828125,0.00048828125
budget_b4,B = 4,Greedy_minus_Random,-0.048107787781361634,-0.09462256471223525,-0.009567669750217887,-0.6057407204940232,2,12,0.01611328125,0.03857421875
budget_b16,B = 16,LLM-Closed_minus_LLM-Open,-0.002268240402441326,-0.007761763265531761,0.0017073827104434212,-0.2511147290938715,9,12,0.67724609375,0.14599609375
budget_b16,B = 16,LLM-Open_minus_Random,0.07887257548902514,0.05583753414798842,0.10127093632773922,1.8690492212846699,11,12,0.0009765625,0.00634765625
budget_b16,B = 16,LLM-Closed_minus_Random,0.07660433508658382,0.05413727317851143,0.0987640286117024,1.8488996231732537,11,12,0.0009765625,0.00634765625
budget_b16,B = 16,Greedy_minus_Random,0.01767466471523817,-0.011843507676620697,0.04671994635853132,0.328069607594759,8,12,0.30126953125,0.3876953125
qubits_n6,6 qubits,LLM-Closed_minus_LLM-Open,-0.049412879423723695,-0.07827135024131716,-0.02390977759449752,-0.9701894908042246,0,12,0.00048828125,0.00048828125
qubits_n6,6 qubits,LLM-Open_minus_Random,0.19679322020203682,0.17982695431403647,0.21350184683578655,6.2624586150837915,12,12,0.00048828125,0.00048828125
qubits_n6,6 qubits,LLM-Closed_minus_Random,0.14738034077831313,0.11781594468075217,0.1749000924008167,2.81862550553862,12,12,0.00048828125,0.00048828125
qubits_n6,6 qubits,Greedy_minus_Random,-0.031811486968645795,-0.0688655982618612,0.0020130076239900604,-0.48410896147371013,3,12,0.17626953125,0.14599609375
qubits_n8,8 qubits,LLM-Closed_minus_LLM-Open,-0.0751926084622516,-0.1320015192813291,-0.02713034918859559,-0.7753147482048656,1,12,0.0068359375,0.00634765625
qubits_n8,8 qubits,LLM-Open_minus_Random,0.28411196211472906,0.2571674906637005,0.3125285489404756,5.55212736895782,12,12,0.00048828125,0.00048828125
qubits_n8,8 qubits,LLM-Closed_minus_Random,0.2089193536524775,0.15019127552300032,0.2591718792050734,2.0799594845176057,11,12,0.0009765625,0.00634765625
qubits_n8,8 qubits,Greedy_minus_Random,-0.06789443149105194,-0.15015524202781794,0.012398453404270132,-0.4534784895244235,5,12,0.20361328125,0.7744140625
hamiltonian_xxz,XXZ chain,LLM-Closed_minus_LLM-Open,0.03481473437014848,0.029723839349933508,0.04063918783941167,3.4463526857889843,12,12,0.00048828125,0.00048828125
hamiltonian_xxz,XXZ chain,LLM-Open_minus_Random,0.11210667657605407,0.015228210995676422,0.22078150680998856,0.5934537218061905,5,12,0.791015625,0.7744140625
hamiltonian_xxz,XXZ chain,LLM-Closed_minus_Random,0.14692141094620256,0.054036151337861604,0.25313121810897526,0.8005244564439238,11,12,0.0009765625,0.00634765625
hamiltonian_xxz,XXZ chain,Greedy_minus_Random,-0.07564057979431343,-0.19372760263797364,0.0397230206355001,-0.35109280078942734,7,12,0.67724609375,0.7744140625
model_alt,Alternative model,LLM-Closed_minus_LLM-Open,-0.03364766172252606,-0.055059793775252656,-0.01139429046072855,-0.833380302355961,4,12,0.05224609375,0.3876953125
model_alt,Alternative model,LLM-Open_minus_Random,0.09822871263041094,0.06225526240989569,0.13659434796809963,1.4386664779780634,11,12,0.0009765625,0.00634765625
model_alt,Alternative model,LLM-Closed_minus_Random,0.06458105090788488,0.027580684516030594,0.1083541278735572,0.8592543126705077,9,12,0.0068359375,0.14599609375
model_alt,Alternative model,Greedy_minus_Random,0.017543504022765694,-0.024927953512034688,0.06245433568371156,0.216853704730765,6,12,0.5185546875,1.0
