method,candidates_used,best_so_far_test_fid
Greedy,1,0.5707848185397766
Greedy,2,0.6071392082923647
Greedy,3,0.6355682816303297
Greedy,4,0.6952631592688743
Greedy,5,0.7272008310108301
Greedy,6,0.7336666633551355
Greedy,7,0.7337789656479742
Greedy,8,0.7337846491450754
LLM-Closed,1,0.8201704581736583
LLM-Closed,2,0.8993034546192531
LLM-Closed,3,0.9504499445219611
LLM-Closed,4,0.9524047371937332
LLM-Closed,5,0.9536801439937932
LLM-Closed,6,0.9550215221833943
LLM-Closed,7,0.9563466398855914
LLM-Closed,8,0.9563466398855914
LLM-Open,1,0.4753390140377664
LLM-Open,2,0.48935340553103895
LLM-Open,3,0.49728126848005966
LLM-Open,4,0.49999827536750274
LLM-Open,5,0.921531905515443
LLM-Open,6,0.921531905515443
LLM-Open,7,0.921531905515443
LLM-Open,8,0.921531905515443
Random,1,0.4897214313835321
Random,2,0.6737170259108117
Random,3,0.7122110310624389
Random,4,0.76095610821543
Random,5,0.7732700571377888
Random,6,0.7732700571377888
Random,7,0.8094252289393888
Random,8,0.8094252289393888
