method,candidates_used,best_so_far_test_fid
Greedy,1,0.6885360143848094
Greedy,2,0.7399499448515537
Greedy,3,0.8101874129197162
Greedy,4,0.8537226834981144
Greedy,5,0.8614495593851105
Greedy,6,0.8617393865670459
Greedy,7,0.8696129160113956
Greedy,8,0.8695833374149274
LLM-Closed,1,0.8603676424027754
LLM-Closed,2,0.878441837055668
LLM-Closed,3,0.8933808817003092
LLM-Closed,4,0.8999846617775681
LLM-Closed,5,0.9089501264856241
LLM-Closed,6,0.9131554965566856
LLM-Closed,7,0.9131554965566856
LLM-Closed,8,0.9166208843000466
LLM-Open,1,0.5269850634850669
LLM-Open,2,0.9502685460225727
LLM-Open,3,0.9502685460225727
LLM-Open,4,0.9502685460225727
LLM-Open,5,0.9502685460225727
LLM-Open,6,0.9502685460225727
LLM-Open,7,0.9502685460225727
LLM-Open,8,0.9502685460225727
Random,1,0.6835994187991417
Random,2,0.7606461835673172
Random,3,0.7789417898715486
Random,4,0.8001275882829256
Random,5,0.8032062989937714
Random,6,0.8357474558008328
Random,7,0.8483894856162154
Random,8,0.8520398333921618
