seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G7_acc,7,refine,False,,0.125,,0.16525887437262898,0.1144892667834817,0.14345223262382212,0.834741125627371,0.8855107332165183,0.8565477673761779
0,LLM-Closed,latent2trash_balanced_v2,6,refine,False,,0.875,topology_redesign,0.03533124218744188,0.023142999319559654,0.03544911010306406,0.9646687578125581,0.9768570006804403,0.9645508898969359
0,LLM-Open,latency_chain_mix,2,explore,False,,,,0.041430402819400136,0.0329489429588713,0.048841031796142076,0.9585695971805999,0.9670510570411287,0.9511589682038579
0,Random,R7,7,explore,False,,,,0.026255385853022783,0.017961958215002904,0.028230040413270263,0.9737446141469772,0.9820380417849971,0.9717699595867297
1,Greedy,G1_warm,1,explore,False,,0.125,,0.11039587264937589,0.0887335021220711,0.10705752680894087,0.8896041273506241,0.9112664978779289,0.8929424731910591
1,LLM-Closed,latent_chain_ry_cnot,5,refine,False,,0.375,rotation_redesign,0.11041961217003271,0.08869194114157375,0.10707735652989803,0.8895803878299673,0.9113080588584263,0.892922643470102
1,LLM-Open,latency_chain_mix,2,explore,False,,,,0.04418827231301625,0.05575215492349006,0.04485780932642314,0.9558117276869837,0.9442478450765099,0.9551421906735769
1,Random,R2,2,explore,False,,,,0.09029719351155419,0.08704544558397542,0.08884276740380104,0.9097028064884458,0.9129545544160246,0.911157232596199
2,Greedy,G7_acc,7,refine,False,,0.0625,,0.09359055744826783,0.16743617214655104,0.12136608767950796,0.9064094425517322,0.832563827853449,0.878633912320492
2,LLM-Closed,nearest_neighbor_balanced_v2,8,refine,False,,1.0,topology_redesign,0.03037245804868316,0.07475166445978587,0.048097095349684205,0.9696275419513168,0.9252483355402141,0.9519029046503158
2,LLM-Open,latency_chain_mix,2,explore,False,,,,0.035539907383251856,0.08511465226246273,0.0568977342903314,0.9644600926167481,0.9148853477375373,0.9431022657096686
2,Random,R1,1,explore,False,,,,0.05759254092792654,0.10528617380343075,0.07760558051649635,0.9424074590720735,0.8947138261965693,0.9223944194835036
3,Greedy,G6_acc,6,refine,False,,0.125,,0.04043328603653795,0.05022856280996779,0.04450217649653054,0.959566713963462,0.9497714371900322,0.9554978235034695
3,LLM-Closed,chain-balanced-ry,5,refine,False,,1.0,topology_redesign,0.07084789063024088,0.1332935257165101,0.09794462166674933,0.9291521093697591,0.8667064742834899,0.9020553783332507
3,LLM-Open,latency_chain_mix,2,explore,False,,,,0.033677236051319115,0.07212922656046616,0.05186982663244999,0.9663227639486809,0.9278707734395338,0.94813017336755
3,Random,R4,4,explore,False,,,,0.16051016946330532,0.23359299552684976,0.18926561431591904,0.8394898305366947,0.7664070044731502,0.810734385684081
4,Greedy,G7_acc,7,refine,False,,0.0625,,0.1472884031833711,0.17018162406871673,0.1556156624993571,0.8527115968166289,0.8298183759312833,0.8443843375006429
4,LLM-Closed,lat-sweep,4,explore,False,,0.5625,,0.0975012590293276,0.11605625231503869,0.10685625633778273,0.9024987409706724,0.8839437476849613,0.8931437436622173
4,LLM-Open,latency_chain_mix,2,explore,False,,,,0.03875723388025909,0.045960967023167654,0.04944997009352281,0.9612427661197409,0.9540390329768323,0.9505500299064772
4,Random,R6,6,explore,False,,,,0.11587565581226278,0.1369472397223438,0.1300923061627356,0.8841243441877372,0.8630527602776562,0.8699076938372644
5,Greedy,G5_acc,5,refine,False,,0.125,,0.19079097141808443,0.17429485836518432,0.15717541816697644,0.8092090285819156,0.8257051416348157,0.8428245818330236
5,LLM-Closed,chain_latent_trash_balanced_v1,5,refine,False,,0.8125,topology_redesign,0.1376167145580116,0.12231761899782023,0.10724568514554622,0.8623832854419884,0.8776823810021798,0.8927543148544538
5,LLM-Open,latency_chain_mix,2,explore,False,,,,0.051689066704772246,0.04710316620366728,0.045961440893459216,0.9483109332952278,0.9528968337963327,0.9540385591065408
5,Random,R2,2,explore,False,,,,0.2549523203868934,0.23623292612173452,0.21504834069908796,0.7450476796131066,0.7637670738782655,0.784951659300912
6,Greedy,G4_warm,4,explore,False,,0.0625,,0.1197663187712974,0.06059174289799618,0.13320340955872667,0.8802336812287026,0.9394082571020038,0.8667965904412733
6,LLM-Closed,NNchain_latent_first,5,refine,False,,0.5,topology_redesign,0.09766853910003048,0.04970711156027363,0.10705224638468724,0.9023314608999695,0.9502928884397264,0.8929477536153128
