method,candidates_used,best_so_far_test_fid
Greedy,1,0.3538773315055488
Greedy,2,0.4559857492184441
Greedy,3,0.4717556434073242
Greedy,4,0.49393058625359226
Greedy,5,0.5136455205525251
Greedy,6,0.5235847932555667
Greedy,7,0.5239687815071326
Greedy,8,0.524475149994515
LLM-Closed,1,0.7069737404418842
LLM-Closed,2,0.7175584878918824
LLM-Closed,3,0.709079639914183
LLM-Closed,4,0.7103948856940979
LLM-Closed,5,0.7625747839789748
LLM-Closed,6,0.7626201529189683
LLM-Closed,7,0.7816453686294542
LLM-Closed,8,0.8012889351380444
LLM-Open,1,0.8029687612490797
LLM-Open,2,0.8224824540069902
LLM-Open,3,0.8224824540069902
LLM-Open,4,0.8224824540069902
LLM-Open,5,0.8764815436002961
LLM-Open,6,0.8764815436002961
LLM-Open,7,0.8764815436002961
LLM-Open,8,0.8764815436002961
Random,1,0.3827594258092015
Random,2,0.4419264179016322
Random,3,0.5136318548711637
Random,4,0.5296567104107671
Random,5,0.5552522711843655
Random,6,0.5588557087367781
Random,7,0.5876151612392546
Random,8,0.5923695814855671
