method,candidates_used,best_so_far_test_fid
Evolutionary,1,0.7107910782874881
Evolutionary,2,0.7778881015508442
Evolutionary,3,0.8618326852056376
Evolutionary,4,0.8696556028975877
Evolutionary,5,0.8707713084198777
Evolutionary,6,0.8929794184839213
Evolutionary,7,0.9004619711843477
Evolutionary,8,0.9004619711843477
LLM-API-closed,1,0.9243625079829437
LLM-API-closed,2,0.9504604899391373
LLM-API-closed,3,0.9581749017980571
LLM-API-closed,4,0.9605394349105603
LLM-API-closed,5,0.9605394349105603
LLM-API-closed,6,0.9617261734121653
LLM-API-closed,7,0.9617261734121653
LLM-API-closed,8,0.9617261734121653
LLM-API-open,1,0.9239433346416709
LLM-API-open,2,0.9471928675111946
LLM-API-open,3,0.9471928675111946
LLM-API-open,4,0.9471928675111946
LLM-API-open,5,0.9699542084189373
LLM-API-open,6,0.9699542084189373
LLM-API-open,7,0.9699542084189373
LLM-API-open,8,0.9699542084189373
LLM-chat-frozen,1,0.9283809790014229
LLM-chat-frozen,2,0.9674244874310558
LLM-chat-frozen,3,0.9674244874310558
LLM-chat-frozen,4,0.9674244874310558
LLM-chat-frozen,5,0.9674244874310558
LLM-chat-frozen,6,0.9674244874310558
LLM-chat-frozen,7,0.9674244874310558
LLM-chat-frozen,8,0.9674244874310558
RY-random,1,0.8860891224145703
RY-random,2,0.9147250472686412
RY-random,3,0.9204711217696682
RY-random,4,0.930897077298447
RY-random,5,0.9364543453757964
RY-random,6,0.9364543453757964
RY-random,7,0.9384693346478582
RY-random,8,0.9423912552186969
Random,1,0.7690262492202983
Random,2,0.8118001511263682
Random,3,0.8721638648593172
Random,4,0.8764760435518001
Random,5,0.8807440383994115
Random,6,0.8840751752273964
Random,7,0.9076588302173194
Random,8,0.9181648933917619
