seed,method,candidate,order,phase,fallback,invalid_errors,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G5_acc,5,refine,False,,0.14458688948224818,0.10058086525786292,0.1273980466850302,0.8554131105177518,0.8994191347421371,0.8726019533149698
0,LLM-Closed,latent-sweep,2,explore,False,,0.025833274946208684,0.020494856761235858,0.02970717594540928,0.9741667250537913,0.9795051432387641,0.9702928240545907
0,LLM-Open,real-symmetric,8,explore,False,,0.026113180477615572,0.017859133322206122,0.028126640182573936,0.9738868195223844,0.9821408666777939,0.9718733598174261
0,Random,R3,3,explore,False,,0.21412322569921194,0.15667140988151862,0.18475170686975462,0.7858767743007881,0.8433285901184814,0.8152482931302454
1,Greedy,G6_acc,6,refine,False,,0.11100823992450692,0.08912777759179003,0.1076491745635777,0.8889917600754931,0.91087222240821,0.8923508254364223
1,LLM-Closed,trash-to-latent-braid,4,explore,False,,0.06021300648968231,0.06787297525247771,0.06033663091124497,0.9397869935103177,0.9321270247475223,0.939663369088755
1,LLM-Open,real-symmetric,8,explore,False,,0.028955441944224725,0.0340560296045096,0.02889687156613996,0.9710445580557753,0.9659439703954904,0.97110312843386
1,Random,R3,3,explore,False,,0.10291305716051191,0.09692524309787132,0.1015555957577845,0.8970869428394881,0.9030747569021287,0.8984444042422155
2,Greedy,G7_acc,7,refine,False,,0.11594758275764616,0.20375857960486377,0.14891004783600437,0.8840524172423538,0.7962414203951362,0.8510899521639956
2,LLM-Closed,boundary-to-center-real,7,refine,False,,0.03733443100803602,0.08255734129904024,0.05545637867965336,0.962665568991964,0.9174426587009598,0.9445436213203466
2,LLM-Open,nn-real-l2r,1,explore,False,,0.029610200670130427,0.07266718216571233,0.04687321639068642,0.9703897993298696,0.9273328178342877,0.9531267836093136
2,Random,R1,1,explore,False,,0.09472662925757214,0.16949843289215705,0.12332474465953758,0.9052733707424279,0.830501567107843,0.8766752553404624
3,Greedy,G8_acc,8,refine,False,,0.13913524318188664,0.18817492238395606,0.15690502672094286,0.8608647568181134,0.8118250776160439,0.8430949732790571
3,LLM-Closed,real-nearestneighbor-trap,5,refine,False,,0.02711826748153412,0.05715503079704831,0.04104120556044932,0.9728817325184659,0.9428449692029517,0.9589587944395507
3,LLM-Open,real-symmetric,8,explore,False,,0.0260896579850165,0.05545566188378126,0.03970352681879907,0.9739103420149835,0.9445443381162187,0.9602964731812009
3,Random,R7,7,explore,False,,0.11643897003900494,0.1523538105698985,0.1335492653946424,0.8835610299609951,0.8476461894301015,0.8664507346053576
4,Greedy,G8_acc,8,refine,False,,0.1428579191782725,0.16355880186163485,0.1550741166814178,0.8571420808217275,0.8364411981383651,0.8449258833185822
4,LLM-Closed,alternating-chain-cascade,3,explore,False,,0.022874473472936474,0.02656834846840772,0.02862786951765739,0.9771255265270635,0.9734316515315923,0.9713721304823426
4,LLM-Open,real-symmetric,8,explore,False,,0.02857129373858802,0.03515041416843634,0.03583207230049279,0.971428706261412,0.9648495858315637,0.9641679276995072
4,Random,R6,6,explore,False,,0.0854027570980439,0.09750325161033435,0.09375016164585603,0.9145972429019561,0.9024967483896656,0.906249838354144
5,Greedy,G8_acc,8,refine,False,,0.09766613946420577,0.09094818244292746,0.08977817803527444,0.9023338605357942,0.9090518175570725,0.9102218219647256
5,LLM-Closed,left-to-right-real-pull,5,refine,False,,0.05112852467512319,0.046240025059922196,0.043821389365554686,0.9488714753248768,0.9537599749400778,0.9561786106344453
5,LLM-Open,real-symmetric,8,explore,False,,0.03486731897731232,0.030226525466929277,0.028344436015127927,0.9651326810226877,0.9697734745330707,0.9716555639848721
5,Random,R2,2,explore,False,,0.16694628870820738,0.150061365966199,0.1357078154623781,0.8330537112917926,0.849938634033801,0.8642921845376219
6,Greedy,G5_acc,5,refine,False,,0.0984167921424326,0.05040429543602665,0.10780736178402273,0.9015832078575674,0.9495957045639734,0.8921926382159773
6,LLM-Closed,alternating-bond-chain,3,explore,False,,0.03929143978352756,0.016979260985898414,0.04527847998613199,0.9607085602164724,0.9830207390141016,0.954721520013868
6,LLM-Open,latent-pull-right,4,explore,False,,0.03928665273802601,0.01595856928048356,0.045442122216040826,0.960713347261974,0.9840414307195164,0.9545578777839592
6,Random,R8,8,explore,False,,0.12056469086507215,0.059579225912500866,0.13427393959519285,0.8794353091349278,0.9404207740874991,0.8657260604048072
