method,candidates_used,best_so_far_test_fid
Greedy,1,0.6885360143848094
Greedy,2,0.7399499448515537
Greedy,3,0.8101874129197162
Greedy,4,0.8537226834981144
Greedy,5,0.8614495593851105
Greedy,6,0.8617393865670459
Greedy,7,0.8696129160113956
Greedy,8,0.8695833374149274
LLM-Closed,1,0.9101310620844147
LLM-Closed,2,0.934591731871266
LLM-Closed,3,0.9528325511329473
LLM-Closed,4,0.9528325511329473
LLM-Closed,5,0.9566953730334622
LLM-Closed,6,0.9639718575468209
LLM-Closed,7,0.9639718575468209
LLM-Closed,8,0.9670889923466742
LLM-Open,1,0.8662760290030193
LLM-Open,2,0.892901420762354
LLM-Open,3,0.9100923974346484
LLM-Open,4,0.9100923974346484
LLM-Open,5,0.9388227007793456
LLM-Open,6,0.9388227007793456
LLM-Open,7,0.9388227007793456
LLM-Open,8,0.9604577002306764
Random,1,0.6835994187991417
Random,2,0.7606461835673172
Random,3,0.7789417898715486
Random,4,0.8001275882829256
Random,5,0.8032062989937714
Random,6,0.8357474558008328
Random,7,0.8483894856162154
Random,8,0.8520398333921618
