seed,method,candidate,order,phase,fallback,invalid_errors,edit_distance,strategy,train_loss,val_loss,test_loss,train_fid,val_fid,test_fid
0,Greedy,G7_acc,7,refine,False,,0.125,,0.16525887437262898,0.1144892667834817,0.14345223262382212,0.834741125627371,0.8855107332165183,0.8565477673761779
0,LLM-Closed,nn-real-split-v1,5,refine,False,,0.75,topology_redesign,0.0408701141618486,0.027770699921742192,0.04275835657884608,0.9591298858381514,0.9722293000782578,0.9572416434211539
0,LLM-Open,nn-chain-real,8,explore,False,,,,0.03315617525859649,0.02246546737968702,0.03401756420722024,0.9668438247414035,0.977534532620313,0.9659824357927798
0,Random,R7,7,explore,False,,,,0.026255385853022783,0.017961958215002904,0.028230040413270263,0.9737446141469772,0.9820380417849971,0.9717699595867297
1,Greedy,G1_warm,1,explore,False,,0.125,,0.11039587264937589,0.0887335021220711,0.10705752680894087,0.8896041273506241,0.9112664978779289,0.8929424731910591
1,LLM-Closed,mirror-rz-ry-chain,2,explore,False,,0.6875,,0.02888770951978148,0.03563118281313571,0.029037657124714622,0.9711122904802185,0.9643688171868643,0.9709623428752854
1,LLM-Open,nn-chain-real,8,explore,False,,,,0.0383096384790943,0.039843817823973726,0.037801022299308595,0.9616903615209057,0.9601561821760263,0.9621989777006914
1,Random,R2,2,explore,False,,,,0.09029719351155419,0.08704544558397542,0.08884276740380104,0.9097028064884458,0.9129545544160246,0.911157232596199
2,Greedy,G7_acc,7,refine,False,,0.0625,,0.09359055744826783,0.16743617214655104,0.12136608767950796,0.9064094425517322,0.832563827853449,0.878633912320492
2,LLM-Closed,nn-real-latent-sink,6,refine,False,,0.6875,global_redesign,0.019909181976104584,0.04178287239781031,0.029765031216041127,0.9800908180238954,0.9582171276021897,0.9702349687839589
2,LLM-Open,nn-chain-real,8,explore,False,,,,0.029365290300166658,0.07222240637949662,0.04654525562208478,0.9706347096998333,0.9277775936205034,0.9534547443779152
2,Random,R1,1,explore,False,,,,0.05759254092792654,0.10528617380343075,0.07760558051649635,0.9424074590720735,0.8947138261965693,0.9223944194835036
3,Greedy,G6_acc,6,refine,False,,0.125,,0.04043328603653795,0.05022856280996779,0.04450217649653054,0.959566713963462,0.9497714371900322,0.9554978235034695
3,LLM-Closed,nn-real-latent-trash,6,refine,False,,0.0625,topology_redesign,0.014731986387098273,0.029062137224910134,0.02249749101887555,0.9852680136129017,0.9709378627750899,0.9775025089811245
