method,budget,mean_best_val_fid,sd_best_val_fid
LLM-semantic,1,0.9317898908414981,0.026449643834232338
LLM-semantic,2,0.967736336222709,0.012166135803281717
LLM-semantic,3,0.967736336222709,0.012166135803281717
LLM-semantic,4,0.9677527768842954,0.012138150548047308
LLM-semantic,5,0.9677527768842954,0.012138150548047308
LLM-semantic,6,0.9677527768842954,0.012138150548047308
LLM-semantic,7,0.9677527768842954,0.012138150548047308
LLM-semantic,8,0.9677527768842954,0.012138150548047308
RY-random,1,0.8860525711587224,0.04879638739708022
RY-random,2,0.9166038494949574,0.04129954942537926
RY-random,3,0.922686443592358,0.036766113716785474
RY-random,4,0.9362263646147525,0.028043913764363475
RY-random,5,0.9394327457287318,0.022776761504265445
RY-random,6,0.9406448335347841,0.02345888547832055
RY-random,7,0.9453029648863674,0.021353813796891084
RY-random,8,0.9524085064071343,0.015392686521408393
Random,1,0.7710566762831498,0.1426853581966194
Random,2,0.8160740457214996,0.12503753241060236
Random,3,0.8764330530651406,0.06510147378417686
Random,4,0.8783160445100338,0.06792706152540916
Random,5,0.8838557351762232,0.05724391853575113
Random,6,0.8858833375693385,0.05901557139586698
Random,7,0.9096166161079164,0.05124594993662883
Random,8,0.9206889875184645,0.04338741274804339
